timestamp,latency,cost,reliability,predicted_latency,predicted_cost,predicted_reliability
2020-04-19 06:09:10.000680,3.561126232147217,24.5,1,3.561126232147217,24.5,1
2020-04-19 06:09:50.000724,3.5494725704193115,25.0,1,3.5494725704193115,25.0,1
2020-04-19 06:10:19.000146,3.4872848987579346,25.5,1,3.4872848987579346,25.5,1
2020-04-19 06:14:18.000337,3.5860671997070312,25.7,1,3.5860671997070312,25.7,1
2020-04-19 06:15:11.000517,5.648662328720093,16.1,1,5.648662328720093,16.1,1
2020-04-19 06:15:48.000264,3.5352437496185303,25.0,1,3.5352437496185303,25.0,1
2020-04-19 06:16:09.000305,3.6822261810302734,24.3,1,3.6822261810302734,24.3,1
2020-04-19 06:17:13.000995,3.6716382503509517,24.4,1,3.6716382503509517,24.4,1
2020-04-19 06:17:49.000185,3.459700345993042,25.5,1,3.459700345993042,25.5,1
2020-04-19 06:18:55.000247,3.4566161632537837,25.3,1,3.4566161632537837,25.3,1
2020-04-19 06:19:17.000718,3.672350168228149,24.3,1,3.672350168228149,24.3,1
2020-04-19 06:19:47.000593,3.5792570114135738,24.8,1,3.5792570114135738,24.8,1
2020-04-19 06:20:18.000395,3.5888125896453857,24.7,1,3.5888125896453857,24.7,1
2020-04-19 06:22:27.000458,3.5901610851287837,24.6,1,3.5901610851287837,24.6,1
2020-04-19 06:24:04.000546,3.4522926807403564,25.2,1,3.4522926807403564,25.2,1
2020-04-19 06:26:05.000534,3.5453438758850098,25.1,1,3.5453438758850098,25.1,1
2020-04-19 06:26:53.000182,3.6281108856201167,24.5,1,3.6281108856201167,24.5,1
2020-04-19 06:27:17.000502,3.46164870262146,25.3,1,3.46164870262146,25.3,1
2020-04-19 06:28:53.000175,3.541602611541748,25.0,1,3.541602611541748,25.0,1
2020-04-19 06:28:55.000052,3.6104350090026855,24.7,1,3.6104350090026855,24.7,1
2020-04-19 06:29:40.000779,3.6794431209564213,24.5,1,3.6794431209564213,24.5,1
2020-04-19 06:30:53.000275,3.535774707794189,24.8,1,3.535774707794189,24.8,1
2020-04-19 06:30:57.000694,3.5474984645843506,25.1,1,3.5474984645843506,25.1,1
2020-04-19 06:32:28.000741,3.462893009185791,25.7,1,3.462893009185791,25.7,1
2020-04-19 06:33:21.000492,3.6387822628021236,24.7,1,3.6387822628021236,24.7,1
2020-04-19 06:35:08.000249,5.155016899108887,17.4,1,5.155016899108887,17.4,1
2020-04-19 06:35:12.000930,3.5479214191436768,25.3,1,3.5479214191436768,25.3,1
2020-04-19 06:36:23.000820,3.538159847259521,25.0,1,3.538159847259521,25.0,1
2020-04-19 06:36:56.000500,3.588785409927368,24.7,1,3.588785409927368,24.7,1
2020-04-19 06:39:05.000480,3.4693372249603267,26.0,1,3.4693372249603267,26.0,1
2020-04-19 06:39:44.000597,3.4901652336120605,25.0,1,3.4901652336120605,25.0,1
2020-04-19 06:40:05.000331,3.483395338058472,24.9,1,3.483395338058472,24.9,1
2020-04-19 06:40:37.000586,3.5261714458465576,25.3,1,3.5261714458465576,25.3,1
2020-04-19 06:42:39.000003,3.4808688163757324,25.1,1,3.4808688163757324,25.1,1
2020-04-19 06:43:43.000090,3.4929161071777344,24.8,1,3.4929161071777344,24.8,1
2020-04-19 06:43:58.000435,3.5253214836120605,25.0,1,3.5253214836120605,25.0,1
2020-04-19 06:44:47.000248,3.4536495208740234,25.1,1,3.4536495208740234,25.1,1
2020-04-19 06:46:12.000081,3.527156352996826,25.0,1,3.527156352996826,25.0,1
2020-04-19 06:47:19.000608,3.46026349067688,25.5,1,3.46026349067688,25.5,1
2020-04-19 06:47:27.000349,3.5224103927612305,25.1,1,3.5224103927612305,25.1,1
2020-04-19 06:48:58.000554,3.539082288742065,25.1,1,3.539082288742065,25.1,1
2020-04-19 06:51:25.000126,3.4452481269836426,25.2,1,3.4452481269836426,25.2,1
2020-04-19 06:53:42.000028,3.444840431213379,25.3,1,3.444840431213379,25.3,1
2020-04-19 06:54:55.000607,3.53833270072937,25.5,1,3.53833270072937,25.5,1
2020-04-19 06:55:40.000667,3.517289876937866,25.0,1,3.517289876937866,25.0,1
2020-04-19 06:57:18.000693,3.551988363265991,25.7,1,3.551988363265991,25.7,1
2020-04-19 06:58:49.000957,3.4469802379608154,25.3,1,3.4469802379608154,25.3,1
2020-04-19 07:00:40.000922,3.605450868606568,24.7,1,3.605450868606568,24.7,1
2020-04-19 07:01:22.000813,3.5339574813842773,24.8,1,3.5339574813842773,24.8,1
2020-04-19 07:01:43.000875,3.50571084022522,25.2,1,3.50571084022522,25.2,1
2020-04-19 07:02:22.000796,3.5362548828125,25.1,1,3.5362548828125,25.1,1
2020-04-19 07:05:41.000675,3.567491292953491,24.7,1,3.567491292953491,24.7,1
2020-04-19 07:06:30.000386,3.462099552154541,25.2,1,3.462099552154541,25.2,1
2020-04-19 07:06:46.000482,3.4831647872924805,25.2,1,3.4831647872924805,25.2,1
2020-04-19 07:07:15.000907,3.4764783382415767,25.2,1,3.4764783382415767,25.2,1
2020-04-19 07:09:24.000003,3.524912118911743,25.0,1,3.524912118911743,25.0,1
2020-04-19 07:09:47.000590,3.520702362060547,25.0,1,3.520702362060547,25.0,1
2020-04-19 07:11:48.000013,3.5414257049560547,24.8,1,3.5414257049560547,24.8,1
2020-04-19 07:11:55.000022,3.4989936351776123,25.0,1,3.4989936351776123,25.0,1
2020-04-19 07:12:02.000798,3.5220432281494136,25.1,1,3.5220432281494136,25.1,1
2020-04-19 07:13:02.000988,3.4494218826293945,25.1,1,3.4494218826293945,25.1,1
