Prediction File,latency_mae,cost_mae,latency_mse,cost_mse,latency_rmse,cost_rmse
lstm_predictions_server_2_tactic_1_sampleRate_10.csv,0.002228925955975577,0.017520562707692304,6.245735107806964e-06,0.0004826695100866781,0.0024991468759972798,0.021969740783329195
lstm_predictions_server_2_tactic_1_sampleRate_20.csv,0.001722745816680813,0.012708060076923074,3.973372702103841e-06,0.00024906583014979757,0.001993332060170568,0.015781819608327727
lstm_predictions_server_2_tactic_1_sampleRate_0.csv,0.0025644453137706265,0.016207273756144395,8.14787002052391e-06,0.00037946879285170795,0.0028544474107126076,0.019479958748716792
lstm_predictions_server_2_tactic_1_sampleRate_5.csv,0.0033662442719938476,0.02346909949038462,1.8238324610455138e-05,0.0007177187827704292,0.004270635153048681,0.026790274033134286
lstm_predictions_server_2_tactic_1_sampleRate_0_no_ping.csv,0.0010583278806511288,0.017558091596774194,2.558163816280903e-06,0.0004901178603641444,0.001599426089658695,0.022138605655373702
mlp_predictions_server_2_tactic_1_sampleRate_20.csv,0.0020636739273523727,0.011863772170542632,7.950832313268411e-06,0.00020933922965761054,0.002819722027659537,0.014468560040916668
mlp_predictions_server_2_tactic_1_sampleRate_5.csv,0.0015732304274055264,0.01370738680732177,3.853398548139851e-06,0.0003092761856009874,0.0019630075262565476,0.017586249901584687
mlp_predictions_server_2_tactic_1_sampleRate_0.csv,0.0013738791990533274,0.010538145173261619,3.2594249708995327e-06,0.00017719163561161715,0.0018053877619224998,0.013311334854612333
mlp_predictions_server_2_tactic_1_sampleRate_0_no_ping.csv,0.000555858317185993,0.016440877570879753,1.7961842004913315e-06,0.0004256954534397996,0.0013402179675304057,0.02063238845698189
mlp_predictions_server_2_tactic_1_sampleRate_10.csv,0.0031154951446663213,0.013520304652509649,1.5847137553636358e-05,0.0002872031729868256,0.003980846336350646,0.016947069746325635
ernn_predictions_server__server_2_tactic_1_test_weekdayOneHotsample_rate_0_predictions_noping.csv,0.014132873271889399,0.01059046972734255,0.00109560351869023,0.00020873063908265855,0.03309990209487378,0.014447513249090951
ernn_predictions_server__server_2_tactic_1_test_weekdayOneHotsample_rate_5_predictions_noping.csv,0.018724815769230768,0.0149515275,0.0003668819146490769,0.00033377381097909615,0.01915416181014134,0.018269477578165615
ernn_predictions_server__server_2_tactic_1_test_weekdayOneHotsample_rate_10_predictions.csv,0.020881750711538465,0.012286831153846154,0.0005175011218307266,0.0002712028221534231,0.022748650989250475,0.016468236765161688
ernn_predictions_server__server_2_tactic_1_test_weekdayOneHotsample_rate_0_predictions.csv,0.005928294013056837,0.033734811213517665,4.392465306359881e-05,0.0012425511784063903,0.006627567658168328,0.03524983940965391
ernn_predictions_server__server_2_tactic_1_test_weekdayOneHotsample_rate_5_predictions.csv,0.03384454826923077,0.02787925898076923,0.0013367249340751732,0.001537388050459198,0.036561249077064824,0.03920954029900374
ernn_predictions_server__server_2_tactic_1_test_weekdayOneHotsample_rate_20_predictions.csv,0.01011722623076923,0.015139073076923077,0.0004164501547654561,0.000349309471371,0.020407110397247723,0.01868982266825986
ernn_predictions_server__server_2_tactic_1_test_weekdayOneHotsample_rate_10_predictions_noping.csv,0.013340967423076923,0.014142645384615382,0.00029174921700198653,0.00030959029410561535,0.01708066793196292,0.017595178149300318
ernn_predictions_server__server_2_tactic_1_test_weekdayOneHotsample_rate_20_predictions_noping.csv,0.02476479807692308,0.018895260769230766,0.0009916072780835365,0.0008188266602733076,0.03148979641222751,0.028615147392129708
svr_rbf_predictions_server_2_tactic_1_sampleRate_0_no_ping.csv,0.09792554650295093,0.060839256070238414,0.009592377076866361,0.003948121875463077,0.09794068141924663,0.06283408211681839
svr_rbf_predictions_server_2_tactic_1_sampleRate_10.csv,0.006821383520246032,0.01672926682692311,4.786965543854813e-05,0.00044850569504958123,0.006918790027060232,0.021177953042010016
svr_rbf_predictions_server_2_tactic_1_sampleRate_0.csv,0.09819590503385832,0.03803187710737285,0.009644515316610943,0.0016615114144831146,0.09820649325075681,0.040761641459626165
svr_rbf_predictions_server_2_tactic_1_sampleRate_5.csv,0.0127982216532233,0.01591045673076923,0.00016512646890773022,0.00041562593900240375,0.012850154431279424,0.02038690606743465
svr_rbf_predictions_server_2_tactic_1_sampleRate_20.csv,0.006840629972562948,0.01592548076923072,4.8081170385406565e-05,0.000375424898587738,0.006934058723821609,0.019375884459495982
svr_linear_predictions_server_2_tactic_1_sampleRate_20.csv,0.006840629972562948,0.01592548076923072,4.8081170385406565e-05,0.000375424898587738,0.006934058723821609,0.019375884459495982
svr_linear_predictions_server_2_tactic_1_sampleRate_5.csv,0.0127982216532233,0.01591045673076923,0.00016512646890773022,0.00041562593900240375,0.012850154431279424,0.02038690606743465
svr_linear_predictions_server_2_tactic_1_sampleRate_0_no_ping.csv,0.09524266827698877,0.05873408044286415,0.009073460344879084,0.003701683919482287,0.09525471297987877,0.060841465461330624
svr_linear_predictions_server_2_tactic_1_sampleRate_0.csv,0.09909863118558794,0.038541994924650075,0.009822135071314967,0.0017072462000027014,0.09910668530081594,0.0413188358984459
svr_linear_predictions_server_2_tactic_1_sampleRate_10.csv,0.006821383520246032,0.01672926682692311,4.786965543854813e-05,0.00044850569504958123,0.006918790027060232,0.021177953042010016
arima_predictions_server_2_tactic_1_sampleRate_10.csv,0.00020044740040605686,0.014478395514325507,1.0488902511239323e-07,0.00032427934304269637,0.0003238657516817628,0.018007757857176343
