Prediction File,latency_mae,cost_mae,latency_mse,cost_mse,latency_rmse,cost_rmse
svr_rbf_predictions_server_1_tactic_1_sampleRate_20.csv,0.059402454639265724,0.02371272035975915,0.0035614792028481656,0.0006997446766989076,0.05967813002137522,0.026452687513727365
svr_rbf_predictions_server_1_tactic_1_sampleRate_5.csv,0.05990806033516463,0.03672757548788688,0.0036004188072616527,0.001500393417967134,0.060003489959015326,0.03873491213320528
svr_rbf_predictions_server_1_tactic_1_sampleRate_0.csv,0.09932890880483382,0.020434822959916447,0.009876451719381993,0.0006965456001278425,0.09938033869625316,0.026392150350584214
svr_rbf_predictions_server_1_tactic_1_sampleRate_0_no_ping.csv,0.09924574121942223,0.021249779739767195,0.009859916685082418,0.000743372011443802,0.09929711317597514,0.027264849375043355
svr_rbf_predictions_server_1_tactic_1_sampleRate_10.csv,0.059697854459836136,0.024172232305739998,0.0035834584150506855,0.0007086197931741329,0.05986199474667283,0.026619913470447887
svr_rbf_predictions_server_3_tactic_1_sampleRate_5.csv,0.08956334065453496,0.06830809513812888,0.00925854606210874,0.004909555036342585,0.0962213389124717,0.07006821701986275
svr_rbf_predictions_server_3_tactic_1_sampleRate_0.csv,0.08849662224940814,0.06438749277382258,0.009094009311512883,0.004339581214585021,0.09536251523273116,0.06587549783178129
svr_rbf_predictions_server_3_tactic_1_sampleRate_0_no_ping.csv,0.09064121176018186,0.07396837336511468,0.009512512162217648,0.005665330260308435,0.09753210836548981,0.07526838818726249
svr_rbf_predictions_server_3_tactic_1_sampleRate_10.csv,0.0914071759080756,0.012056790865384614,0.009944897620625767,0.00023470658522385806,0.09972410751982576,0.015320136592859022
svr_rbf_predictions_server_3_tactic_1_sampleRate_20.csv,0.08449049526380552,0.011733774038461538,0.008326757243769491,0.00022484705998347356,0.09125106708290863,0.01499490113283424
svr_rbf_predictions_server_2_tactic_1_sampleRate_0_no_ping.csv,0.09792554650295093,0.060839256070238414,0.009592377076866361,0.003948121875463077,0.09794068141924663,0.06283408211681839
svr_rbf_predictions_server_2_tactic_1_sampleRate_10.csv,0.006821383520246032,0.01672926682692311,4.786965543854813e-05,0.00044850569504958123,0.006918790027060232,0.021177953042010016
svr_rbf_predictions_server_2_tactic_1_sampleRate_0.csv,0.09819590503385832,0.03803187710737285,0.009644515316610943,0.0016615114144831146,0.09820649325075681,0.040761641459626165
svr_rbf_predictions_server_2_tactic_1_sampleRate_5.csv,0.0127982216532233,0.01591045673076923,0.00016512646890773022,0.00041562593900240375,0.012850154431279424,0.02038690606743465
svr_rbf_predictions_server_2_tactic_1_sampleRate_20.csv,0.006840629972562948,0.01592548076923072,4.8081170385406565e-05,0.000375424898587738,0.006934058723821609,0.019375884459495982
arima_predictions_server_1_tactic_1_sampleRate_0.csv,0.0011432340555278986,0.010484427332654927,1.4999310166839486e-05,0.00025126763679287045,0.0038728942881054067,0.01585142380964153
arima_predictions_server_1_tactic_1_sampleRate_5.csv,0.0015033153510723562,0.010716150161445379,2.679010900689428e-05,0.0002110427962500824,0.005175916248056404,0.014527312079324324
arima_predictions_server_1_tactic_1_sampleRate_20.csv,0.0027928700654079566,0.011861341669271176,8.937071706945071e-05,0.000267208857990773,0.009453608679729171,0.016346524339772447
arima_predictions_server_1_tactic_1_sampleRate_10.csv,0.0020065240233522966,0.011552596334777237,4.920842222501133e-05,0.00023962946855628022,0.007014871504526033,0.015479969914579299
arima_predictions_server_3_tactic_1_sampleRate_0.csv,0.02597239059955301,0.01170813723120863,0.0017825226012090072,0.0002214855131635577,0.042219931326436415,0.014882389363390466
arima_predictions_server_3_tactic_1_sampleRate_5.csv,0.028649326429422348,0.012259360540453717,0.0021549720377205626,0.0002473801007537476,0.04642167637775011,0.015728321612738835
arima_predictions_server_3_tactic_1_sampleRate_10.csv,0.03421415051188262,0.013108820537720488,0.002944715748812063,0.0002647230835202338,0.05426523517697185,0.016270312950900295
arima_predictions_server_3_tactic_1_sampleRate_20.csv,0.03296497818937783,0.013301209873164898,0.002532368899104991,0.00026355588449690747,0.0503226479738993,0.016234404346846466
arima_predictions_server_2_tactic_1_sampleRate_10.csv,0.00020044740040605686,0.014478395514325507,1.0488902511239323e-07,0.00032427934304269637,0.0003238657516817628,0.018007757857176343
arima_predictions_server_2_tactic_1_sampleRate_5.csv,0.0001918325492021531,0.014970610776317431,8.567015434065339e-08,0.0003472548723214471,0.00029269464351206257,0.018634775886
arima_predictions_server_2_tactic_1_sampleRate_0.csv,0.0003062148508560281,0.014007712449943647,1.4523704894939482e-06,0.0003071004844143866,0.0012051433481100695,0.01752428270755715
arima_predictions_server_2_tactic_1_sampleRate_20.csv,0.00021571892859528286,0.01463971482066001,1.432842165549511e-07,0.00034095732301513604,0.00037852901679389267,0.018465029732311185
svr_linear_predictions_server_1_tactic_1_sampleRate_0.csv,0.09910057941909212,0.01934979152031734,0.00983105099068666,0.00064014955734723,0.09915165652013415,0.025301176995294706
svr_linear_predictions_server_1_tactic_1_sampleRate_5.csv,0.05990806033516463,0.025501971116239135,0.0036004188072616527,0.0007693573587728476,0.060003489959015326,0.027737291842803394
svr_linear_predictions_server_1_tactic_1_sampleRate_10.csv,0.059697854459836136,0.02418389241510894,0.0035834584150506855,0.0007151126161431925,0.05986199474667283,0.026741589633811833
svr_linear_predictions_server_1_tactic_1_sampleRate_20.csv,0.059402454639265724,0.023941803432006286,0.0035614792028481656,0.000708448507122452,0.05967813002137522,0.02661669602190422
