,Timestamp,Server,Tactic,Latency,Cost,Reliability,
,2020-03-02 09:16:47.668250,1,1,25.2314760685,2.6,1,
,2020-03-02 09:16:49.616104,1,2,1.93102908134,25.1,1,
,2020-03-02 09:16:49.646654,1,3,0.0300469398499,27.3,1,
,2020-03-02 09:17:27.766957,1,4,38.1198010445,25.5,1,
,2020-03-02 09:17:28.030829,1,5,0.263095855713,25.5,1,
,2020-03-02 09:17:48.648213,2,1,10.5972077847,6.1,1,
,2020-03-02 09:17:50.425803,2,2,1.75952291489,25.5,1,
,2020-03-02 09:17:50.451302,2,3,0.0246739387512,20.0,1,
,2020-03-02 09:18:28.625069,2,4,38.1734609604,26.0,1,
,2020-03-02 09:18:31.256787,2,5,2.63123703003,2.8,1,
,2020-03-02 09:18:38.340699,3,1,3.12030696869,22.7,1,
,2020-03-02 09:18:40.153637,3,2,1.79584121704,25.0,1,
,2020-03-02 09:18:40.180311,3,3,0.0263078212738,27.3,1,
,2020-03-02 09:19:16.947213,3,4,36.7666370869,25.5,1,
,2020-03-02 09:19:17.361188,3,5,0.413239955902,16.9,1,
,2020-03-02 09:25:39.061797,6,1,18.4504830837,1.1,1,
,2020-03-02 09:25:41.018806,6,2,1.93642091751,25.2,1,
,2020-03-02 09:25:41.043441,6,3,0.0242009162903,22.2,1,
,2020-03-02 09:26:18.753072,6,4,37.70926404,25.9,1,
,2020-03-02 09:26:19.019668,6,5,0.266035079956,25.9,1,
,2020-03-02 09:26:32.912246,7,1,7.07696604729,9.1,1,
,2020-03-02 09:26:34.610629,7,2,1.68240594864,25.2,1,
,2020-03-02 09:26:34.634207,7,3,0.0232040882111,22.2,1,
,2020-03-02 09:27:11.367460,7,4,36.7330098152,25.5,1,
,2020-03-02 09:27:11.626727,7,5,0.258689165115,25.5,1,
,2020-03-02 09:27:50.303780,8,1,19.3034491539,5.2,1,
,2020-03-02 09:27:52.040017,8,2,1.71770095825,25.1,1,
,2020-03-02 09:27:52.064766,8,3,0.0240430831909,22.2,1,
,2020-03-02 09:28:30.845842,8,4,38.7807788849,25.8,1,
,2020-03-02 09:28:31.098070,8,5,0.251578807831,26.0,1,
,2020-03-02 09:29:12.370412,1,1,24.3477008343,2.5,1,
,2020-03-02 09:29:14.349665,1,2,1.96237611771,25.0,1,
,2020-03-02 09:29:14.375232,1,3,0.0251488685608,20.0,1,
,2020-03-02 09:29:51.629853,1,4,37.2542960644,25.3,1,
,2020-03-02 09:29:52.421679,1,5,0.790791034698,8.3,1,
,2020-03-02 09:30:12.420305,2,1,10.2645361423,6.8,1,
,2020-03-02 09:30:14.200134,2,2,1.76142406464,25.3,1,
,2020-03-02 09:30:14.235021,2,3,0.0344438552856,20.0,1,
,2020-03-02 09:30:51.938532,2,4,37.7030789852,25.6,1,
,2020-03-02 09:30:52.214861,2,5,0.275483846664,25.2,1,
,2020-03-02 09:30:57.895610,3,1,3.09875297546,23.2,1,
,2020-03-02 09:30:59.702133,3,2,1.78805780411,25.3,1,
,2020-03-02 09:30:59.727601,3,3,0.0250389575958,22.2,1,
,2020-03-02 09:31:36.983604,3,4,37.2556970119,25.4,1,
,2020-03-02 09:31:37.247328,3,5,0.263122081757,25.7,1,
,2020-03-02 09:41:20.075541,4,1,55.0916059017,0.8,1,
,2020-03-02 09:41:21.830369,4,2,1.73472595215,25.3,1,
,2020-03-02 09:41:21.856779,4,3,0.0260419845581,33.3,1,
,2020-03-02 09:41:59.826920,4,4,37.9698591232,25.3,1,
,2020-03-02 09:42:00.080298,4,5,0.252202987671,25.5,1,
,2020-03-02 09:42:36.116228,6,1,18.1581950188,4.8,1,
,2020-03-02 09:42:38.027607,6,2,1.89267706871,25.1,1,
,2020-03-02 09:42:38.051444,6,3,0.0234680175781,22.2,1,
,2020-03-02 09:43:16.094072,6,4,38.0423300266,27.7,1,
,2020-03-02 09:43:16.372929,6,5,0.27855014801,25.9,1,
,2020-03-02 09:43:41.096737,7,1,7.6223089695,9.2,1,
,2020-03-02 09:43:42.890803,7,2,1.77603912354,25.8,1,
,2020-03-02 09:43:42.913885,7,3,0.0227160453796,33.3,1,
,2020-03-02 09:44:20.403511,7,4,37.4893438816,25.9,1,
,2020-03-02 09:44:20.674604,7,5,0.270572900772,25.9,1,
,2020-03-02 09:45:03.131007,8,1,20.9454040527,4.1,1,
,2020-03-02 09:45:04.855652,8,2,1.70867300034,25.4,1,
,2020-03-02 09:45:04.880822,8,3,0.0247359275818,30.0,1,
,2020-03-02 09:45:41.786113,8,4,36.9049968719,25.0,1,
,2020-03-02 09:45:42.077329,8,5,0.290393829346,25.6,1,
,2020-03-02 09:46:21.825469,1,1,22.2900850773,3.0,1,
,2020-03-02 09:46:23.978615,1,2,2.13200807571,24.4,1,
,2020-03-02 09:46:24.006533,1,3,0.0274429321289,18.2,1,
,2020-03-02 09:47:02.169637,1,4,38.162804842,25.5,1,
,2020-03-02 09:47:02.432146,1,5,0.261990070343,25.7,1,
,2020-03-02 09:47:22.361711,2,1,10.2649691105,6.1,1,
,2020-03-02 09:47:24.211575,2,2,1.83149790764,25.2,1,
,2020-03-02 09:47:24.233972,2,3,0.0220289230347,30.0,1,
,2020-03-02 09:48:01.917702,2,4,37.6834979057,25.5,1,
,2020-03-02 09:48:02.181013,2,5,0.262679100037,24.8,1,
,2020-03-02 09:48:07.542295,3,1,2.81849908829,25.2,1,
,2020-03-02 09:48:09.265307,3,2,1.70528197289,25.1,1,
,2020-03-02 09:48:09.286720,3,3,0.0210318565369,22.2,1,
,2020-03-02 09:48:47.044560,3,4,37.7576050758,25.6,1,
,2020-03-02 09:48:47.298152,3,5,0.253144979477,24.8,1,
,2020-03-02 09:49:35.767745,4,1,24.4555799961,3.2,1,
,2020-03-02 09:49:37.857822,4,2,2.07274603844,25.6,1,
,2020-03-02 09:49:37.887169,4,3,0.0288932323456,23.1,1,
,2020-03-02 09:50:16.443433,4,4,38.5558969975,25.6,1,
,2020-03-02 09:50:16.709977,4,5,0.266170978546,37.7,1,
,2020-03-02 09:50:52.354496,6,1,17.644546032,5.2,1,
,2020-03-02 09:50:54.104181,6,2,1.73192811012,25.4,1,
,2020-03-02 09:50:54.128345,6,3,0.0237629413605,22.2,1,
,2020-03-02 09:51:31.911435,6,4,37.782793045,25.6,1,
,2020-03-02 09:51:32.193462,6,5,0.280987977982,26.1,1,
,2020-03-02 09:51:47.311810,7,1,7.6011030674,10.1,1,
,2020-03-02 09:51:49.055021,7,2,1.7253639698,25.2,1,
,2020-03-02 09:51:49.083480,7,3,0.028076171875,30.8,1,
,2020-03-02 09:52:25.937756,7,4,36.8538930416,25.9,1,
,2020-03-02 09:52:26.202190,7,5,0.263644933701,24.8,1,
,2020-03-02 09:53:06.767085,8,1,20.3297650814,4.1,1,
,2020-03-02 09:53:08.718619,8,2,1.93040800095,25.2,1,
,2020-03-02 09:53:08.741802,8,3,0.0227921009064,20.0,1,
,2020-03-02 09:53:46.605317,8,4,37.8632440567,25.4,1,
,2020-03-02 09:53:46.863330,8,5,0.256093025208,25.2,1,
,2020-03-02 09:54:23.844102,1,1,21.1335508823,3.1,1,
,2020-03-02 09:54:25.794932,1,2,1.93552112579,25.4,1,
,2020-03-02 09:54:25.823538,1,3,0.0281040668488,33.3,1,
,2020-03-02 09:55:03.185460,1,4,37.3614430428,25.5,1,
,2020-03-02 09:55:03.457628,1,5,0.270608901978,25.7,1,
,2020-03-02 09:55:24.408627,2,1,10.8592059612,6.1,1,
,2020-03-02 09:55:26.162713,2,2,1.73575210571,25.1,1,
,2020-03-02 09:55:26.193578,2,3,0.0296700000763,25.0,1,
,2020-03-02 09:56:03.922072,2,4,37.7280321121,25.2,1,
,2020-03-02 09:56:04.198011,2,5,0.275473833084,25.5,1,
,2020-03-02 09:56:09.634740,3,1,2.89423680305,24.8,1,
,2020-03-02 09:56:11.501595,3,2,1.85011386871,25.2,1,
,2020-03-02 09:56:11.525616,3,3,0.023138999939,30.0,1,
,2020-03-02 09:56:48.359332,3,4,36.8333590031,25.9,1,
,2020-03-02 09:56:48.663534,3,5,0.302399873734,25.6,1,
,2020-03-02 10:04:45.834748,4,1,56.6682159901,0.9,1,
,2020-03-02 10:04:47.779463,4,2,1.92451715469,26.0,1,
,2020-03-02 10:04:47.804223,4,3,0.0242578983307,30.0,1,
,2020-03-02 10:05:25.078523,4,4,37.2739911079,25.1,1,
,2020-03-02 10:05:25.336953,4,5,0.258089065552,25.5,1,
,2020-03-02 10:06:01.002795,6,1,17.7163541317,4.6,1,
,2020-03-02 10:06:02.863324,6,2,1.84377813339,25.1,1,
,2020-03-02 10:06:02.886578,6,3,0.0228130817413,30.0,1,
,2020-03-02 10:06:40.156488,6,4,37.2695481777,25.5,1,
,2020-03-02 10:06:40.418682,6,5,0.261094808578,24.8,1,
,2020-03-02 10:06:54.559911,7,1,7.16289186478,9.6,1,
,2020-03-02 10:06:56.338719,7,2,1.7607088089,24.5,1,
,2020-03-02 10:06:56.361952,7,3,0.0228419303894,25.0,1,
,2020-03-02 10:07:34.132957,7,4,37.7707629204,25.2,1,
,2020-03-02 10:07:34.390892,7,5,0.257597923279,26.2,1,
,2020-03-02 10:08:12.795679,8,1,19.2835309505,5.8,1,
,2020-03-02 10:08:14.562306,8,2,1.75009894371,25.3,1,
,2020-03-02 10:08:14.586867,8,3,0.0241420269012,22.2,1,
,2020-03-02 10:08:53.239299,8,4,38.652176857,25.4,1,
,2020-03-02 10:08:53.499649,8,5,0.259094953537,25.0,1,
,2020-03-02 10:09:30.838012,1,1,20.5012331009,2.3,1,
,2020-03-02 10:09:32.547916,1,2,1.69166994095,25.5,1,
,2020-03-02 10:09:32.569298,1,3,0.0209729671478,30.0,1,
,2020-03-02 10:10:09.258226,1,4,36.688628912,25.5,1,
,2020-03-02 10:10:09.516218,1,5,0.257158994675,25.5,1,
,2020-03-02 10:10:30.033818,2,1,10.8140711784,6.9,1,
,2020-03-02 10:10:31.790564,2,2,1.73602485657,25.4,1,
,2020-03-02 10:10:31.815431,2,3,0.0244770050049,22.2,1,
,2020-03-02 10:11:11.949549,2,4,40.1338729858,25.3,1,
,2020-03-02 10:11:12.240117,2,5,0.290060043335,26.5,1,
,2020-03-02 10:11:21.129534,3,1,4.02257490158,17.7,1,
,2020-03-02 10:11:22.896029,3,2,1.74897193909,25.5,1,
,2020-03-02 10:11:22.920983,3,3,0.0245039463043,30.0,1,
,2020-03-02 10:11:59.891488,3,4,36.970184803,25.4,1,
,2020-03-02 10:12:00.421603,3,5,0.52924489975,12.3,1,
,2020-03-02 10:13:02.940994,4,1,31.9614589214,3.0,1,
,2020-03-02 10:13:04.857628,4,2,1.89891910553,25.5,1,
,2020-03-02 10:13:04.881283,4,3,0.0231740474701,27.3,1,
,2020-03-02 10:13:42.270939,4,4,37.389373064,25.4,1,
,2020-03-02 10:13:42.529590,4,5,0.257719039917,26.9,1,
,2020-03-02 10:14:18.539979,6,1,17.8508930206,4.5,1,
,2020-03-02 10:14:20.393812,6,2,1.8351521492,25.3,1,
,2020-03-02 10:14:20.419256,6,3,0.0247981548309,20.0,1,
,2020-03-02 10:14:57.282599,6,4,36.8630330563,25.8,1,
,2020-03-02 10:14:57.555828,6,5,0.272591114044,25.0,1,
,2020-03-02 10:15:11.873580,7,1,7.47847294807,9.6,1,
,2020-03-02 10:15:13.824830,7,2,1.93348789215,25.1,1,
,2020-03-02 10:15:13.850796,7,3,0.0254678726196,20.0,1,
,2020-03-02 10:15:50.396450,7,4,36.5452728271,25.3,1,
,2020-03-02 10:15:50.645624,7,5,0.248689174652,25.0,1,
,2020-03-02 10:16:28.405194,8,1,19.3993959427,5.4,1,
,2020-03-02 10:16:30.212945,8,2,1.78831887245,33.2,1,
,2020-03-02 10:16:30.234883,8,3,0.0215458869934,25.0,1,
,2020-03-02 10:17:07.439828,8,4,37.204625845,25.3,1,
,2020-03-02 10:17:07.699440,8,5,0.258692979813,26.2,1,
,2020-03-02 10:17:47.329389,1,1,21.1489088535,2.6,1,
,2020-03-02 10:17:49.072828,1,2,1.72666311264,25.6,1,
,2020-03-02 10:17:49.098414,1,3,0.0251910686493,20.0,1,
,2020-03-02 10:18:26.272619,1,4,37.1739318371,25.3,1,
,2020-03-02 10:18:26.528890,1,5,0.25594997406,26.2,1,
,2020-03-02 10:18:46.831637,2,1,10.1768419743,7.3,1,
,2020-03-02 10:18:48.579456,2,2,1.72968792915,24.9,1,
,2020-03-02 10:18:48.602939,2,3,0.0230619907379,22.2,1,
,2020-03-02 10:19:24.944929,2,4,36.341711998,25.4,1,
,2020-03-02 10:19:25.227097,2,5,0.281392097473,25.2,1,
,2020-03-02 10:19:30.772243,3,1,2.91182613373,23.9,1,
,2020-03-02 10:19:32.486860,3,2,1.69803500175,25.2,1,
,2020-03-02 10:19:32.509159,3,3,0.021910905838,25.0,1,
,2020-03-02 10:20:09.936159,3,4,37.4267609119,25.3,1,
,2020-03-02 10:20:10.195134,3,5,0.258428096771,25.2,1,
,2020-03-02 10:27:59.400959,4,1,434.056596041,0.9,1,
,2020-03-02 10:28:01.185226,4,2,1.76528310776,25.2,1,
,2020-03-02 10:28:01.209819,4,3,0.0241730213165,22.2,1,
,2020-03-02 10:28:37.288768,4,4,36.0786499977,25.9,1,
,2020-03-02 10:28:37.564612,4,5,0.275237798691,25.5,1,
,2020-03-02 10:29:12.555332,6,1,17.6224999428,4.5,1,
,2020-03-02 10:29:14.335621,6,2,1.76382803917,25.4,1,
,2020-03-02 10:29:14.357827,6,3,0.021831035614,30.0,1,
,2020-03-02 10:29:51.826667,6,4,37.4685680866,25.4,1,
,2020-03-02 10:29:52.110798,6,5,0.283295869827,24.8,1,
,2020-03-02 10:30:06.295090,7,1,7.26950001717,9.7,1,
,2020-03-02 10:30:08.165252,7,2,1.85066914558,25.2,1,
,2020-03-02 10:30:08.188949,7,3,0.0233149528503,22.2,1,
,2020-03-02 10:30:45.402114,7,4,37.2127850056,25.9,1,
,2020-03-02 10:30:45.673678,7,5,0.270910978317,25.7,1,
,2020-03-02 10:31:23.352983,8,1,19.0860600471,5.3,1,
,2020-03-02 10:31:25.134182,8,2,1.764346838,24.9,1,
,2020-03-02 10:31:25.158806,8,3,0.0238790512085,20.0,1,
,2020-03-02 10:32:02.309279,8,4,37.1501870155,25.2,1,
,2020-03-02 10:32:02.565099,8,5,0.255338907242,24.5,1,
,2020-03-02 10:32:37.477906,1,1,18.1649851799,3.4,1,
,2020-03-02 10:32:39.595415,1,2,2.0962870121,25.2,1,
,2020-03-02 10:32:39.623007,1,3,0.0268940925598,25.0,1,
,2020-03-02 10:33:17.956742,1,4,38.3333981037,25.5,1,
,2020-03-02 10:33:18.220668,1,5,0.263288974762,25.0,1,
,2020-03-02 10:33:38.239321,2,1,10.1563570499,5.7,1,
,2020-03-02 10:33:40.140695,2,2,1.884319067,24.8,1,
,2020-03-02 10:33:40.167967,2,3,0.0267400741577,25.0,1,
,2020-03-02 10:34:17.790258,2,4,37.6217582226,25.4,1,
,2020-03-02 10:34:18.055971,2,5,0.26461315155,26.2,1,
,2020-03-02 10:34:23.587520,3,1,2.8856151104,25.0,1,
,2020-03-02 10:34:25.384734,3,2,1.77881383896,25.7,1,
,2020-03-02 10:34:25.408212,3,3,0.0230259895325,20.0,1,
,2020-03-02 10:35:02.686747,3,4,37.2782959938,25.9,1,
,2020-03-02 10:35:03.919417,3,5,1.2322268486,5.7,1,
,2020-03-02 10:37:09.417386,6,1,17.9604520798,1.8,1,
