,RMSE 0,MSE 0,MAE 0,RMSE 1,MSE 1,MAE 1,RMSE 2,MSE 2,MAE 2,RMSE 3,MSE 3,MAE 3,RMSE 4,MSE 4,MAE 4,RMSE 5,MSE 5,MAE 5,RMSE 6,MSE 6,MAE 6,RMSE 7,MSE 7,MAE 7,RMSE 8,MSE 8,MAE 8,RMSE 9,MSE 9,MAE 9
Plain Ping,0.005864776897627149,3.439560805894113e-05,0.0032588064998488823,0.00779620198737196,6.07807654279025e-05,0.00518764766672227,0.006568669811117598,4.31474230874877e-05,0.003960881236237282,0.0057703322391222285,3.329673414985335e-05,0.003632933753032728,0.005941321379989294,3.529929974031789e-05,0.0038440285149202603,0.011197385128697071,0.00012538143372036633,0.008723046478210915,0.006223933109553679,3.873734335219852e-05,0.003705871097852828,0.008685662516146189,7.544073334438693e-05,0.0053770970003721155,0.005728600816285725,3.2816867312349475e-05,0.0034740635183929023,0.005763280360921374,3.3215400518582004e-05,0.003365047045351238
All Servers,0.0058350212461314764,3.404747294280573e-05,0.003278053278669544,0.006498771219132257,4.2234027358621766e-05,0.003678188895293232,0.005835288534833363,3.405059228475769e-05,0.003302061442152122,0.009400218862368182,8.836411466042255e-05,0.007316958816886862,0.007508460273678148,5.637697568140293e-05,0.004555099345445185,0.007451208741830573,5.552051171433235e-05,0.005204546642584609,0.00586831688852096,3.443714310410032e-05,0.003398503725835824,0.005757712897370347,3.315125780854484e-05,0.003345509165942641,0.005807579647570076,3.372798136287016e-05,0.0035111307600991727,0.006399993800830551,4.0959920650669475e-05,0.004122535966663899
5 sample Sampling Rate,0.2559801816338382,0.06552585338929277,0.13666472398135995,0.21568558322270415,0.04652027081011804,0.1406423671083633,0.26807735172069175,0.07186546650557948,0.21501929338363612,0.1949303094888458,0.0379978255574172,0.16238161961614042,0.21404143982147197,0.04581373796084881,0.12859751694790764,0.19888917187586538,0.03955690268946752,0.10953836167149433,0.3817142116753021,0.14570573939489737,0.26608493000848027,0.20410506317855978,0.041658876815123876,0.131360725588911,0.21812486001072517,0.04757845455469845,0.11863791890495456,0.22846293084816818,0.05219531077173487,0.14821572324296242
10 sample Sampling Rate,0.28881117452571414,0.08341189453092253,0.21518548495949427,0.22456295969264414,0.050428522865920124,0.16499554659000862,0.23541174579690022,0.05541869005914437,0.16781415162953242,0.2300064993760462,0.052902989755223145,0.13827071624244316,0.262210724061928,0.06875446381308055,0.22699381368793423,0.27443601546984325,0.07531512658696404,0.18800747282488417,0.19107439878820412,0.03650942587227366,0.128309188768304,0.237168029326355,0.05624867413454679,0.15432608810785486,0.24400970967364474,0.05954073841501639,0.1696703787778013,0.2255650974921174,0.05087961320662843,0.13781482340180404
20 sample Sampling Rate,0.22836657743809408,0.052151293690789025,0.11734867921538716,0.22141524983527136,0.049024712859615634,0.13622755135333367,0.29718631698216125,0.08831970700142161,0.21683669387274432,0.2096827949617302,0.043966874502962994,0.10682154287071403,0.22188253766993019,0.04923186052284798,0.12030874571804591,0.27143649210699766,0.0736777692473522,0.15909245108348588,0.3075592594593528,0.09459269807918551,0.19810268200678302,0.2191671197862251,0.04803422639538954,0.1304502516522231,0.2268530967628674,0.051462327510902885,0.15595143342050757,0.28434158802862186,0.0808501386826385,0.17430046805556385
