,RMSE 0,MSE 0,MAE 0,RMSE 1,MSE 1,MAE 1,RMSE 2,MSE 2,MAE 2,RMSE 3,MSE 3,MAE 3,RMSE 4,MSE 4,MAE 4,RMSE 5,MSE 5,MAE 5,RMSE 6,MSE 6,MAE 6,RMSE 7,MSE 7,MAE 7,RMSE 8,MSE 8,MAE 8,RMSE 9,MSE 9,MAE 9
Plain Ping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Servers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 sample Sampling Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 sample Sampling Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 sample Sampling Rate,0.0016935158676462286,2.8679959939695585e-06,0.0013809927505759412,0.0016434759205772565,2.7010131015172606e-06,0.0013710099509292959,0.0012928165843985962,1.6713747208960526e-06,0.0010857287478523395,0.0010779617140321877,1.162001456919212e-06,0.0008279151447743617,0.0008924346153226108,7.964395426260163e-07,0.000696043201799286,0.0020010085789880427,4.004035333183746e-06,0.001639604921210264,0.0018798136071388318,3.5336991975843063e-06,0.001146531377012079,0.002036503634404499,4.147347052942733e-06,0.0016561446625981558,0.001364258734222024,1.8612018939010794e-06,0.0011235735638967048,0.0008620989000807069,7.432145135203646e-07,0.0007006968263313474
