ID,ActionTime,Tactic,Server,
41,2019-06-24T00:34:30.518Z,1,5,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:34:30.518Z', 1,5);"
42,2019-06-24T00:35:29.000Z,0,5,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:35:29.000Z', 0,5);"
43,2019-06-24T00:35:30.253Z,2,5,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:35:30.253Z', 2,5);"
44,2019-06-24T00:37:02.000Z,0,5,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:37:02.000Z', 0,5);"
45,2019-06-24T00:37:03.295Z,3,5,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:37:03.295Z', 3,5);"
46,2019-06-24T00:37:14.000Z,0,5,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:37:14.000Z', 0,5);"
47,2019-06-24T00:37:15.286Z,4,5,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:37:15.286Z', 4,5);"
48,2019-06-24T00:39:58.000Z,0,5,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:39:58.000Z', 0,5);"
49,2019-06-24T00:39:59.540Z,5,5,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:39:59.540Z', 5,5);"
50,2019-06-24T00:39:59.000Z,0,5,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:39:59.000Z', 0,5);"
51,2019-06-24T00:40:00.549Z,1,6,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:40:00.549Z', 1,6);"
52,2019-06-24T00:45:43.000Z,0,6,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:45:43.000Z', 0,6);"
53,2019-06-24T00:45:44.410Z,2,6,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:45:44.410Z', 2,6);"
54,2019-06-24T00:45:55.000Z,0,6,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:45:55.000Z', 0,6);"
55,2019-06-24T00:45:56.245Z,3,6,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:45:56.245Z', 3,6);"
56,2019-06-24T00:46:04.000Z,0,6,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:46:04.000Z', 0,6);"
57,2019-06-24T00:46:05.075Z,4,6,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:46:05.075Z', 4,6);"
58,2019-06-24T00:49:26.000Z,0,6,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:49:26.000Z', 0,6);"
59,2019-06-24T00:49:27.507Z,5,6,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:49:27.507Z', 5,6);"
60,2019-06-24T00:49:28.000Z,0,6,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:49:28.000Z', 0,6);"
61,2019-06-24T00:49:29.458Z,1,7,"insert into down (ActionTime, Tactic, Server) values ('2019-06-24T00:49:29.458Z', 1,7);"
