,RMSE 0,MSE 0,MAE 0,RMSE 1,MSE 1,MAE 1,RMSE 2,MSE 2,MAE 2,RMSE 3,MSE 3,MAE 3,RMSE 4,MSE 4,MAE 4,RMSE 5,MSE 5,MAE 5,RMSE 6,MSE 6,MAE 6,RMSE 7,MSE 7,MAE 7,RMSE 8,MSE 8,MAE 8,RMSE 9,MSE 9,MAE 9
Plain Ping,0.012316304318466104,0.0001516913520650668,0.0062601115360476365,0.009121593450712378,8.320346708007896e-05,0.004828824580512112,0.008878788391790807,7.883288330619917e-05,0.004405977517139758,0.008732127368885765,7.625004838644383e-05,0.004703791822333488,0.00978808852835628,9.58066770389398e-05,0.005246508383489703,0.010661007876534297,0.0001136570889435263,0.005548888506879583,0.011839864793232227,0.00014018239832202001,0.0063195843754523294,0.008621324432214528,7.432723496549915e-05,0.004379354805705377,0.009938568670992241,9.877514722802849e-05,0.005380152903396316,0.009335713213218494,8.715554119946236e-05,0.005020359261220187
All Servers,0.00991154818855444,9.823878749403682e-05,0.005048595209297094,0.009010897478843599,8.119627337422991e-05,0.004651265494176984,0.009563470618173137,9.145997026466089e-05,0.004963147234749818,0.01081590941825186,0.00011698389654382929,0.005966500453978711,0.008675510844232607,7.526448840839755e-05,0.004595571130261177,0.010638113201663389,0.00011316945249140486,0.005504656410102765,0.00882880001080066,7.794770963071375e-05,0.005314718003661278,0.008775813199018163,7.701489730406142e-05,0.004509488299464503,0.009265176964651458,8.5843504186308e-05,0.004690184329605827,0.008861948919160223,7.853413864580505e-05,0.004914038419066388
5 sample Sampling Rate,0.00688312937917071,4.737747005040296e-05,0.004868352715162697,0.008436034159318283,7.116667233718492e-05,0.005663334178848134,0.006069595511454908,3.683998967267356e-05,0.003998377269323979,0.008676787726189655,7.528664524535546e-05,0.005382654369359813,0.004509177069959892,2.033267784825207e-05,0.0031302312732277987,0.005950503869534198,3.540849630134147e-05,0.004093886979038272,0.0037837465985601014,1.4316738322115138e-05,0.0026647392490627766,0.007414624050286927,5.497664980709332e-05,0.004139023149775211,0.004417177249938302,1.9511454857372504e-05,0.0030396959269110755,0.004605160759593743,2.1207505621702017e-05,0.0031795241246077473
10 sample Sampling Rate,0.00881044787126928,7.762399169235337e-05,0.004878658402188186,0.008519558499013563,7.258287701811422e-05,0.006116254782815324,0.007781254923616156,6.0547928186300675e-05,0.005317039430551719,0.007669827807109203,5.882625859070556e-05,0.004876371135265269,0.006680702585714936,4.463178703877823e-05,0.003896752467183996,0.008824401624919776,7.78700640378868e-05,0.005858483484323276,0.007233231670716704,5.231964040225916e-05,0.004758393659907591,0.007816923992410648,6.110430070312523e-05,0.004735240882794971,0.005209548880976368,2.7139399543282125e-05,0.0036596358821346466,0.00914735973089576,8.367419004641335e-05,0.006356690863074388
20 sample Sampling Rate,0.006773139807733718,4.587542285510714e-05,0.004534082206445013,0.007881862510404484,6.212375663291969e-05,0.00520838087679184,0.00816849118274765,6.67242482026261e-05,0.005246810091414626,0.007305893758053461,5.337608360396452e-05,0.005038073360522013,0.010196097997319626,0.00010396041437094529,0.0061612441725244355,0.009982855712251926,9.965740817164091e-05,0.0064579275654813246,0.009921894555022782,9.844399156099074e-05,0.006847193886593858,0.007594874086512412,5.768211238997775e-05,0.0046140697049890855,0.00860405980978925,7.402984521043063e-05,0.005382925777208193,0.007873538682819838,6.199261138986035e-05,0.005218280199199752
