,RMSE,MSE,MAE
Plain Ping,0.06137866560514933,0.0037673405914687417,0.045410414199416514
All Servers,0.06137866560514933,0.0037673405914687417,0.045410414199416514
5 sample Sampling Rate,0.22468272150783683,0.05048232534416816,0.07632112848410598
10 sample Sampling Rate,0.2234323050162422,0.04992199492487109,0.07852344459220355
20 sample Sampling Rate,0.2220058434641025,0.04928659453220757,0.07761056695196343
