,RMSE,MSE,MAE
Plain Ping,0.009412309076422973,8.859156215011427e-05,0.004515949900986406
All Servers,0.009412309076422973,8.859156215011427e-05,0.004515949900986406
5 sample Sampling Rate,0.20441740990523738,0.041786477472365836,0.04717544173680933
10 sample Sampling Rate,0.20595687665212215,0.04241823504029746,0.047692488163195414
20 sample Sampling Rate,0.20900100841896083,0.04368142152014254,0.048609334834287136
