ID,ActionTime,Cost1,Cost2,,0
107,2019-07-22T00:02:59.000Z,268.73,1364.44,,
108,2019-07-22T00:03:00.000Z,270.12,1378.3,,
109,2019-07-22T00:03:01.000Z,270.73,1378.3,,
110,2019-07-22T00:03:02.000Z,270.65,1379.84,,
111,2019-07-22T00:03:03.000Z,272.43,1362.9,,
112,2019-07-22T00:03:04.000Z,267.11,1370.6,,
113,2019-07-22T00:03:05.000Z,270.73,1379.84,,
114,2019-07-22T00:03:06.000Z,293.22,1489.18,,
115,2019-07-22T00:03:07.000Z,273.04,1395.24,,
116,2019-07-22T00:03:08.000Z,272.66,1398.32,,
117,2019-07-22T00:03:09.000Z,272.89,1398.32,,
118,2019-07-22T00:03:10.000Z,271.66,1384.46,,
119,2019-07-22T00:03:11.000Z,274.89,1398.32,,
120,2019-07-22T00:03:12.000Z,270.81,1430.66,,
121,2019-07-22T00:03:13.000Z,273.35,1390.62,,
122,2019-07-22T00:03:14.000Z,272.04,1390.62,,
123,2019-07-22T00:03:15.000Z,293.76,1501.5,,
124,2019-07-22T00:03:16.000Z,295.53,1612.38,,
125,2019-07-22T00:03:17.000Z,293.91,1506.12,,
126,2019-07-22T00:03:18.000Z,273.43,1395.24,,
127,2019-07-22T00:03:19.000Z,271.66,1384.46,,
128,2019-07-22T00:03:20.000Z,271.04,1392.16,,
129,2019-07-22T00:03:21.000Z,272.81,1392.16,,
130,2019-07-22T00:03:22.000Z,271.19,1384.46,,
131,2019-07-22T00:03:23.000Z,271.04,1384.46,,
132,2019-07-22T00:03:24.000Z,270.12,1382.92,,
133,2019-07-22T00:03:25.000Z,272.04,1390.62,,
134,2019-07-22T00:03:26.000Z,272.73,1390.62,,
135,2019-07-22T00:03:27.000Z,273.2,1395.24,,
136,2019-07-22T00:03:28.000Z,273.12,1390.62,,
137,2019-07-22T00:03:29.000Z,270.81,1382.92,,
138,2019-07-22T00:03:30.000Z,273.12,1395.24,,
139,2019-07-22T00:03:31.000Z,272.81,1392.16,,
140,2019-07-22T00:03:32.000Z,272.04,1387.54,,
141,2019-07-22T00:03:33.000Z,272.43,1387.54,,
142,2019-07-22T00:03:34.000Z,272.89,1413.72,,
143,2019-07-22T00:03:35.000Z,272.04,1442.98,,
144,2019-07-22T00:03:36.000Z,273.35,1392.16,,
145,2019-07-22T00:03:37.000Z,272.73,1392.16,,
146,2019-07-22T00:03:38.000Z,271.04,1384.46,,
147,2019-07-22T00:03:39.000Z,272.73,1392.16,,
148,2019-07-22T00:03:40.000Z,271.35,1382.92,,
149,2019-07-22T00:03:41.000Z,273.35,1395.24,,
150,2019-07-22T00:03:42.000Z,272.5,1387.54,,
151,2019-07-22T00:03:43.000Z,275.35,1379.84,,
152,2019-07-22T00:03:44.000Z,271.19,1375.22,,
153,2019-07-22T00:03:45.000Z,294.29,1506.12,,
154,2019-07-22T00:03:46.000Z,271.12,1379.84,,
155,2019-07-22T00:03:47.000Z,272.66,1390.62,,
156,2019-07-22T00:03:48.000Z,272.66,1392.16,,
157,2019-07-22T00:03:49.000Z,273.04,1395.24,,
158,2019-07-22T00:03:50.000Z,275.89,1402.94,,
159,2019-07-22T00:03:51.000Z,270.65,1382.92,,
160,2019-07-22T00:03:52.000Z,272.89,1392.16,,
161,2019-07-22T00:03:53.000Z,270.96,1378.3,,
162,2019-07-22T00:03:54.000Z,270.65,1378.3,,
163,2019-07-22T00:03:55.000Z,272.19,1387.54,,
164,2019-07-22T00:03:56.000Z,274.89,1407.56,,
165,2019-07-22T00:03:57.000Z,273.35,1392.16,,
166,2019-07-22T00:03:58.000Z,273.12,1392.16,,
167,2019-07-22T00:03:59.000Z,273.2,1392.16,,
168,2019-07-22T00:04:00.000Z,272.12,1390.62,,
169,2019-07-22T00:04:01.000Z,272.89,1390.62,,
170,2019-07-22T00:04:02.000Z,272.5,1392.16,,
171,2019-07-22T00:04:03.000Z,271.81,1390.62,,
172,2019-07-22T00:04:04.000Z,277.82,1387.54,,
173,2019-07-22T00:04:05.000Z,273.12,1390.62,,
174,2019-07-22T00:04:06.000Z,429.27,2162.16,,
175,2019-07-22T00:04:07.000Z,273.81,1398.32,,
176,2019-07-22T00:04:08.000Z,273.2,1395.24,,
177,2019-07-22T00:04:09.000Z,272.66,1392.16,,
178,2019-07-22T00:04:10.000Z,272.43,1392.16,,
179,2019-07-22T00:04:11.000Z,272.81,1390.62,,
180,2019-07-22T00:04:12.000Z,273.04,1392.16,,
181,2019-07-22T00:04:13.000Z,273.35,1392.16,,
182,2019-07-22T00:04:14.000Z,272.35,1390.62,,
183,2019-07-22T00:04:15.000Z,271.12,1382.92,,
184,2019-07-22T00:04:16.000Z,272.43,1395.24,,
185,2019-07-22T00:04:17.000Z,272.04,1390.62,,
186,2019-07-22T00:04:18.000Z,269.73,1406.02,,
187,2019-07-22T00:04:19.000Z,268.81,1367.52,,
188,2019-07-22T00:04:20.000Z,267.34,1372.14,,
189,2019-07-22T00:04:21.000Z,268.65,1367.52,,
190,2019-07-22T00:04:22.000Z,313.24,1561.56,,
191,2019-07-22T00:04:23.000Z,270.19,1378.3,,
192,2019-07-22T00:04:24.000Z,268.65,1370.6,,
193,2019-07-22T00:04:25.000Z,269.73,1378.3,,
194,2019-07-22T00:04:26.000Z,270.5,1382.92,,
195,2019-07-22T00:04:27.000Z,269.65,1378.3,,
196,2019-07-22T00:04:28.000Z,271.12,1387.54,,
197,2019-07-22T00:04:29.000Z,293.52,1541.54,,
198,2019-07-22T00:04:30.000Z,270.42,1382.92,,
199,2019-07-22T00:04:31.000Z,270.5,1379.84,,
200,2019-07-22T00:04:32.000Z,272.12,1387.54,,
201,2019-07-22T00:04:33.000Z,297.22,1501.5,,
202,2019-07-22T00:04:34.000Z,269.5,1382.92,,
203,2019-07-22T00:04:35.000Z,270.65,1379.84,,
204,2019-07-22T00:04:36.000Z,272.81,1390.62,,
205,2019-07-22T00:04:37.000Z,269.42,1375.22,,
206,2019-07-22T00:04:38.000Z,270.12,1375.22,,
207,2019-07-22T00:04:39.000Z,270.81,1415.26,,
208,2019-07-22T00:04:40.000Z,272.04,1379.84,,
209,2019-07-22T00:04:41.000Z,427.89,2180.64,,
210,2019-07-22T00:04:42.000Z,295.22,1501.5,,
211,2019-07-22T00:04:43.000Z,273.35,1390.62,,
212,2019-07-22T00:04:44.000Z,410.72,2066.68,,
213,2019-07-22T00:04:45.000Z,316.93,1604.68,,
214,2019-07-22T00:04:46.000Z,320.63,1623.16,,
215,2019-07-22T00:04:47.000Z,477.48,2046.66,,
216,2019-07-22T00:04:48.000Z,348.12,1771,,
217,2019-07-22T00:04:49.000Z,411.87,2038.96,,
218,2019-07-22T00:04:50.000Z,410.95,2058.98,,
219,2019-07-22T00:04:51.000Z,320.47,1596.98,,
220,2019-07-22T00:04:52.000Z,318.09,1617,,
221,2019-07-22T00:04:53.000Z,317.55,1615.46,,
222,2019-07-22T00:04:54.000Z,317.78,1774.08,,
223,2019-07-22T00:04:55.000Z,326.02,1640.1,,
224,2019-07-22T00:04:56.000Z,322.71,1635.48,,
225,2019-07-22T00:04:57.000Z,322.78,1655.5,,
226,2019-07-22T00:04:58.000Z,434.36,2131.36,,
227,2019-07-22T00:04:59.000Z,413.57,2083.62,,
228,2019-07-22T00:05:00.000Z,415.49,2094.4,,
229,2019-07-22T00:05:01.000Z,323.25,1687.84,,
230,2019-07-22T00:05:03.000Z,322.24,1650.88,,
231,2019-07-22T00:05:04.000Z,322.94,1726.34,,
232,2019-07-22T00:05:05.000Z,413.1,2102.1,,
233,2019-07-22T00:05:06.000Z,358.59,2018.94,,
234,2019-07-22T00:05:07.000Z,377.38,1908.06,,
235,2019-07-22T00:05:08.000Z,361.59,1991.22,,
236,2019-07-22T00:05:09.000Z,349.19,1783.32,,
237,2019-07-22T00:05:10.000Z,298.99,1526.14,,
238,2019-07-22T00:05:11.000Z,324.25,1573.88,,
239,2019-07-22T00:05:12.000Z,323.09,1561.56,,
240,2019-07-22T00:05:13.000Z,329.17,1564.64,,
241,2019-07-22T00:05:14.000Z,309.31,1684.76,,
242,2019-07-22T00:05:15.000Z,296.6,1509.2,,
243,2019-07-22T00:05:16.000Z,298.91,1526.14,,
244,2019-07-22T00:05:17.000Z,303.23,1532.3,,
245,2019-07-22T00:05:18.000Z,331.18,1581.58,,
246,2019-07-22T00:05:19.000Z,307.85,1561.56,,
247,2019-07-22T00:05:20.000Z,329.71,1592.36,,
248,2019-07-22T00:05:21.000Z,291.83,1486.1,,
249,2019-07-22T00:05:22.000Z,417.65,2109.8,,
250,2019-07-22T00:05:23.000Z,428.5,2106.72,,
251,2019-07-22T00:05:24.000Z,429.66,2074.38,,
252,2019-07-22T00:05:25.000Z,414.41,2086.7,,
253,2019-07-22T00:05:26.000Z,414.95,2058.98,,
254,2019-07-22T00:05:27.000Z,431.35,2086.7,,
255,2019-07-22T00:05:28.000Z,416.42,2145.22,,
256,2019-07-22T00:05:29.000Z,419.65,2071.3,,
257,2019-07-22T00:05:30.000Z,418.57,2114.42,,
258,2019-07-22T00:05:31.000Z,420.19,2097.48,,
259,2019-07-22T00:05:32.000Z,422.5,2097.48,,
260,2019-07-22T00:05:33.000Z,352.89,1824.9,,
261,2019-07-22T00:05:34.000Z,320.7,1637.02,,
262,2019-07-22T00:05:35.000Z,368.06,1794.1,,
263,2019-07-22T00:05:36.000Z,357.43,1791.02,,
264,2019-07-22T00:05:37.000Z,444.6,2208.36,,
265,2019-07-22T00:05:38.000Z,448.06,2362.36,,
266,2019-07-22T00:05:39.000Z,440.67,2346.96,,
267,2019-07-22T00:05:40.000Z,448.29,2217.6,,
268,2019-07-22T00:05:41.000Z,354.12,1789.48,,
269,2019-07-22T00:05:42.000Z,354.74,1771,,
270,2019-07-22T00:05:43.000Z,386.15,1758.68,,
271,2019-07-22T00:05:44.000Z,358.9,1957.34,,
272,2019-07-22T00:05:45.000Z,390.31,1998.92,,
273,2019-07-22T00:05:46.000Z,354.28,1801.8,,
274,2019-07-22T00:05:47.000Z,362.21,1985.06,,
275,2019-07-22T00:05:48.000Z,389.93,1888.04,,
276,2019-07-22T00:05:49.000Z,418.57,2079,,
277,2019-07-22T00:05:50.000Z,433.36,2079,,
278,2019-07-22T00:05:51.000Z,320.01,1629.32,,
279,2019-07-22T00:05:52.000Z,318.09,1623.16,,
280,2019-07-22T00:05:53.000Z,318.09,1617,,
281,2019-07-22T00:05:54.000Z,412.57,2079,,
282,2019-07-22T00:05:55.000Z,318.78,1623.16,,
283,2019-07-22T00:05:56.000Z,318.55,1617,,
284,2019-07-22T00:05:57.000Z,373.07,1971.2,,
285,2019-07-22T00:05:58.000Z,361.82,2359.28,,
286,2019-07-22T00:05:59.000Z,381.61,1831.06,,
287,2019-07-22T00:06:00.000Z,351.81,1826.44,,
288,2019-07-22T00:06:01.000Z,453.3,2306.92,,
289,2019-07-22T00:06:02.000Z,355.97,1888.04,,
290,2019-07-22T00:06:03.000Z,391.85,1925,,
291,2019-07-22T00:06:04.000Z,358.59,1771,,
292,2019-07-22T00:06:05.000Z,388.16,1829.52,,
293,2019-07-22T00:06:06.000Z,358.28,1831.06,,
294,2019-07-22T00:06:07.000Z,297.6,1516.9,,
295,2019-07-22T00:06:08.000Z,297.6,1513.82,,
296,2019-07-22T00:06:09.000Z,303.23,1541.54,,
297,2019-07-22T00:06:10.000Z,357.43,1811.04,,
298,2019-07-22T00:06:11.000Z,311.39,1553.86,,
299,2019-07-22T00:06:12.000Z,296.6,1489.18,,
300,2019-07-22T00:06:13.000Z,330.41,1587.74,,
301,2019-07-22T00:06:14.000Z,270.5,1406.02,,
302,2019-07-22T00:06:15.000Z,267.96,1370.6,,
303,2019-07-22T00:06:16.000Z,272.5,1390.62,,
304,2019-07-22T00:06:17.000Z,274.89,1395.24,,
305,2019-07-22T00:06:18.000Z,273.73,1399.86,,
306,2019-07-22T00:06:19.000Z,271.5,1387.54,,
307,2019-07-22T00:06:20.000Z,271.19,1382.92,,
