2019-07-22T00:05:17.000Z,0,4,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:05:17.000Z', 0,4);"
2019-07-22T00:05:18.833Z,1,5,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:05:18.833Z', 1,5);"
2019-07-22T00:05:20.000Z,0,5,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:05:20.000Z', 0,5);"
2019-07-22T00:05:21.134Z,2,5,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:05:21.134Z', 2,5);"
2019-07-22T00:05:21.000Z,0,5,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:05:21.000Z', 0,5);"
2019-07-22T00:05:22.154Z,3,5,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:05:22.154Z', 3,5);"
2019-07-22T00:06:32.000Z,0,5,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:06:32.000Z', 0,5);"
2019-07-22T00:06:33.724Z,4,5,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:06:33.724Z', 4,5);"
2019-07-22T00:06:34.000Z,0,5,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:06:34.000Z', 0,5);"
2019-07-22T00:06:35.306Z,5,5,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:06:35.306Z', 5,5);"
2019-07-22T00:06:35.000Z,0,5,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:06:35.000Z', 0,5);"
2019-07-22T00:06:36.435Z,1,6,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:06:36.435Z', 1,6);"
2019-07-22T00:06:37.000Z,0,6,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:06:37.000Z', 0,6);"
2019-07-22T00:06:38.926Z,2,6,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:06:38.926Z', 2,6);"
2019-07-22T00:06:38.000Z,0,6,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:06:38.000Z', 0,6);"
2019-07-22T00:06:39.968Z,3,6,"insert into down_722 (ActionTime, Tactic, Server) values ('2019-07-22T00:06:39.968Z', 3,6);"
