"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
" 82",170.026811356024,168.800307996491,171.253314715557,168.151036337498,171.90258637455
" 83",169.866840166706,168.405619349657,171.328060983754,167.632095774147,172.101584559264
" 84",169.839216108671,168.358586669795,171.319845547547,167.574788790513,172.103643426828
" 85",169.857247615086,168.376430010031,171.338065220142,167.592532521591,172.121962708582
" 86",169.875127324463,168.392705754291,171.357548894635,167.607959178008,172.142295470919
" 87",169.882657094598,168.399713491211,171.365600697986,167.614690567236,172.15062362196
" 88",169.883518491666,168.400541180115,171.366495803218,167.615500412117,172.151536571216
" 89",169.882385561622,168.39940637293,171.365364750315,167.614364611233,172.150406512011
" 90",169.881458473236,168.398474484478,171.364442461995,167.61343018178,172.149486764693
" 91",169.881112496887,168.398127273471,171.364097720303,167.613082317184,172.149142676589
" 92",169.881096619255,168.398111344032,171.364081894479,167.61306636032,172.14912687819
" 93",169.881164023722,168.398178738073,171.36414930937,167.613133748843,172.149194298601
" 94",169.881211239006,168.398225939615,171.364196538397,167.61318094311,172.149241534903
" 95",169.881226679681,168.398241377482,171.36421198188,167.61319637949,172.149256979871
" 96",169.881226076957,168.398240774694,171.36421137922,167.613195776669,172.149256377245
" 97",169.881222219547,168.398236917239,171.364207521855,167.613191919189,172.149252519904
" 98",169.881219856886,168.398234554541,171.364205159232,167.613189556471,172.149250157302
" 99",169.881219193019,168.398233890667,171.364204495371,167.613188892594,172.149249493443
"100",169.881219293628,168.398233991276,171.364204595979,167.613188993203,172.149249594052
"101",169.881219507847,168.398234205495,171.364204810199,167.613189207422,172.149249808272
"102",169.881219623981,168.398234321629,171.364204926333,167.613189323556,172.149249924406
"103",169.881219651086,168.398234348734,171.364204953438,167.613189350661,172.149249951511
"104",169.881219642562,168.39823434021,171.364204944914,167.613189342137,172.149249942987
"105",169.881219630956,168.398234328604,171.364204933308,167.613189330531,172.149249931381
"106",169.881219625354,168.398234323001,171.364204927706,167.613189324928,172.149249925779
"107",169.881219624332,168.39823432198,171.364204926684,167.613189323907,172.149249924757
"108",169.881219624928,168.398234322576,171.36420492728,167.613189324503,172.149249925353
"109",169.881219625544,168.398234323192,171.364204927896,167.613189325119,172.149249925969
"110",169.881219625808,168.398234323456,171.364204928161,167.613189325383,172.149249926234
"111",169.881219625842,168.39823432349,171.364204928194,167.613189325417,172.149249926267
"112",169.881219625804,168.398234323452,171.364204928156,167.613189325379,172.149249926229
"113",169.881219625772,168.39823432342,171.364204928124,167.613189325347,172.149249926197
"114",169.88121962576,168.398234323407,171.364204928112,167.613189325334,172.149249926185
"115",169.881219625759,168.398234323407,171.364204928111,167.613189325334,172.149249926184
"116",169.881219625761,168.398234323409,171.364204928113,167.613189325336,172.149249926186
"117",169.881219625763,168.398234323411,171.364204928115,167.613189325338,172.149249926188
"118",169.881219625763,168.398234323411,171.364204928115,167.613189325338,172.149249926188
"119",169.881219625763,168.398234323411,171.364204928115,167.613189325338,172.149249926188
"120",169.881219625763,168.398234323411,171.364204928115,167.613189325338,172.149249926188
"121",169.881219625763,168.398234323411,171.364204928115,167.613189325338,172.149249926188
