"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"4.375000",1.83034948705141,1.73506251576261,1.92563645834022,1.68462064012625,1.97607833397658
"4.416667",1.83536124002531,1.70060511291123,1.9701173671394,1.62926952827475,2.04145295177588
"4.458333",1.84519003821919,1.68014816264762,2.01023191379075,1.59278027121637,2.097599805222
"4.500000",1.83836970725094,1.64779576467333,2.02894364982855,1.5469120134006,2.12982740110127
"4.541667",1.8517574184174,1.63868927324556,2.06482556358923,1.52589781041006,2.17761702642473
"4.583333",1.85184297286941,1.61843851407661,2.08524743166221,1.49488165709859,2.20880428864023
"4.625000",1.83313347902761,1.58102784981288,2.08523910824234,1.44757119121542,2.2186957668398
"4.666667",1.78758463102663,1.51807237679846,2.05709688525479,1.3754012075255,2.19976805452775
"4.708333",1.80001666803699,1.51415575417058,2.0858775819034,1.36283012726149,2.23720320881249
"4.750000",1.77367533148051,1.47235147086881,2.0749991920922,1.31284025440695,2.23451040855406
"4.791667",1.82465398097126,1.50862284979693,2.14068511214559,1.34132607458934,2.30798188735317
"4.833333",1.81977717127031,1.48969342012718,2.14986092241344,1.31495763726468,2.32459670527595
"4.875000",1.81951255537978,1.47595049451433,2.16307461624523,1.29407972547684,2.34494538528271
"4.916667",1.80158660119498,1.44505540120891,2.15811780118105,1.25631918463138,2.34685401775858
"4.958333",1.59548549588303,1.22644064297095,1.96453034879511,1.03108009867985,2.15989089308621
"5.000000",1.61373052158412,1.23258263642891,1.99487840673934,1.03081513388345,2.19664590928479
"5.041667",1.66239821599279,1.26951996862385,2.05527646336172,1.06154278742085,2.26325364456472
"5.083333",1.66249976811534,1.25823138677309,2.06676814945759,1.04422463286365,2.28077490336704
"5.125000",1.69213724855403,1.27679097007007,2.10748352703799,1.05691993164852,2.32735456545954
"5.166667",1.67017195875065,1.24403566840698,2.09630824909432,1.01845274273598,2.32189117476532
"5.208333",1.72216771031182,1.28550795163779,2.15882746898585,1.05435423833861,2.38998118228503
"5.250000",1.73973376972812,1.29279825788927,2.18666928156697,1.05620488944942,2.42326265000682
"5.291667",1.73322306206646,1.27624280139862,2.1902033227343,1.03433206412672,2.43211406000619
"5.333333",1.72412873327252,1.25731981568691,2.19093765085812,1.01020610173088,2.43805136481415
"5.375000",1.72328078580151,1.23145688974748,2.21510468185555,0.971101046086986,2.47546052551604
"5.416667",1.72425300552763,1.20862627627273,2.23987973478252,0.935669973852021,2.51283603720324
"5.458333",1.7415517139921,1.20317349831614,2.27992992966806,0.91817328650182,2.56493014148239
"5.500000",1.73210974755617,1.17190328355672,2.29231621155561,0.875347895075532,2.5888716000368
"5.541667",1.74799605150761,1.16678054801592,2.32921155499929,0.859103645827521,2.63688845718769
"5.583333",1.74413377205689,1.14264259116441,2.34562495294937,0.824232393709511,2.66403515040427
"5.625000",1.72534021963524,1.1042348985473,2.34644554072318,0.775441602468603,2.67523883680187
"5.666667",1.70536444351871,1.06524570525518,2.34548318178223,0.72638731411028,2.68434157292714
"5.708333",1.70762519002328,1.04904172661988,2.36620865342668,0.700408700427104,2.71484167961946
"5.750000",1.68830270071489,1.01175827685143,2.36484712457836,0.65361729252353,2.72298810890625
"5.791667",1.72069802254317,1.02665729127945,2.41473875380689,0.659254321288219,2.78214172379811
"5.833333",1.71604478146215,1.00493809759157,2.42715146533273,0.628500958003305,2.80358860492099
"5.875000",1.71567961481468,0.987907057597972,2.44345217203138,0.60264753758008,2.82871169204927
"5.916667",1.70069734980104,0.956632114603162,2.44476258499892,0.56274777184829,2.83864692775379
"5.958333",1.45820120291945,0.698192483612619,2.21820992222627,0.29586817019065,2.62053423564824
"6.000000",1.47714943825384,0.701524894666716,2.25277398184096,0.290934063213456,2.66336481329422
