,Hours,Minutes,Seconds,Server,Tactic,Latency,Cost,Reliability,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,newCols
0,0.8260869565217391,0.9152542372881356,0.7198567124194157,0.0,0.0,0.00020296100083067866,0.3030707610146862,1.0,0,1,0,0,0,0,0,0
1,0.8260869565217391,0.9152542372881356,0.7528254842641471,0.0,0.25,4.8732921852614894e-05,0.6648865153538049,1.0,0,1,0,0,0,0,0,0
2,0.8260869565217391,0.9152542372881356,0.7532989290344722,0.0,0.5,1.6918854916519477e-05,0.6635514018691587,1.0,0,1,0,0,0,0,0,0
3,0.8260869565217391,0.9322033898305084,0.4082533387305837,0.0,0.75,0.0006639092833879091,0.5714285714285714,1.0,0,1,0,0,0,0,0,0
4,0.8260869565217391,0.9322033898305084,0.41285656152746864,0.0,1.0,2.098844810894517e-05,0.3751668891855807,1.0,0,1,0,0,0,0,0,0
5,0.8260869565217391,0.9322033898305084,0.7576603373855786,0.14285714285714285,0.0,0.00035642503817390203,0.3938584779706275,1.0,0,1,0,0,0,0,0,0
6,0.8260869565217391,0.9322033898305084,0.7897767483690298,0.14285714285714285,0.25,4.788642201059641e-05,0.6675567423230974,1.0,0,1,0,0,0,0,0,0
7,0.8260869565217391,0.9322033898305084,0.7902253171710997,0.14285714285714285,0.5,1.6895020850466024e-05,0.6635514018691587,1.0,0,1,0,0,0,0,0,0
8,0.8260869565217391,0.9491525423728814,0.4375879987377032,0.14285714285714285,0.75,0.0006517895842697118,0.6368491321762348,1.0,0,1,0,0,0,0,0,0
9,0.8260869565217391,0.9491525423728814,0.43759167169945906,0.14285714285714285,1.0,2.1093682202004146e-05,0.6635514018691587,1.0,0,1,0,0,0,0,0,0
10,0.8260869565217391,0.9491525423728814,0.5629114906705269,0.2857142857142857,0.0,0.00014002176881251261,0.5647530040053403,1.0,0,1,0,0,0,0,0,0
11,0.8260869565217391,0.9491525423728814,0.5961570034882786,0.2857142857142857,0.25,4.8988907492716525e-05,0.6648865153538049,1.0,0,1,0,0,0,0,0,0
12,0.8260869565217391,0.9491525423728814,0.5966037525047513,0.2857142857142857,0.5,1.689268179178609e-05,0.6635514018691587,1.0,0,1,0,0,0,0,0,0
13,0.8260869565217391,0.9661016949152542,0.25822286817376305,0.2857142857142857,0.75,0.0006704806411243691,0.5727636849132176,1.0,0,1,0,0,0,0,0,0
