,RMSE,MSE,MAE
Plain Ping,0.08374038635729891,0.007012452307269694,0.08199103855978124
All Servers,0.08374038635729891,0.007012452307269694,0.08199103855978124
5 sample Sampling Rate,0.08338552504506545,0.006953145787041239,0.08186044410662514
10 sample Sampling Rate,0.05105101953335239,0.0026062065953947277,0.032606783060070775
20 sample Sampling Rate,0.011884910352706949,0.0001412510940918808,0.007593245128059943
