,predictionType,utilDif,award,lostUtil
0,predictions_SVR_RBF_TotalCost.csv,23277424926.245903,24301120611.251625,33415640.703589685
1,predictions_eRNN_TotalCost.csv,21972365727.06192,24306240128.371105,19241667.38641472
2,predictions_MLP_TotalCost.csv,22253670121.223907,24294800630.329994,5571159.7319066515
3,predictions_LSTM_TotalCost.csv,21413538212.58602,24294647458.31447,5009496.436455119
