,RMSE,MSE,MAE
Plain Ping,0.008368155600239008,7.002602814981149e-05,0.003415536140851924
All Servers,0.008368155600239008,7.002602814981149e-05,0.003415536140851924
5 sample Sampling Rate,0.20585008228308382,0.04237425637595238,0.046016056451665115
10 sample Sampling Rate,0.20587549469878488,0.0423847193174694,0.046239276338511555
20 sample Sampling Rate,0.20901869944427653,0.04368881671737681,0.0479407165796931
