,RMSE,MSE,MAE
Plain Ping,0.05935142906490181,0.0035225921320460713,0.03992371708471104
All Servers,0.05935142906490181,0.0035225921320460713,0.03992371708471104
5 sample Sampling Rate,0.22984774436312816,0.052829985588817914,0.09965750237200338
10 sample Sampling Rate,0.22606804468097236,0.05110676082587811,0.0953230836369896
20 sample Sampling Rate,0.22459628253448363,0.0504434901283096,0.09430598814233375
