# timestamp,month,day,hour,minute,second,server,tactic,ping,age of ping(seconds),ping timestamp,latency,cost,reliability
2020-03-20 11:35:28.947017,3,20,11,35,28.947017,2,0,0,0,0,5.579243421554565,26.5,1
2020-03-20 11:35:57.710894,3,20,11,35,57.710894,3,1,0.12,649.3266509994864,2020-03-20 11:25:08.384243,13.216341972351074,5.7,1
2020-03-20 11:36:58.407875,3,20,11,36,58.407875,3,0,0,0,0,60.6784234046936,28.4,1
2020-03-20 11:36:58.543403,3,20,11,36,58.543403,3,0,0,0,0,0.030599594116210938,24.5,1
2020-03-20 11:37:56.707651,3,20,11,37,56.707651,3,0,0,0,0,58.16385555267334,31.0,1
2020-03-20 11:38:02.211280,3,20,11,38,2.21128,3,0,0,0,0,5.498615503311157,25.6,1
2020-03-20 11:38:29.874370,3,20,11,38,29.87437,4,1,0.153,655.2111999988556,2020-03-20 11:27:34.663170,13.803423643112184,6.2,1
2020-03-20 11:39:31.310689,3,20,11,39,31.310689,4,0,0,0,0,61.41596817970276,29.1,1
2020-03-20 11:39:31.448676,3,20,11,39,31.448676,4,0,0,0,0,0.029804468154907227,25.5,1
2020-03-20 11:40:30.533709,3,20,11,40,30.533709,4,0,0,0,0,59.08463191986084,30.2,1
2020-03-20 11:40:36.024906,3,20,11,40,36.024906,4,0,0,0,0,5.4903483390808105,25.8,1
2020-03-20 11:41:04.401261,3,20,11,41,4.401261,5,1,0.009000000000000001,631.2136109992862,2020-03-20 11:30:33.187650,14.9558265209198,5.1,1
2020-03-20 11:42:07.515668,3,20,11,42,7.515668,5,0,0,0,0,63.095865726470954,29.2,1
2020-03-20 11:42:07.653426,3,20,11,42,7.653426,5,0,0,0,0,0.030915737152099613,27.3,1
2020-03-20 11:43:07.209249,3,20,11,43,7.209249,5,0,0,0,0,59.55542683601379,31.4,1
2020-03-20 11:43:12.759501,3,20,11,43,12.759501,5,0,0,0,0,5.54854941368103,26.5,1
2020-03-20 11:45:55.155115,3,20,11,45,55.155115,6,1,0.025,774.3512740004808,2020-03-20 11:33:00.803841,95.25478267669678,2.3,1
2020-03-20 11:46:57.549459,3,20,11,46,57.549459,6,0,0,0,0,62.37463641166687,28.8,1
2020-03-20 11:46:57.691228,3,20,11,46,57.691228,6,0,0,0,0,0.030305147171020508,25.0,1
2020-03-20 11:47:58.526283,3,20,11,47,58.526283,6,0,0,0,0,60.8346266746521,29.9,1
2020-03-20 11:48:04.015337,3,20,11,48,4.015337,6,0,0,0,0,5.487136602401733,26.1,1
2020-03-20 11:48:22.240362,3,20,11,48,22.240362,7,1,0.083,773.1679769996554,2020-03-20 11:35:29.072385,8.837258338928223,10.2,1
2020-03-20 11:49:26.833333,3,20,11,49,26.833333,7,0,0,0,0,64.57401013374329,30.4,1
2020-03-20 11:49:26.973125,3,20,11,49,26.973125,7,0,0,0,0,0.03184819221496582,50.0,1
2020-03-20 11:50:26.018309,3,20,11,50,26.018309,7,0,0,0,0,59.04479384422302,30.3,1
2020-03-20 11:50:31.506459,3,20,11,50,31.506459,7,0,0,0,0,5.48741888999939,25.9,1
2020-03-20 11:51:25.388663,3,20,11,51,25.388663,8,1,0.064,803.0700109992176,2020-03-20 11:38:02.318652,26.595414638519287,3.6,1
2020-03-20 11:52:27.212845,3,20,11,52,27.212845,8,0,0,0,0,61.80443477630615,28.0,1
2020-03-20 11:52:27.347630,3,20,11,52,27.34763,8,0,0,0,0,0.029743194580078125,51.9,1
2020-03-20 11:53:28.323311,3,20,11,53,28.323311,8,0,0,0,0,60.97529864311218,31.4,1
2020-03-20 11:53:33.898214,3,20,11,53,33.898214,8,0,0,0,0,5.574143171310425,26.5,1
2020-03-20 11:53:55.643440,3,20,11,53,55.64344,1,1,0.105,799.4782020002604,2020-03-20 11:40:36.165238,10.959489583969116,6.5,1
2020-03-20 11:54:56.694899,3,20,11,54,56.694899,1,0,0,0,0,61.032424211502075,28.7,1
2020-03-20 11:54:56.833145,3,20,11,54,56.833145,1,0,0,0,0,0.030651330947875977,23.6,1
2020-03-20 11:55:55.542999,3,20,11,55,55.542999,1,0,0,0,0,58.70945334434509,30.6,1
2020-03-20 11:56:01.084694,3,20,11,56,1.084694,1,0,0,0,0,5.540822744369507,25.9,1
2020-03-20 11:56:21.105158,3,20,11,56,21.105158,2,1,0.107,788.1913089994341,2020-03-20 11:43:12.913849,10.082647562026976,9.8,1
2020-03-20 11:57:23.815036,3,20,11,57,23.815036,2,0,0,0,0,62.68927788734436,28.8,1
2020-03-20 11:57:23.949060,3,20,11,57,23.94906,2,0,0,0,0,0.029785871505737305,25.9,1
2020-03-20 11:58:22.562992,3,20,11,58,22.562992,2,0,0,0,0,58.61352396011353,30.1,1
2020-03-20 11:58:30.425015,3,20,11,58,30.425015,2,0,0,0,0,7.860173463821411,33.0,1
2020-03-20 11:59:15.001815,3,20,11,59,15.001815,3,1,0.11900000000000001,670.8259230013937,2020-03-20 11:48:04.175892,13.30329656600952,4.4,1
2020-03-20 12:00:18.647904,3,20,12,0,18.647904,3,0,0,0,0,63.62745666503906,31.1,1
2020-03-20 12:00:18.785240,3,20,12,0,18.78524,3,0,0,0,0,0.03216266632080078,50.9,1
2020-03-20 12:01:17.195573,3,20,12,1,17.195573,3,0,0,0,0,58.40995073318482,31.0,1
2020-03-20 12:01:25.250078,3,20,12,1,25.250078,3,0,0,0,0,8.053869962692259,33.7,1
2020-03-20 12:02:07.039484,3,20,12,2,7.039484,4,1,0.138,695.3568929992616,2020-03-20 11:50:31.682591,13.570932149887085,4.5,1
2020-03-20 12:03:08.493415,3,20,12,3,8.493415,4,0,0,0,0,61.433507442474365,28.3,1
2020-03-20 12:03:08.629291,3,20,12,3,8.629291,4,0,0,0,0,0.03134894371032715,24.5,1
2020-03-20 12:04:08.664840,3,20,12,4,8.66484,4,0,0,0,0,60.03515887260437,31.0,1
2020-03-20 12:04:14.249359,3,20,12,4,14.249359,4,0,0,0,0,5.583476066589356,26.0,1
2020-03-20 12:04:33.570705,3,20,12,4,33.570705,5,1,0.008,659.6283270008862,2020-03-20 11:53:33.942378,8.504925966262817,7.2,1
2020-03-20 12:05:34.981763,3,20,12,5,34.981763,5,0,0,0,0,61.391894817352295,30.3,1
2020-03-20 12:05:35.116758,3,20,12,5,35.116758,5,0,0,0,0,0.02991533279418945,24.1,1
2020-03-20 12:06:33.257178,3,20,12,6,33.257178,5,0,0,0,0,58.14001131057739,31.0,1
2020-03-20 12:06:38.784413,3,20,12,6,38.784413,5,0,0,0,0,5.526518106460571,25.9,1
2020-03-20 12:08:00.197401,3,20,12,8,0.197401,6,1,0.025,719.051992001012,2020-03-20 11:56:01.145409,76.63998675346376,3.0,1
2020-03-20 12:09:01.443559,3,20,12,9,1.443559,6,0,0,0,0,61.226191282272346,28.1,1
2020-03-20 12:09:01.581472,3,20,12,9,1.581472,6,0,0,0,0,0.03250265121459961,25.5,1
2020-03-20 12:09:59.367934,3,20,12,9,59.367934,6,0,0,0,0,57.783312559127815,29.9,1
2020-03-20 12:10:05.160189,3,20,12,10,5.160189,6,0,0,0,0,5.7690958976745605,26.4,1
2020-03-20 12:10:36.634290,3,20,12,10,36.63429,7,1,0.083,726.0901220012456,2020-03-20 11:58:30.544168,11.724047660827635,6.6,1
2020-03-20 12:11:38.068002,3,20,12,11,38.068002,7,0,0,0,0,61.414443731307976,31.6,1
2020-03-20 12:11:38.204825,3,20,12,11,38.204825,7,0,0,0,0,0.031027793884277344,26.8,1
2020-03-20 12:12:37.327894,3,20,12,12,37.327894,7,0,0,0,0,59.122658967971795,30.3,1
2020-03-20 12:12:45.290867,3,20,12,12,45.290867,7,0,0,0,0,7.962219715118407,33.1,1
2020-03-20 12:13:49.849919,3,20,12,13,49.849919,8,1,0.064,744.4988520015031,2020-03-20 12:01:25.351067,27.026377201080322,2.8,1
2020-03-20 12:14:51.379746,3,20,12,14,51.379746,8,0,0,0,0,61.51009202003479,30.0,1
2020-03-20 12:14:51.522565,3,20,12,14,51.522565,8,0,0,0,0,0.032897233963012695,49.1,1
2020-03-20 12:15:52.701789,3,20,12,15,52.701789,8,0,0,0,0,61.178825855255134,30.5,1
2020-03-20 12:15:58.235523,3,20,12,15,58.235523,8,0,0,0,0,5.533074378967285,26.1,1
2020-03-20 12:16:20.199163,3,20,12,16,20.199163,1,1,0.105,725.8047919999808,2020-03-20 12:04:14.394371,11.089641332626343,6.4,1
2020-03-20 12:17:24.221150,3,20,12,17,24.22115,1,0,0,0,0,64.0024824142456,28.5,1
2020-03-20 12:17:24.360687,3,20,12,17,24.360687,1,0,0,0,0,0.030930280685424805,50.9,1
2020-03-20 12:18:24.684349,3,20,12,18,24.684349,1,0,0,0,0,60.32322597503662,30.1,1
2020-03-20 12:18:31.199157,3,20,12,18,31.199157,1,0,0,0,0,6.5139548778533936,29.3,1
2020-03-20 12:18:51.530123,3,20,12,18,51.530123,2,1,0.106,732.5953999999911,2020-03-20 12:06:38.934723,10.22227382659912,9.7,1
2020-03-20 12:19:55.622519,3,20,12,19,55.622519,2,0,0,0,0,64.0724160671234,30.6,1
2020-03-20 12:19:55.785612,3,20,12,19,55.785612,2,0,0,0,0,0.031376123428344734,26.6,1
2020-03-20 12:20:56.565126,3,20,12,20,56.565126,2,0,0,0,0,60.779141187667854,30.7,1
2020-03-20 12:21:04.653834,3,20,12,21,4.653834,2,0,0,0,0,8.088038682937622,33.0,1
2020-03-20 12:21:32.190163,3,20,12,21,32.190163,3,1,0.11900000000000001,686.8634789995849,2020-03-20 12:10:05.326684,11.92281436920166,6.3,1
2020-03-20 12:22:36.304353,3,20,12,22,36.304353,3,0,0,0,0,64.09467148780823,28.7,1
2020-03-20 12:22:36.441217,3,20,12,22,36.441217,3,0,0,0,0,0.031207799911499023,50.9,1
2020-03-20 12:23:34.664395,3,20,12,23,34.664395,3,0,0,0,0,58.22278165817261,30.0,1
2020-03-20 12:23:40.303456,3,20,12,23,40.303456,3,0,0,0,0,5.638310194015503,26.3,1
2020-03-20 12:24:07.764699,3,20,12,24,7.764699,4,1,0.187,682.2494620010257,2020-03-20 12:12:45.515237,13.826738595962524,5.7,1
2020-03-20 12:25:09.206158,3,20,12,25,9.206158,4,0,0,0,0,61.421462774276726,29.6,1
2020-03-20 12:25:09.342216,3,20,12,25,9.342216,4,0,0,0,0,0.030366897583007806,50.0,1
2020-03-20 12:26:09.549161,3,20,12,26,9.549161,4,0,0,0,0,60.20653939247131,29.3,1
2020-03-20 12:26:15.140900,3,20,12,26,15.1409,4,0,0,0,0,5.5909507274627686,26.3,1
2020-03-20 12:26:46.671059,3,20,12,26,46.671059,5,1,0.009000000000000001,648.390310999006,2020-03-20 12:15:58.280748,13.006747961044312,4.6,1
