,predictedUtility,realUtility,award,lostUtility
0,2759387.9373173397,11824384.791782536,11564459.991782535,0.0
1,147776.08458250022,379749.62170085544,0.0,379749.62170085544
2,947040.4748369771,2581641.1627031034,2321716.3627031036,0.0
3,1190063.735016644,3891648.778714195,3631723.978714195,0.0
4,1130727.7791209796,2479674.033044518,2219749.233044518,0.0
5,123057.26930430642,437993.78899884486,0.0,437993.78899884486
6,419375.8424336337,5745141.265051717,5485216.465051717,0.0
7,715329.8152657438,2200229.695217033,1940304.8952170329,0.0
8,95718.33320699315,224895.70503932587,0.0,0.0
9,382114.48759695835,8520220.686980419,8260295.886980419,0.0
10,188186.0047842461,638659.391144501,0.0,638659.391144501
11,711530.1038263481,1511597.2061309526,1251672.4061309525,0.0
12,1049836.9351577607,3024772.358887122,2764847.558887122,0.0
13,594893.0359304548,2205631.8941776343,1945707.0941776342,0.0
14,1072812.9361867474,4637927.636305444,4378002.836305444,0.0
15,905152.9995604837,3124987.882341888,2865063.082341888,0.0
16,829545.2770470722,3781272.9374159346,3521348.1374159344,0.0
17,330637.42928962765,1064158.3978809458,804233.5978809458,0.0
18,1086506.6688210955,2207536.29294589,1947611.4929458902,0.0
19,434506.9564009012,1339946.1158625833,1080021.3158625832,0.0
20,756838.1404103911,3261212.1985668773,3001287.3985668775,0.0
21,377763.1463220216,1556719.1474989105,1296794.3474989105,0.0
22,426857.13333633036,1610712.5427185546,1350787.7427185546,0.0
23,1039134.1943137217,23143222.65968686,22883297.85968686,0.0
24,1537793.593400714,3471922.966075229,3211998.1660752287,0.0
25,1138694.659265353,3866211.2117272797,3606286.4117272794,0.0
26,134673.30246314703,406065.1157793359,0.0,406065.1157793359
27,1174621.2831027873,5710063.337263418,5450138.537263419,0.0
28,302736.1364949688,914185.563125201,654260.763125201,0.0
29,1263631.1857522684,2750808.911684602,2490884.1116846018,0.0
30,1009094.3801907817,3661498.4602694963,3401573.660269496,0.0
31,716700.5044562167,2431149.4724435396,2171224.67244354,0.0
32,742379.2764284469,3313705.7345422995,3053780.9345422992,0.0
33,70893.41658401785,389569.1672088147,0.0,389569.1672088147
34,245418.72623636192,718141.5903772736,0.0,718141.5903772736
35,821162.9737351959,2386649.473156627,2126724.6731566265,0.0
36,736905.3948683355,2301830.5041454816,2041905.7041454816,0.0
37,316991.65065074555,1078867.7941955973,818942.9941955972,0.0
38,705377.298944967,9513966.015577238,9254041.215577237,0.0
39,1060360.6639619446,2988883.3863523593,2728958.5863523595,0.0
40,244149.28293360604,1158387.8739067577,0.0,1158387.8739067577
41,36706.997920377704,101529.52289546226,0.0,0.0
42,1847622.5972822362,3772319.835963598,3512395.0359635977,0.0
43,1423979.3636807844,4359076.395306486,4099151.595306486,0.0
44,1094249.563866536,4093824.6288474486,3833899.8288474483,0.0
45,836570.94209986,1166684.6555799954,906759.8555799953,0.0
46,696445.3393303,2918091.778572835,2658166.978572835,0.0
47,491031.2417511982,1718540.837541776,1458616.037541776,0.0
48,60364.269617139034,251415.18938990566,0.0,0.0
49,1985032.2430895865,16704057.167337213,16444132.367337212,0.0
50,355767.9752124546,665800.7304721351,405875.9304721351,0.0
51,515225.6110856593,2003647.0586571093,1743722.2586571092,0.0
52,986731.472680414,1816900.5607546181,1556975.760754618,0.0
53,292123.0243511414,1037676.8498982041,777752.049898204,0.0
54,857334.695514033,2837736.9757697913,2577812.175769791,0.0
55,637335.4910952254,1959822.2929309271,1699897.492930927,0.0
56,717446.7091926415,4173079.687102159,3913154.8871021587,0.0
57,90453.80481965256,384767.3952739261,0.0,384767.3952739261
58,1396137.2049117931,21418420.13287986,21158495.33287986,0.0
59,1730961.5439554679,4727335.726008549,4467410.9260085495,0.0
60,2587035.977722468,5159685.331710603,4899760.531710603,0.0
61,1119182.7037557121,29907091.21029688,29647166.41029688,0.0
62,571460.1377201652,2142822.514490177,1882897.7144901769,0.0
63,528633.6311412203,1849139.8335468958,1589215.0335468957,0.0
64,1605836.1210426118,5061640.965371292,4801716.165371292,0.0
65,507650.9431638196,1286133.2158010886,1026208.4158010886,0.0
66,1468269.2797945049,15375723.456765812,15115798.656765811,0.0
67,698250.1833563885,1580227.174528698,1320302.374528698,0.0
68,1083760.9016137142,3480475.021161208,3220550.221161208,0.0
69,37772.69536626556,147995.5184621389,0.0,0.0
70,235638.55249050655,813943.7193987968,0.0,813943.7193987968
71,169880.18356753085,2188044.631154212,0.0,2188044.631154212
72,1313511.2943809216,2931617.277846644,2671692.477846644,0.0
73,348566.9131764545,9478475.693845224,9218550.893845223,0.0
74,1321896.3472624915,3964660.9025967405,3704736.1025967402,0.0
75,966787.4645174447,5079011.622151195,4819086.822151195,0.0
76,1018426.414739193,4496210.074111716,4236285.274111716,0.0
77,209197.77114617827,682608.7758261173,0.0,682608.7758261173
78,536517.5323675288,2074674.1125924091,1814749.312592409,0.0
79,88202.2127782916,481104.4524131229,0.0,481104.4524131229
80,1186534.927382516,2086685.5828867382,1826760.7828867382,0.0
81,236199.3728171371,845891.042380795,0.0,845891.042380795
82,712357.3916780665,3427385.0537889735,3167460.253788973,0.0
83,667667.9969344744,22443789.47282676,22183864.67282676,0.0
84,227364.05215465082,806863.737074744,0.0,806863.737074744
85,1752798.097951301,4617448.232663062,4357523.432663063,0.0
86,377201.21497243474,868443.7484941105,608518.9484941105,0.0
87,1293878.2609517698,4318180.749761995,4058255.949761995,0.0
88,154437.74424587734,582350.085959708,0.0,582350.085959708
89,1124045.0619262157,2485228.744153111,2225303.9441531105,0.0
90,1179643.6824213073,3859285.023410202,3599360.223410202,0.0
91,712286.8244480822,2483181.995896071,2223257.1958960714,0.0
92,348803.5236855457,1481575.5880802304,1221650.7880802304,0.0
93,36133.83636017681,116236.5379011728,0.0,0.0
94,266893.07321246446,603668.7825359617,343743.98253596167,0.0
95,410173.25661995256,1976237.545837777,1716312.745837777,0.0
96,1031662.9310664154,2611687.8760187635,2351763.0760187637,0.0
97,1790433.3455901933,3228613.2751136394,2968688.4751136396,0.0
98,686824.0614184035,2727544.2502338714,2467619.450233871,0.0
99,40088.92054633134,159000.89177412327,0.0,0.0
100,952509.306701863,2591671.877524062,2331747.0775240622,0.0
101,1079406.493937271,12933257.94863078,12673333.14863078,0.0
102,2364264.2843215954,4374564.834160083,4114640.034160083,0.0
103,1184542.4491436854,4167697.680264922,3907772.880264922,0.0
104,145985.1047923916,506501.36171776877,0.0,506501.36171776877
105,496123.89957490703,7910686.32711406,7650761.52711406,0.0
106,668162.3653454145,5437547.832408467,5177623.0324084675,0.0
107,529461.7071318093,2091031.4432600206,1831106.6432600205,0.0
108,1005760.1409099989,4158325.9722933862,3898401.1722933864,0.0
109,934629.6560541682,4404614.766821615,4144689.9668216156,0.0
110,870267.3101855135,3155652.1440102216,2895727.344010222,0.0
111,125152.6011333548,491266.9854927505,0.0,491266.9854927505
112,663462.8137376144,8362409.646236378,8102484.846236378,0.0
113,449319.0110679975,1788543.0436005623,1528618.2436005622,0.0
114,642697.2073591211,2427890.951928634,2167966.1519286344,0.0
115,2210577.0306235147,4216053.350171446,3956128.550171446,0.0
116,174532.73411152116,491695.29869499826,0.0,491695.29869499826
117,478222.91438969446,1556942.47352417,1297017.67352417,0.0
118,1131672.1169204374,4772230.131516497,4512305.331516497,0.0
119,460022.7585203248,1313248.1080752865,1053323.3080752864,0.0
120,1339259.9598531048,3098183.3046794436,2838258.5046794433,0.0
121,424055.404882789,1334156.5761529002,1074231.7761529002,0.0
122,1373156.972153146,4766988.973706554,4507064.173706554,0.0
123,208742.95273421681,917589.9538452427,0.0,917589.9538452427
124,584782.1881468281,2779061.562030378,2519136.762030378,0.0
125,167404.0401275107,406337.3090098567,0.0,406337.3090098567
126,1232997.3358015274,3287386.729547154,3027461.9295471543,0.0
127,1342887.9361533718,3298942.3470699284,3039017.5470699286,0.0
128,425260.16844830365,1322295.3082332993,1062370.5082332992,0.0
129,121314.48680769154,481034.97824280674,0.0,481034.97824280674
130,103704.58484349585,973299.593241107,0.0,973299.593241107
131,1181650.2986451,2316757.7728381827,2056832.9728381827,0.0
132,81799.15432481708,650027.8965680567,0.0,650027.8965680567
133,1120157.1846772477,2743761.2141721346,2483836.4141721344,0.0
134,1860947.8282413003,4898517.691255077,4638592.891255077,0.0
135,1128798.8842489496,17694227.282464184,17434302.482464183,0.0
136,1391326.601758002,4757902.459692192,4497977.659692192,0.0
137,730027.3079642708,17973389.31729152,17713464.51729152,0.0
138,2074292.3524230921,26042526.69254104,25782601.89254104,0.0
139,711984.7052148546,1240417.0087507567,980492.2087507567,0.0
140,1404773.3280640536,5048808.438743718,4788883.638743718,0.0
141,921788.4472119913,2414811.7101603467,2154886.910160347,0.0
142,272108.1161831029,3540684.8037223574,3280760.0037223576,0.0
143,528078.0609004445,2321822.8640038217,2061898.0640038217,0.0
144,2163460.2995300367,23991272.2360325,23731347.4360325,0.0
145,165290.9559411501,489103.6121620206,0.0,489103.6121620206
146,1238106.965361273,5437793.629203946,5177868.8292039465,0.0
147,312691.0026340171,800066.3588988446,540141.5588988445,0.0
148,1287216.2631510203,12205314.45734849,11945389.65734849,0.0
149,413000.8511327566,601638.8229876707,341714.0229876706,0.0
150,1256568.2548107903,4468988.661200441,4209063.861200442,0.0
151,466710.7942452379,8514035.618280606,8254110.8182806065,0.0
152,598124.6138233397,14453915.149732642,14193990.349732641,0.0
153,413241.06415193423,1443915.6475280097,1183990.8475280097,0.0
154,841177.4192382407,2669590.480993966,2409665.680993966,0.0
155,1850549.449450403,4252716.78957363,3992791.9895736305,0.0
156,724477.971905361,1782647.80379191,1522723.00379191,0.0
157,938306.6471986079,17547631.180815853,17287706.380815852,0.0
158,207975.12583229173,638484.5065661318,0.0,638484.5065661318
159,495396.46686224756,886176.9128052852,626252.1128052851,0.0
160,1335692.4606900562,4317469.536939124,4057544.736939124,0.0
161,527932.833173156,2237648.610586111,1977723.810586111,0.0
162,143256.43306107188,488537.72677632887,0.0,488537.72677632887
163,432918.5415820686,1264588.2729288733,1004663.4729288733,0.0
164,610104.4681987127,1899312.3881464875,1639387.5881464875,0.0
165,174300.6977618006,641592.7391694078,0.0,641592.7391694078
166,136843.14774189115,386052.5987576251,0.0,386052.5987576251
167,1551197.9766068961,4604545.080971928,4344620.2809719285,0.0
168,286993.4987151312,910839.469223024,650914.6692230239,0.0
169,238885.43829068096,737300.3950382365,0.0,737300.3950382365
170,949317.4920215849,3362803.003518794,3102878.203518794,0.0
171,753429.0226682386,3135872.820511023,2875948.020511023,0.0
172,922535.1582984974,3520680.8417637753,3260756.041763775,0.0
173,294815.23713091685,863796.808740388,603872.008740388,0.0
174,624079.5201981375,2432510.7870824216,2172585.987082422,0.0
175,409917.4245713877,1658517.8931051316,1398593.0931051315,0.0
176,1321256.4553829087,3687104.028362188,3427179.2283621877,0.0
177,1056190.5779508566,3928302.8119055363,3668378.011905536,0.0
178,674685.5426904301,12923624.674217548,12663699.874217547,0.0
179,1088177.445185382,13963597.763180587,13703672.963180587,0.0
180,67955.59845572118,310898.32448497694,0.0,310898.32448497694
181,1024501.1473970959,3974125.0003041853,3714200.200304185,0.0
182,981248.2336346682,3507484.0339532616,3247559.2339532617,0.0
183,59359.562166015065,136041.097326775,0.0,0.0
184,370483.49690280244,1951222.0816510355,1691297.2816510354,0.0
185,276213.9715678008,502903.87316021766,242979.0731602176,0.0
186,534549.9462610722,2025658.5961238467,1765733.7961238467,0.0
187,1590950.9487868699,3808401.9732680754,3548477.173268075,0.0
188,469953.81774529425,1409708.357278112,1149783.557278112,0.0
189,727739.3985776654,2249249.2385047106,1989324.4385047106,0.0
190,1747745.4434909183,10924836.643701658,10664911.843701657,0.0
191,65518.08187124478,180504.04859249265,0.0,0.0
192,815942.4098300838,10536257.771340143,10276332.971340142,0.0
193,14286.429770947487,335410.6714109161,0.0,335410.6714109161
194,450189.72617610224,1949366.4996505512,1689441.6996505512,0.0
195,1833754.8015807676,11928686.145283828,11668761.345283827,0.0
196,1571744.6965731797,3751857.3282566755,3491932.528256675,0.0
197,137291.8716558921,2664620.1138133775,0.0,2664620.1138133775
