timestamp,latency,cost,reliability
2020-17-07 18:17:23.000657,1.8277039527893100,8.6,1
2020-21-07 18:21:31.000833,1.7379086017608600,9.5,1
2020-22-07 18:22:02.000654,1.8523235321044900,8.6,1
2020-22-07 18:22:27.000389,1.7445480823516800,8.6,1
2020-23-07 18:23:19.000370,1.718092918396000,8.9,1
2020-23-07 18:23:25.000082,1.6793091297149700,9.3,1
2020-23-07 18:23:49.000709,1.7104971408844000,9.2,1
2020-24-07 18:24:04.000898,1.838573932647710,8.7,1
2020-29-07 18:29:19.000216,1.8263533115387000,8.7,1
2020-29-07 18:29:36.000087,1.7124712467193600,9.4,1
2020-30-07 18:30:06.000945,1.9425926208496100,8.7,1
2020-30-07 18:30:28.000317,1.8588292598724400,9.6,1
2020-31-07 18:31:21.000438,1.7609293460845900,9.1,1
2020-33-07 18:33:32.000953,1.886193037033080,8.7,1
2020-33-07 18:33:43.000881,1.8437423706054700,8.7,1
2020-34-07 18:34:02.000307,1.809910774230960,9.0,1
2020-34-07 18:34:05.000672,1.8394598960876500,9.0,1
2020-34-07 18:34:15.000199,1.8169136047363300,8.9,1
2020-34-07 18:34:50.000371,1.6875925064086900,8.2,1
2020-34-07 18:34:55.000132,1.8279590606689500,8.4,1
2020-38-07 18:38:56.000845,1.7090868949890100,8.8,1
2020-39-07 18:39:58.000508,1.9736888408660900,8.5,1
2020-42-07 18:42:10.000291,1.7309012413024900,8.8,1
2020-42-07 18:42:31.000551,1.6842305660247800,8.5,1
2020-43-07 18:43:03.000497,1.8854007720947300,8.4,1
2020-44-07 18:44:14.000408,1.6839313507080100,9.0,1
2020-45-07 18:45:50.000360,1.7198700904846200,9.1,1
2020-49-07 18:49:25.000015,1.695930004119870,8.2,1
2020-50-07 18:50:20.000971,1.7033607959747300,9.7,1
2020-51-07 18:51:07.000947,1.878037929534910,9.1,1
2020-52-07 18:52:18.000789,1.8879225254058800,8.7,1
2020-52-07 18:52:19.000390,1.695554256439210,10.0,1
2020-52-07 18:52:32.000195,1.6919214725494400,8.6,1
2020-52-07 18:52:53.000604,1.7229855060577400,9.0,1
2020-53-07 18:53:34.000700,1.906175136566160,8.8,1
2020-54-07 18:54:43.000338,1.6941039562225300,8.7,1
2020-55-07 18:55:05.000987,1.7214181423187300,9.1,1
2020-57-07 18:57:07.000943,1.6948745250701900,7.8,1
2020-58-07 18:58:35.000537,1.732046127319340,9.2,1
2020-58-07 18:58:40.000563,1.8539342880249000,9.9,1
2020-59-07 18:59:07.000237,1.716113805770870,8.6,1
2020-59-07 18:59:36.000925,1.6959824562072800,9.1,1
2020-59-07 18:59:39.000858,1.8172411918640100,9.1,1
2020-02-07 19:02:39.000212,1.902524471282960,8.8,1
2020-04-07 19:04:35.000959,1.696056842803960,8.0,1
2020-08-07 19:08:58.000615,1.7082746028900100,8.7,1
2020-09-07 19:09:30.000658,1.8562986850738500,8.4,1
2020-09-07 19:09:56.000449,1.8071913719177200,8.1,1
2020-10-07 19:10:32.000312,2.1611239910125700,8.0,1
2020-10-07 19:10:32.000954,1.7055115699768100,8.9,1
2020-10-07 19:10:59.000907,1.705643892288210,9.0,1
2020-11-07 19:11:32.000562,1.7315948009491000,8.7,1
2020-12-07 19:12:22.000462,1.8679757118225100,9.0,1
2020-14-07 19:14:29.000798,1.708695411682130,8.6,1
2020-14-07 19:14:32.000389,1.6832554340362500,8.5,1
2020-15-07 19:15:55.000353,1.698537826538090,9.2,1
2020-18-07 19:18:20.000277,2.022303819656370,8.5,1
2020-20-07 19:20:09.000276,1.7018234729766800,10.7,1
2020-21-07 19:21:08.000508,1.70021390914917,9.3,1
2020-22-07 19:22:48.000958,1.6916756629943800,9.1,1
2020-23-07 19:23:43.000656,1.7269790172576900,9.2,1
2020-23-07 19:23:47.000037,1.682743787765500,8.2,1
2020-25-07 19:25:29.000121,1.7025060653686500,10.8,1
2020-26-07 19:26:49.000398,1.7060177326202400,8.2,1
2020-27-07 19:27:26.000277,1.6929314136505100,7.9,1
2020-27-07 19:27:47.000244,1.7801308631897000,8.8,1
2020-29-07 19:29:29.000904,1.7064003944397000,9.1,1
2020-29-07 19:29:42.000627,1.7066683769226100,9.2,1
2020-32-07 19:32:32.000880,1.8434557914733900,9.8,1
2020-32-07 19:32:51.000974,1.7227544784545900,8.1,1
2020-32-07 19:32:53.000328,1.6959164142608600,7.9,1
2020-33-07 19:33:48.000392,1.6997859477996800,10.0,1
2020-34-07 19:34:26.000390,1.6925511360168500,8.8,1
2020-34-07 19:34:28.000813,1.7433624267578100,8.7,1
2020-36-07 19:36:49.000463,1.8126485347747800,8.7,1
2020-37-07 19:37:39.000021,1.6891541481018100,9.3,1
2020-38-07 19:38:37.000146,1.7468397617340100,9.7,1
2020-38-07 19:38:56.000069,1.6944386959075900,9.2,1
2020-39-07 19:39:53.000391,2.574573278427120,7.7,1
2020-40-07 19:40:21.000248,1.859276294708250,9.7,1
2020-40-07 19:40:40.000258,2.6470446586608900,8.3,1
2020-44-07 19:44:52.000103,1.69606614112854,9.2,1
2020-46-07 19:46:50.000496,1.7074413299560500,9.3,1
2020-47-07 19:47:40.000274,1.7122256755828900,8.1,1
2020-49-07 19:49:06.000966,1.7043309211731000,9.5,1
2020-50-07 19:50:01.000544,1.7817637920379600,9.1,1
2020-50-07 19:50:19.000343,1.7039971351623500,10.0,1
2020-52-07 19:52:42.000051,1.6817080974578900,9.9,1
2020-52-07 19:52:42.000816,1.848557710647580,9.5,1
2020-52-07 19:52:48.000372,1.8611376285553000,8.5,1
2020-55-07 19:55:57.000447,1.881777286529540,9.1,1
2020-56-07 19:56:17.000707,1.7569093704223600,9.0,1
2020-56-07 19:56:57.000511,1.7595267295837400,8.3,1
2020-58-07 19:58:06.000298,1.761659860610960,9.0,1
2020-58-07 19:58:25.000498,1.8339202404022200,9.1,1
2020-58-07 19:58:43.000517,1.694655179977420,9.9,1
2020-59-07 19:59:04.000564,1.708106279373170,10.3,1
2020-00-07 20:00:27.000775,1.712322473526000,9.1,1
2020-00-07 20:00:27.000885,1.683562994003300,10.6,1
