time_since_last_recording,latency,cost,reliability
2020-39-07 16:39:17.000033,0.031692215041589505,0.48046875,1,0.0
2020-39-07 16:39:39.000497,0.030495794868008796,0.490234375,1,0.00147186726433398
2020-42-07 16:42:23.000439,0.03107038820798374,0.5,1,0.010905198367565398
2020-44-07 16:44:34.000787,0.031897981078985116,0.478515625,1,0.008764300528534155
2020-45-07 16:45:32.000385,0.0321186853884696,0.513671875,1,0.0038134742757744027
2020-45-07 16:45:42.000545,0.03135010656551797,0.5058593749999999,1,6.690305746972637E-4
2020-47-07 16:47:32.000007,0.03231736335747842,0.51171875,1,0.007292433264200174
2020-51-07 16:51:51.000972,0.03199442793842945,0.48046875,1,0.01732789188465913
2020-52-07 16:52:22.000826,0.03095694342150757,0.49218749999999994,1,0.002007091724091791
2020-52-07 16:52:58.000157,0.0625930228930563,0.265625,1,0.0023416070114404227
2020-54-07 16:54:28.000516,0.031405047493700905,0.494140625,1,0.006021275172275373
2020-54-07 16:54:52.000704,0.03138031063892212,0.51171875,1,0.0016056733792734327
2020-56-07 16:56:12.000576,0.030698107151702906,0.501953125,1,0.005285341540108383
2020-56-07 16:56:35.000976,0.062657586042038,0.25390625,1,0.0015387703218037064
2020-57-07 16:57:06.000836,0.03224431384225873,0.474609375,1,0.002007091724091791
2020-57-07 16:57:37.000866,0.031707272987818794,0.48828125,1,0.0020739947815615173
2020-57-07 16:57:59.000476,0.031311875926520606,0.494140625,1,0.0014049642068642537
2020-58-07 16:58:25.000207,0.047874331856387176,0.341796875,1,0.0016725764367431593
2020-00-07 17:00:13.000233,0.0318124875527084,0.478515625,1,0.007225530206730448
2020-00-07 17:00:25.000163,0.030789168674828487,0.498046875,1,7.3593363216699E-4
2020-01-07 17:01:44.000241,0.03955407752440007,0.400390625,1,0.005285341540108383
2020-03-07 17:03:08.000939,0.03103685215456483,0.498046875,1,0.005619856827457015
2020-04-07 17:04:39.000505,0.03158940865633249,0.5078125,1,0.006021275172275373
2020-06-07 17:06:23.000108,0.030508240978612145,0.49609374999999994,1,0.0068910149193818155
2020-06-07 17:06:24.000420,0.032832846070272745,0.478515625,1,6.690305746972637E-5
2020-06-07 17:06:30.000686,0.0312080701572138,0.490234375,1,4.014183448183582E-4
2020-08-07 17:08:03.000945,0.030684995484915135,0.501953125,1,0.0062219843446845524
2020-12-07 17:12:46.000629,0.0588304532215274,0.283203125,1,0.018866662206462836
2020-13-07 17:13:08.000609,0.03176734940630803,0.5058593749999999,1,0.0014049642068642537
2020-13-07 17:13:32.000539,0.03237490352400935,0.509765625,1,0.0015387703218037064
2020-14-07 17:14:50.000013,0.030784213745505967,0.49218749999999994,1,0.00515153542516893
2020-16-07 17:16:23.000512,0.032061999737292166,0.478515625,1,0.0062219843446845524
2020-17-07 17:17:19.000853,0.03109550718019333,0.49609374999999994,1,0.0037465712183046766
2020-18-07 17:18:24.000545,0.031428562412519644,0.50390625,1,0.004281795678062488
2020-18-07 17:18:46.000091,0.031184359980587006,0.48828125,1,0.0014049642068642537
2020-19-07 17:19:53.000616,0.03156031944202591,0.498046875,1,0.004482504850471666
2020-20-07 17:20:13.000359,0.03158077952094454,0.494140625,1,0.001271158091924801
2020-23-07 17:23:45.000271,0.0329359106997275,0.48828125,1,0.014116545126112264
2020-23-07 17:23:55.000669,0.03132284185696617,0.49218749999999994,1,6.690305746972637E-4
2020-24-07 17:24:27.000135,0.03116421273407052,0.48828125,1,0.0020739947815615173
2020-26-07 17:26:45.000692,0.03205054671209964,0.478515625,1,0.009232621930822239
2020-29-07 17:29:00.000862,0.031413483470827126,0.52734375,1,0.00903191275841306
2020-29-07 17:29:19.000998,0.031747260947088594,0.48828125,1,0.001271158091924801
2020-29-07 17:29:26.000105,0.03127729639857912,0.478515625,1,4.014183448183582E-4
2020-32-07 17:32:58.000462,0.031155426132708337,0.48828125,1,0.01418344818358199
2020-33-07 17:33:23.000763,0.03142440111170726,0.48242187499999994,1,0.0016725764367431593
2020-34-07 17:34:08.000834,0.03129975944468998,0.490234375,1,0.0030106375861376866
2020-34-07 17:34:46.000800,0.03069141379802486,0.51171875,1,0.0024754131263798754
2020-37-07 17:37:45.000990,0.032224773364629616,0.49218749999999994,1,0.01197564728708102
2020-38-07 17:38:43.000236,0.03281506081336975,0.470703125,1,0.0038134742757744027
2020-39-07 17:39:23.000644,0.03107185159177094,0.5078125,1,0.0026761222987890547
2020-39-07 17:39:26.000620,0.03174342507595628,0.49609374999999994,1,1.3380611493945274E-4
2020-43-07 17:43:46.000513,0.031092693788120372,0.48828125,1,0.01732789188465913
2020-43-07 17:43:47.000463,0.038630606771007915,0.39843749999999994,1,0.0
2020-44-07 17:44:04.000939,0.03167433530510197,0.48828125,1,0.0011373519769853483
2020-44-07 17:44:13.000438,0.030935897569164792,0.5078125,1,5.35224459757811E-4
2020-44-07 17:44:21.000769,0.031795966222691915,0.478515625,1,5.35224459757811E-4
2020-45-07 17:45:10.000045,0.044791124985902334,0.353515625,1,0.0032113467585468654
2020-46-07 17:46:52.000880,0.030413851674564448,0.490234375,1,0.006824111861912089
2020-46-07 17:46:56.000678,0.03135443792958253,0.494140625,1,2.007091724091791E-4
2020-47-07 17:47:33.000827,0.0329080098286398,0.48632812499999994,1,0.0024754131263798754
2020-47-07 17:47:50.000775,0.030409199079912456,0.5,1,0.001070448919515622
2020-49-07 17:49:50.000455,0.032680290934889826,0.48046875,1,0.007961463838897438
2020-50-07 17:50:45.000706,0.03149209888334936,0.490234375,1,0.00367966816083495
2020-51-07 17:51:22.000701,0.032563493172935665,0.47265624999999994,1,0.0024085100689101493
2020-51-07 17:51:22.000898,0.03094947323568997,0.51171875,1,0.0
2020-51-07 17:51:51.000996,0.03060643256105098,0.51171875,1,0.0019401886666220646
2020-52-07 17:52:12.000522,0.031165646724209198,0.49218749999999994,1,0.0013380611493945273
2020-54-07 17:54:12.000894,0.031089641047766584,0.48828125,1,0.008028366896367165
2020-55-07 17:55:22.000458,0.031901413837223384,0.5156249999999999,1,0.004616310965411119
2020-57-07 17:57:51.000123,0.031212922208766487,0.498046875,1,0.009901652505519502
2020-59-07 17:59:02.000609,0.030929556939269024,0.490234375,1,0.004750117080350572
2020-00-07 18:00:04.000473,0.03056600579659965,0.51171875,1,0.0040810865056533085
2020-01-07 18:01:51.000893,0.03122696817366804,0.48828125,1,0.007158627149260721
2020-02-07 18:02:03.000282,0.030406293307801282,0.490234375,1,7.3593363216699E-4
2020-04-07 18:04:23.000336,0.03102522906612014,0.490234375,1,0.009366428045761691
2020-04-07 18:04:38.000379,0.030316147186872575,0.490234375,1,0.0010035458620458956
2020-05-07 18:05:13.000730,0.03193853381621583,0.474609375,1,0.0023416070114404227
2020-06-07 18:06:11.000058,0.031150084886862366,0.49609374999999994,1,0.0038134742757744027
2020-07-07 18:07:54.000804,0.03105204027266615,0.490234375,1,0.0068910149193818155
2020-08-07 18:08:01.000954,0.03126804789702585,0.48828125,1,4.683214022880846E-4
2020-09-07 18:09:36.000304,0.031194137567813692,0.5,1,0.006288887402154279
2020-10-07 18:10:41.000657,0.031002096264732198,0.490234375,1,0.004348698735532214
2020-12-07 18:12:45.000920,0.031488789998344154,0.509765625,1,0.00829597912624607
2020-13-07 18:13:40.000478,0.03109273157995419,0.513671875,1,0.003612765103365224
2020-14-07 18:14:02.000101,0.030916459969305515,0.48632812499999994,1,0.0014049642068642537
2020-14-07 18:14:28.000424,0.03033854094795478,0.494140625,1,0.0017394794942128856
2020-14-07 18:14:46.000126,0.031184009356351048,0.494140625,1,0.0011373519769853483
2020-16-07 18:16:08.000111,0.03115120184550626,0.5058593749999999,1,0.0054191476550478354
2020-17-07 18:17:48.000479,0.03215421391134913,0.49218749999999994,1,0.006690305746972637
2020-18-07 18:18:01.000665,0.031230287556404862,0.490234375,1,8.697397471064428E-4
2020-18-07 18:18:22.000887,0.030384405537382943,0.490234375,1,0.0014049642068642537
2020-19-07 18:19:54.000642,0.03131473340906635,0.494140625,1,0.006088178229745099
2020-23-07 18:23:05.000160,0.03113638114801148,0.490234375,1,0.01271158091924801
2020-24-07 18:24:22.000989,0.03113858777119706,0.490234375,1,0.00515153542516893
2020-24-07 18:24:50.000312,0.031179018734741035,0.498046875,1,0.001806382551682612
2020-25-07 18:25:00.000725,0.03056675743418332,0.5,1,6.690305746972637E-4
2020-27-07 18:27:37.000769,0.03129612722955102,0.498046875,1,0.01050378002274704
2020-27-07 18:27:40.000214,0.03052880603484693,0.49218749999999994,1,1.3380611493945274E-4
2020-28-07 18:28:32.000069,0.03929522025913218,0.41015625,1,0.0034120559309560447
