time_since_last_recording,latency,cost,reliability,time_since_last_ping,last_ping
1407.0,8.357513904571533,15.1,1,103.0,0.083
420.0,8.653375625610352,11.3,1,523.0,0.083
2019.0,9.04062032699585,9.9,1,152.0,0.083
1093.0,9.02492880821228,10.1,1,1245.0,0.083
555.0,8.91723346710205,10.5,1,1801.0,0.083
1479.0,8.320847034454346,12.2,1,1409.0,0.083
1106.0,8.557946920394897,10.7,1,13.0,0.083
1868.0,9.394602298736572,10.1,1,619.0,0.083
849.0,10.169839143753052,9.5,1,147.0,0.083
1769.0,9.457612752914429,12.5,1,751.0,0.083
482.0,11.404508590698242,8.6,1,1233.0,0.083
1835.0,8.973313093185425,10.8,1,514.0,0.083
706.0,8.663870573043823,12.5,1,72.0,0.083
1672.0,9.942652225494385,21.8,1,1027.0,0.083
1543.0,10.353723049163818,9.3,1,619.0,0.083
1469.0,10.293707609176636,9.1,1,907.0,0.083
852.0,9.95568585395813,9.3,1,629.0,0.083
1442.0,10.323988676071167,7.1,1,341.0,0.083
934.0,14.617775678634644,5.3,1,787.0,0.083
1533.0,9.813463687896729,9.2,1,1077.0,0.083
591.0,11.546549081802368,10.5,1,95.0,0.083
1372.0,10.415565490722656,9.5,1,704.0,0.083
1785.0,9.126314163208008,10.3,1,811.0,0.083
1404.0,9.29089641571045,11.2,1,1122.0,0.083
