timestamp,time_since_last_recording,latency,cost,reliability,ping_timestamp,time_since_last_ping,ping_success,ping_time
2020-04-07 17:34:00.000941,170.0,4.6637866497039795,3.2,1,2020-04-07 17:33:53.000246,7.0,1,8.791
2020-04-07 17:34:03.000911,2.0,4.634196758270264,3.6,1,2020-04-07 17:33:53.000246,10.0,1,8.791
2020-04-07 17:35:09.000693,65.0,4.482604265213013,3.4,1,2020-04-07 17:33:53.000246,76.0,1,8.791
2020-04-07 17:35:30.000392,20.0,5.311949253082275,3.1,1,2020-04-07 17:33:53.000246,97.0,1,8.791
2020-04-07 17:36:05.000524,35.0,4.761726379394531,3.9,1,2020-04-07 17:33:53.000246,132.0,1,8.791
2020-04-07 17:36:46.000278,40.0,5.5703284740448,3.6,1,2020-04-07 17:33:53.000246,173.0,1,8.791
2020-04-07 17:37:12.000612,26.0,4.211334705352783,3.8,1,2020-04-07 17:33:53.000246,199.0,1,8.791
2020-04-07 17:39:12.000075,119.0,4.149826288223267,3.7,1,2020-04-07 17:38:06.000225,65.0,1,8.783
2020-04-07 17:40:10.000558,58.0,5.5512940883636475,3.4,1,2020-04-07 17:39:54.000123,16.0,1,8.787
2020-04-07 17:40:27.000228,16.0,5.7019383907318115,3.6,1,2020-04-07 17:40:17.000575,9.0,1,8.725
2020-04-07 17:41:26.000370,59.0,8.125031471252441,3.2,1,2020-04-07 17:41:05.000298,21.0,1,8.715
2020-04-07 17:42:41.000342,74.0,4.833202362060547,3.3,1,2020-04-07 17:41:37.000553,63.0,1,9.791
2020-04-07 17:43:18.000419,37.0,5.7965052127838135,2.9,1,2020-04-07 17:43:07.000894,10.0,1,8.797
2020-04-07 17:43:34.000357,15.0,5.400390863418579,3.6,1,2020-04-07 17:43:34.000113,0.0,1,8.817
2020-04-07 17:43:49.000367,15.0,4.480019807815552,3.6,1,2020-04-07 17:43:34.000113,15.0,1,8.817
2020-04-07 17:45:50.000537,121.0,4.55218243598938,3.8,1,2020-04-07 17:44:54.000137,56.0,1,8.714
2020-04-07 17:48:39.000158,168.0,4.9511213302612305,3.4,1,2020-04-07 17:47:37.000457,61.0,1,8.742
2020-04-07 17:51:27.000116,167.0,4.195858001708984,3.2,1,2020-04-07 17:51:02.000366,24.0,1,8.732
2020-04-07 17:52:06.000435,39.0,4.931508302688599,3.7,1,2020-04-07 17:51:02.000366,64.0,1,8.732
2020-04-07 17:54:07.000947,121.0,4.58609676361084,3.4,1,2020-04-07 17:54:07.000124,0.0,1,8.783
2020-04-07 17:54:20.000215,12.0,4.488907337188721,3.1,1,2020-04-07 17:54:07.000124,13.0,1,8.783
2020-04-07 17:54:31.000245,11.0,4.398632764816284,3.5,1,2020-04-07 17:54:07.000124,24.0,1,8.783
2020-04-07 17:56:16.000607,105.0,4.462134838104248,3.1,1,2020-04-07 17:54:07.000124,129.0,1,8.783
2020-04-07 17:57:06.000448,49.0,6.857553958892822,2.9,1,2020-04-07 17:56:24.000530,41.0,1,8.936
2020-04-07 17:57:41.000432,34.0,4.835027456283569,3.1,1,2020-04-07 17:57:07.000890,33.0,1,8.937
2020-04-07 17:58:58.000445,77.0,13.981689691543579,1.6,1,2020-04-07 17:58:26.000369,32.0,1,9.033
2020-04-07 17:59:45.000185,46.0,3.99914288520813,3.9,1,2020-04-07 17:59:39.000335,5.0,1,9.395
2020-04-07 18:00:26.000854,41.0,12.347097873687744,2.4,1,2020-04-07 17:59:39.000335,47.0,1,9.395
2020-04-07 18:01:31.000540,64.0,4.056801795959473,3.0,1,2020-04-07 18:00:34.000445,57.0,1,8.957
2020-04-07 18:01:50.000758,19.0,6.445350885391235,2.8,1,2020-04-07 18:00:34.000445,76.0,1,8.957
2020-04-07 18:01:54.000324,3.0,6.036294460296631,3.4,1,2020-04-07 18:00:34.000445,79.0,1,8.957
2020-04-07 18:04:42.000500,168.0,5.109408855438232,3.6,1,2020-04-07 18:04:11.000270,31.0,1,8.848
2020-04-07 18:06:56.000202,133.0,5.5125508308410645,2.9,1,2020-04-07 18:05:42.000959,73.0,1,8.707
2020-04-07 18:07:02.000234,6.0,4.810078144073486,3.0,1,2020-04-07 18:05:42.000959,79.0,1,8.707
2020-04-07 18:07:03.000537,1.0,12.167430877685547,2.2,1,2020-04-07 18:05:42.000959,80.0,1,8.707
2020-04-07 18:08:48.000042,104.0,5.681849002838135,3.4,1,2020-04-07 18:08:00.000776,47.0,1,9.09
2020-04-07 18:09:17.000637,29.0,18.78495454788208,1.9,1,2020-04-07 18:08:53.000675,23.0,1,8.867
2020-04-07 18:10:45.000444,87.0,5.220906019210815,3.6,1,2020-04-07 18:08:53.000675,111.0,1,8.867
2020-04-07 18:11:18.000066,32.0,4.5670154094696045,4.1,1,2020-04-07 18:08:53.000675,144.0,1,8.867
2020-04-07 18:12:11.000938,53.0,7.841071605682373,2.4,1,2020-04-07 18:08:53.000675,198.0,1,8.867
2020-04-07 18:13:46.000843,94.0,5.991377592086792,3.3,1,2020-04-07 18:13:11.000801,35.0,1,9.013
2020-04-07 18:14:02.000167,15.0,9.21357250213623,2.8,1,2020-04-07 18:14:00.000523,1.0,1,11.684
2020-04-07 18:15:23.000084,80.0,10.379411458969116,2.3,1,2020-04-07 18:14:00.000523,82.0,1,11.684
2020-04-07 18:17:02.000556,99.0,11.07075047492981,2.8,1,2020-04-07 18:16:05.000455,57.0,1,8.905
2020-04-07 18:18:56.000943,114.0,5.435591220855713,3.5,1,2020-04-07 18:17:25.000662,91.0,1,8.823
2020-04-07 18:19:41.000983,45.0,11.961726427078247,2.3,1,2020-04-07 18:17:25.000662,136.0,1,8.823
2020-04-07 18:19:43.000282,1.0,15.589263916015625,1.6,1,2020-04-07 18:17:25.000662,137.0,1,8.823
2020-04-07 18:20:41.000585,58.0,5.966385126113892,2.7,1,2020-04-07 18:20:26.000081,15.0,1,8.94
2020-04-07 18:22:00.000227,78.0,11.614206075668335,2.1,1,2020-04-07 18:21:37.000393,22.0,1,9.58
2020-04-07 18:22:16.000774,16.0,10.852306127548218,2.1,1,2020-04-07 18:21:37.000393,39.0,1,9.58
2020-04-07 18:23:28.000865,72.0,13.664512634277344,2.0,1,2020-04-07 18:21:37.000393,111.0,1,9.58
2020-04-07 18:24:28.000552,59.0,5.366976976394653,4.3,1,2020-04-07 18:23:33.000409,55.0,1,11.928
2020-04-07 18:27:10.000445,161.0,12.519424438476562,2.3,1,2020-04-07 18:26:26.000180,44.0,1,8.907
