time_since_last_recording,latency,cost,reliability,time_since_last_ping,last_ping
0,4.880366802215576,2.4,1,244.0,0.025
1153.0,95.25478267669678,2.3,1,126.0,0.025
1367.0,76.63998675346375,3.0,1,770.0,0.025
1355.0,67.46366000175476,2.6,1,659.0,0.025
1634.0,55.70571208000183,2.5,1,526.0,0.025
1835.0,80.71261286735535,3.0,1,843.0,0.026
650.0,4.442575693130493,3.1,1,231.0,0.025
1191.0,87.23597550392151,1.9,1,259.0,0.024
1563.0,75.74640607833862,1.9,1,304.0,0.025
1649.0,100.21619129180908,2.5,1,1220.0,0.024
1113.0,99.40282344818115,1.6,1,948.0,0.025
1643.0,89.35424304008484,2.2,1,637.0,0.025
1220.0,54.39565181732178,2.3,1,861.0,0.025
2000.0,3.0513994693756104,21.1,1,1266.0,0.018
1167.0,3.3727800846099854,4.5,1,169.0,0.025
1462.0,11.645819187164307,5.4,1,19.0,0.024
1194.0,8.019985914230347,14.3,1,1214.0,0.024
734.0,3.4480535984039307,24.8,1,414.0,0.025
1522.0,3.4044742584228516,26.1,1,290.0,0.025
1472.0,3.187558889389038,24.4,1,859.0,0.025
1209.0,3.196866989135742,24.5,1,128.0,0.025
464.0,3.6361191272735596,23.6,1,593.0,0.025
1390.0,3.119513750076294,25.4,1,105.0,0.025
1942.0,3.2436375617980957,26.0,1,1254.0,0.025
664.0,2.913914203643799,25.3,1,548.0,0.025
1596.0,2.919245719909668,27.4,1,320.0,0.025
881.0,4.036686897277832,32.6,1,870.0,0.025
1644.0,2.916869640350342,30.2,1,1110.0,0.026
1544.0,3.0810701847076416,36.9,1,953.0,0.025
501.0,3.326456069946289,25.2,1,1454.0,0.025
1461.0,3.2992823123931885,25.4,1,754.0,0.025
1183.0,2.942913055419922,26.2,1,875.0,0.025
1616.0,3.4325408935546875,24.1,1,1059.0,0.025
1198.0,3.385791778564453,23.5,1,339.0,0.025
1598.0,3.2190186977386475,24.8,1,1414.0,0.025
952.0,2.940192699432373,27.6,1,486.0,0.025
1012.0,3.0315797328948975,26.2,1,623.0,0.024
1579.0,3.3603456020355225,24.2,1,449.0,0.025
631.0,3.0549087524414062,26.9,1,173.0,0.025
1574.0,3.1334786415100098,25.9,1,944.0,0.025
1399.0,3.0111091136932373,24.6,1,398.0,0.025
711.0,2.959162950515747,28.0,1,194.0,0.024
1530.0,2.9238951206207275,26.4,1,71.0,0.025
1420.0,2.91774582862854,25.4,1,563.0,0.025
845.0,2.8676064014434814,27.1,1,421.0,0.025
1343.0,3.4142603874206543,25.8,1,732.0,0.025
2052.0,3.1250345706939697,36.0,1,227.0,0.025
395.0,2.9053196907043457,26.7,1,622.0,0.025
1433.0,3.124875783920288,39.3,1,28.0,0.024
1170.0,3.37052321434021,24.4,1,531.0,0.025
1794.0,2.9334046840667725,27.6,1,112.0,0.025
566.0,7.84729790687561,12.1,1,679.0,0.025
1816.0,3.8940212726593018,21.5,1,507.0,0.025
1263.0,2.9935646057128906,23.4,1,27.0,0.025
1078.0,3.4066317081451416,24.3,1,1105.0,0.025
1197.0,2.9747352600097656,26.4,1,292.0,0.024
1186.0,3.3505325317382812,25.4,1,756.0,0.024
720.0,3.0633108615875244,33.0,1,508.0,0.025
1231.0,2.9752554893493652,34.3,1,12.0,0.025
1473.0,10.354665994644165,9.1,1,801.0,0.025
1853.0,3.3837714195251465,23.5,1,740.0,0.025
365.0,4.099160671234131,24.3,1,1106.0,0.025
1856.0,3.1369338035583496,27.5,1,432.0,0.024
1257.0,3.6053433418273926,25.1,1,1048.0,0.024
930.0,3.3140790462493896,33.4,1,784.0,0.025
1117.0,3.0671560764312744,29.1,1,526.0,0.024
1839.0,3.0347824096679688,34.8,1,629.0,0.025
527.0,3.472822427749634,25.1,1,1157.0,0.025
1597.0,2.935588836669922,28.7,1,999.0,0.025
1195.0,3.046928882598877,26.0,1,655.0,0.025
1702.0,3.017698287963867,25.9,1,1007.0,0.024
715.0,3.3773908615112305,24.6,1,568.0,0.025
1893.0,3.2497613430023193,26.4,1,891.0,0.024
1065.0,3.1056339740753174,26.9,1,1025.0,0.024
1487.0,3.419607400894165,25.9,1,958.0,0.025
1089.0,3.8067164421081543,22.4,1,493.0,0.025
1435.0,3.417027711868286,24.7,1,1129.0,0.025
415.0,2.9705076217651367,27.1,1,57.0,0.025
1255.0,3.394949197769165,23.7,1,180.0,0.025
1958.0,3.565913677215576,23.1,1,915.0,0.025
656.0,3.0829920768737793,26.0,1,569.0,0.025
1394.0,3.853543996810913,23.7,1,153.0,0.025
1757.0,3.3105287551879883,33.3,1,509.0,0.025
906.0,3.950345039367676,24.1,1,258.0,0.025
1625.0,3.4047434329986572,23.9,1,753.0,0.025
1443.0,3.4838051795959473,23.9,1,753.0,0.025
748.0,3.0051050186157227,27.8,1,422.0,0.025
1240.0,3.6005444526672363,24.0,1,679.0,0.024
1054.0,3.4074156284332275,29.7,1,189.0,0.025
1327.0,4.075159549713135,22.5,1,48.0,0.025
1597.0,3.1630494594573975,25.7,1,1170.0,0.024
1578.0,2.919240713119507,27.3,1,1055.0,0.024
992.0,2.9765970706939697,26.8,1,928.0,0.025
1202.0,2.9243884086608887,31.4,1,527.0,0.025
1236.0,3.8365328311920166,20.4,1,341.0,0.024
1494.0,3.13956618309021,28.3,1,1210.0,0.024
1451.0,3.3017947673797607,24.8,1,1407.0,0.025
875.0,3.0511953830718994,26.9,1,225.0,0.024
1346.0,3.542228937149048,23.1,1,802.0,0.025
1601.0,3.4397733211517334,24.3,1,420.0,0.024
1358.0,2.9345505237579346,25.5,1,633.0,0.025
1394.0,3.049652099609375,35.3,1,299.0,0.025
1334.0,3.0191774368286133,28.0,1,524.0,0.025
2310.0,3.2625675201416016,32.0,1,534.0,0.024
703.0,3.6402323246002197,23.4,1,651.0,0.025
2131.0,3.2649598121643066,24.7,1,839.0,0.025
1329.0,3.2327780723571777,26.7,1,516.0,0.025
960.0,3.2437455654144287,24.3,1,835.0,0.025
1342.0,3.22445011138916,27.8,1,1082.0,0.025
812.0,3.9445884227752686,23.3,1,197.0,0.025
1641.0,5.960830211639404,12.0,1,900.0,0.025
1395.0,4.857173442840576,21.0,1,923.0,0.024
1284.0,2.9617340564727783,27.0,1,1169.0,0.024
993.0,2.921875,30.1,1,375.0,0.024
991.0,3.0606400966644287,26.9,1,616.0,0.025
1852.0,2.9683046340942383,29.0,1,766.0,0.025
821.0,2.9082765579223633,25.2,1,560.0,0.025
1178.0,3.580355644226074,28.1,1,866.0,0.025
1211.0,2.965845823287964,25.7,1,903.0,0.025
1406.0,2.8662641048431396,25.8,1,551.0,0.025
1634.0,2.85917067527771,34.3,1,1210.0,0.025
1198.0,3.3738605976104736,26.1,1,992.0,0.025
480.0,2.90057110786438,25.4,1,405.0,0.025
1953.0,2.9334864616394043,27.6,1,835.0,0.025
821.0,2.9226465225219727,27.1,1,251.0,0.025
1355.0,3.1242270469665527,26.5,1,109.0,0.025
1129.0,3.6889450550079346,26.1,1,234.0,0.025
1976.0,3.348402500152588,23.8,1,241.0,0.025
