time_since_last_recording,latency,cost,reliability,time_since_last_ping,last_ping
0,5.040911674499512,4.0,1,0.0,0.0
733.0,5.096258640289307,3.4,1,1.0,1.0
-158.0,5.3307785987854,4.0,1,0.0,1.0
-278.0,4.856689929962158,3.9,1,0.0,1.0
569.0,5.246311664581299,4.1,1,390.0,1.0
14.0,5.624991416931152,3.2,1,405.0,1.0
-176.0,4.399836540222168,4.1,1,228.0,1.0
-124.0,5.538623332977295,2.6,1,104.0,1.0
248.0,4.960960865020752,3.4,1,353.0,1.0
72.0,4.099931001663208,4.5,1,426.0,1.0
-160.0,8.695056915283203,2.3,1,265.0,1.0
257.0,6.806936502456665,3.3,1,221.0,1.0
-326.0,5.8141350746154785,3.9,1,0.0,1.0
769.0,8.237388849258423,2.7,1,697.0,1.0
104.0,12.973855257034302,2.2,1,225.0,1.0
-451.0,6.651803970336914,3.1,1,0.0,1.0
424.0,4.97059440612793,3.7,1,198.0,1.0
364.0,5.774282932281494,3.3,1,680.0,1.0
-65.0,8.439082860946655,3.1,1,615.0,1.0
-707.0,6.434550762176514,3.5,1,0.0,1.0
304.0,6.415626764297485,2.9,1,212.0,1.0
-78.0,7.392219543457031,3.0,1,134.0,1.0
606.0,5.7338409423828125,3.3,1,740.0,1.0
321.0,7.251322984695435,2.8,1,532.0,1.0
-765.0,5.25603723526001,3.4,1,0.0,1.0
530.0,5.087530612945557,3.6,1,296.0,1.0
-429.0,5.370605707168579,3.6,1,0.0,1.0
482.0,9.087584733963013,2.8,1,349.0,1.0
471.0,5.602133274078369,4.2,1,821.0,1.0
-740.0,8.617506742477417,2.9,1,80.0,1.0
260.0,8.540680885314941,3.3,1,341.0,1.0
30.0,5.315799713134766,3.2,1,371.0,1.0
-100.0,4.9163219928741455,4.0,1,271.0,1.0
919.0,8.091710329055786,3.1,1,274.0,1.0
-576.0,9.257025003433228,2.5,1,0.0,1.0
677.0,6.696282148361206,2.8,1,374.0,1.0
-263.0,11.06998085975647,2.0,1,110.0,1.0
-378.0,15.544253587722778,1.8,1,0.0,1.0
571.0,9.437418937683105,2.6,1,303.0,1.0
-93.0,6.6969053745269775,2.9,1,209.0,1.0
185.0,8.252207040786743,2.9,1,395.0,1.0
-471.0,8.164971113204956,3.2,1,0.0,1.0
722.0,7.48716402053833,2.8,1,159.0,1.0
-279.0,7.001945972442627,3.3,1,0.0,1.0
-4.0,8.752733707427979,2.1,1,0.0,1.0
619.0,5.5703284740448,3.6,1,744.0,1.0
220.0,5.7019383907318115,3.6,1,60.0,1.0
59.0,8.125031471252441,3.2,1,119.0,1.0
-658.0,6.11535382270813,3.5,1,0.0,1.0
338.0,4.761726379394531,3.9,1,0.0,1.0
432.0,5.7965052127838135,2.9,1,10.0,1.0
-468.0,5.311949253082275,3.1,1,0.0,1.0
-89.0,4.6637866497039795,3.2,1,0.0,1.0
369.0,5.5512940883636475,3.4,1,0.0,1.0
-300.0,4.482604265213013,3.4,1,0.0,1.0
