"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"4.375000",16.0254453037335,15.4441366660099,16.6067539414571,15.1364104615373,16.9144801459297
"4.416667",15.6408586480149,15.0595500102913,16.2221672857385,14.7518238058187,16.5298934902111
"4.458333",16.0136192125795,15.432310574856,16.5949278503031,15.1245843703833,16.9026540547758
"4.500000",15.6032069326921,15.0218982949685,16.1845155704157,14.7141720904959,16.4922417748883
"4.541667",15.7849535699785,15.203644932255,16.3662622077021,14.8959187277823,16.6739884121748
"4.583333",15.5982358535433,15.0169272158197,16.1795444912669,14.7092010113471,16.4872706957395
"4.625000",15.7153429520497,15.1340343143261,16.2966515897732,14.8263081098534,16.6043777942459
"4.666667",16.2217817408661,15.6404731031425,16.8030903785896,15.3327468986698,17.1108165830623
"4.708333",15.9277276185604,15.3464189808368,16.509036256284,15.0386927763642,16.8167624607566
"4.750000",16.3563820350187,15.7750733972951,16.9376906727422,15.4673471928224,17.2454168772149
"4.791667",16.1611619172095,15.5798532794859,16.7424705549331,15.2721270750133,17.0501967594057
"4.833333",15.8343718356077,15.2530631978841,16.4156804733312,14.9453369934114,16.7234066778039
"4.875000",15.3998180297537,14.8185093920301,15.9811266674773,14.5107831875575,16.2888528719499
"4.916667",15.265490456969,14.6841818192454,15.8467990946926,14.3764556147728,16.1545252991652
"4.958333",15.7518812191657,15.1705725814421,16.3331898568892,14.8628463769694,16.6409160613619
"5.000000",15.7128728452251,15.1315642075015,16.2941814829486,14.8238380030288,16.6019076874213
"5.041667",16.3092128618514,15.7279042241278,16.890521499575,15.4201780196552,17.1982477040476
"5.083333",16.0613215682515,15.4800129305279,16.6426302059751,15.1722867260553,16.9503564104477
"5.125000",15.2727960885774,14.6914874508538,15.854104726301,14.3837612463812,16.1618309307736
"5.166667",15.8420725919444,15.2607639542208,16.423381229668,14.9530377497482,16.7311074341406
"5.208333",15.5952029032201,15.0138942654965,16.1765115409437,14.7061680610239,16.4842377454163
"5.250000",15.7895659328945,15.2082572951709,16.3708745706181,14.9005310906983,16.6786007750907
"5.291667",16.253666694131,15.6723580564075,16.8349753318546,15.3646318519348,17.1427015363273
"5.333333",15.971910301214,15.3906016634904,16.5532189389376,15.0828754590178,16.8609451434102
"5.375000",16.0482546744694,15.3917842078329,16.704725141106,15.0442697345618,17.0522396143771
"5.416667",15.5503136697389,14.8938432031024,16.2067841363755,14.5463287298313,16.5542986096466
"5.458333",16.1472205531221,15.4907500864855,16.8036910197586,15.1432356132144,17.1512054930297
"5.500000",15.6860287616638,15.0295582950273,16.3424992283004,14.6820438217562,16.6900137015715
"5.541667",15.9328736297269,15.2764031630904,16.5893440963635,14.9288886898193,16.9368585696346
"5.583333",15.7352902883142,15.0788198216777,16.3917607549508,14.7313053484066,16.7392752282218
"5.625000",15.7124511425577,15.0559806759212,16.3689216091943,14.7084662026501,16.7164360824654
"5.666667",16.3251544975192,15.6686840308826,16.9816249641557,15.3211695576115,17.3291394374268
"5.708333",15.9917803644079,15.3353098977714,16.6482508310445,14.9877954245003,16.9957653043156
"5.750000",16.022896201506,15.3664257348694,16.6793666681425,15.0189112615983,17.0268811414136
"5.791667",16.0957411878531,15.4392707212166,16.7522116544897,15.0917562479455,17.0997261277608
"5.833333",15.6776788395112,15.0212083728747,16.3341493061478,14.6736938996036,16.6816637794188
"5.875000",15.3097574957149,14.6532870290783,15.9662279623514,14.3057725558072,16.3137424356225
"5.916667",15.3189507255987,14.6624802589622,15.9754211922353,14.3149657856911,16.3229356655063
"5.958333",15.7834794620431,15.1270089954065,16.4399499286796,14.7794945221354,16.7874644019507
"6.000000",15.7102903129712,15.0538198463347,16.3667607796078,14.7063053730636,16.7142752528788
