"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"4.375000",1.81918566111911,1.77680786246697,1.86156345977126,1.75437441096314,1.88399691127509
"4.416667",1.8404431159522,1.79796168106386,1.88292455084054,1.77547336785053,1.90541286405387
"4.458333",1.80398798854096,1.75524308611225,1.85273289096967,1.72943909346814,1.87853688361378
"4.500000",1.78689312525116,1.73455908610762,1.83922716439469,1.70685511925547,1.86693113124684
"4.541667",1.80035021277275,1.74568342512652,1.85501700041898,1.71674457581067,1.88395584973483
"4.583333",1.79085097903508,1.73242429927756,1.8492776587926,1.70149508330698,1.88020687476319
"4.625000",1.80272862832955,1.74178288536634,1.86367437129276,1.70952015788601,1.89593709877309
"4.666667",1.83822679875181,1.77450507042528,1.90194852707833,1.7407728250605,1.93568077244311
"4.708333",1.77954301739669,1.71314936440596,1.84593667038741,1.67800268756331,1.88108334723006
"4.750000",1.85173328060131,1.78290666214255,1.92055989906008,1.74647205117935,1.95699451002328
"4.791667",1.81156737800897,1.74027325515541,1.88286150086253,1.70253242626829,1.92060232974965
"4.833333",1.81866511856987,1.74504532353906,1.89228491360068,1.70607335816865,1.93125687897109
"4.875000",1.78918567743937,1.71329925482885,1.86507210004989,1.67312740929703,1.90524394558171
"4.916667",1.78098139691694,1.70288450415685,1.85907828967703,1.66154250641141,1.90042028742247
"4.958333",1.80463622544014,1.7244027117562,1.88486973912407,1.68192965521579,1.92734279566448
"5.000000",1.80691428626773,1.72459120650282,1.88923736603264,1.68101200049659,1.93281657203886
"5.041667",1.7860858838923,1.70172801483881,1.87044375294579,1.65707165644908,1.91510011133552
"5.083333",1.80068190171762,1.71433739041714,1.8870264130181,1.66862936714814,1.93273443628709
"5.125000",1.76816647667004,1.67987875046052,1.85645420287957,1.63314205135629,1.9031909019838
"5.166667",1.82546389214917,1.73527588762531,1.91565189667303,1.68753324194612,1.96339454235222
"5.208333",1.76738410795239,1.67533451445407,1.85943370145071,1.62660640309929,1.90816181280549
"5.250000",1.7753879682427,1.68151379624634,1.86926214023906,1.63181981137873,1.91895612510667
"5.291667",1.79177173533365,1.69610787581578,1.88743559485152,1.6454664876026,1.93807698306471
"5.333333",1.76482270906389,1.66740190911476,1.86224350901302,1.61583045281844,1.91381496530934
"5.375000",1.80539428598776,1.70266510207686,1.90812346989865,1.64828355705584,1.96250501491967
"5.416667",1.79978105897489,1.69523420754995,1.90432791039983,1.63989044747003,1.95967167047975
"5.458333",1.81940575700216,1.71157343476554,1.92723807923877,1.65449045149647,1.98432106250784
"5.500000",1.78426364251313,1.6736184053582,1.89490887966807,1.61504635487913,1.95348093014713
"5.541667",1.80206562447952,1.68890982481882,1.91522142414023,1.62900876282874,1.97512248613031
"5.583333",1.78323365547668,1.66728030547733,1.89918700547603,1.60589830979442,1.96056900115894
"5.625000",1.77805270089244,1.65959694162751,1.89650846015736,1.59689025049822,1.95921515128665
"5.666667",1.80219886278007,1.68120717913298,1.92319054642716,1.61715805072629,1.98723967483385
"5.708333",1.78485408571328,1.66137571175278,1.90833245967378,1.59601020901036,1.97369796241621
"5.750000",1.81407406547149,1.68819124414218,1.93995688680081,1.62155290384902,2.00659522709396
"5.791667",1.79301310529737,1.66474167292392,1.92128453767082,1.59683887832392,1.98918733227082
"5.833333",1.7961547492356,1.66555325958901,1.92675623888219,1.59641700717618,1.99589249129502
"5.875000",1.77783215347333,1.6449383379119,1.91072596903477,1.57458860146079,1.98107570548587
"5.916667",1.78194923041832,1.64679948757589,1.91709897326074,1.57525553535936,1.98864292547727
"5.958333",1.78243970041585,1.64507445855815,1.91980494227354,1.57235769200731,1.99252170882438
"6.000000",1.85005577945522,1.71050799924724,1.98960355966321,1.63663586668415,2.06347569222629
