,RMSE,MSE,MAE
Plain Ping,0.06137866560514933,0.0037673405914687417,0.045410414199416514
All Servers,0.06137866560514933,0.0037673405914687417,0.045410414199416514
5 sample Sampling Rate,0.013894356707876728,0.000193053148325719,0.00955817481614509
10 sample Sampling Rate,0.012818394106221922,0.0001643112274624249,0.007827447492018184
20 sample Sampling Rate,0.011884910352706949,0.0001412510940918808,0.007593245128059943
