,RMSE,MSE,MAE
Plain Ping,0.009412309076422973,8.859156215011427e-05,0.004515949900986406
All Servers,0.009412309076422973,8.859156215011427e-05,0.004515949900986406
5 sample Sampling Rate,0.002289722698045132,5.242830033943078e-06,0.000983942796920849
10 sample Sampling Rate,0.0027568371615070797,7.6001511350664124e-06,0.0011902208488618862
20 sample Sampling Rate,0.0027756616881717206,7.704297807184286e-06,0.0013574267031064402
