,RMSE,MSE,MAE
Plain Ping,0.06196279066552675,0.0038393874270598884,0.04587645854263875
All Servers,0.06196279066552675,0.0038393874270598884,0.04587645854263875
5 sample Sampling Rate,0.013894356707876728,0.000193053148325719,0.00955817481614509
10 sample Sampling Rate,0.037568202377129545,0.001411369829848962,0.027833212018770995
20 sample Sampling Rate,0.03740234506390178,0.001398935416279178,0.027602763747248602
