,RMSE,MSE,MAE
Plain Ping,0.008368155600239008,7.002602814981149e-05,0.003415536140851924
All Servers,0.008368155600239008,7.002602814981149e-05,0.003415536140851924
5 sample Sampling Rate,0.0029652827233673574,8.792901629500932e-06,0.0008308579014178523
10 sample Sampling Rate,0.004027420573220262,1.622011647359783e-05,0.0011267879601815033
20 sample Sampling Rate,0.005290869680063899,2.799330197141947e-05,0.0014538881954297247
