,totalPowerConsumed,firstStartedTimestamp,latency,serverNumber,tacticNumber
0,220417.12,2019-06-24 00:01:21.199000+00:00,126.801,1,1
1,423707.9,2019-06-24 00:03:29.658000+00:00,275.342,1,2
2,33689.04,2019-06-24 00:08:06.376000+00:00,20.624,1,3
3,243504.8,2019-06-24 00:08:28.165000+00:00,144.835,1,4
4,18612.44,2019-06-24 00:10:54.532000+00:00,12.468,1,5
5,196664.16,2019-06-24 00:11:08.096000+00:00,128.904,2,1
6,195690.88,2019-06-24 00:13:18.961000+00:00,120.039,2,2
7,68305.16,2019-06-24 00:15:20.516000+00:00,38.484,2,3
8,261841.58,2019-06-24 00:16:00.736000+00:00,165.264,2,4
9,12501.72,2019-06-24 00:18:47.332000+00:00,8.668,2,5
10,203162.96,2019-06-24 00:18:57.678000+00:00,125.322,3,1
11,303638.72,2019-06-24 00:21:04.611000+00:00,177.389,3,2
12,8514.66,2019-06-24 00:24:03.837000+00:00,5.163,3,3
13,258368.88,2019-06-24 00:24:10.134000+00:00,176.866,3,4
14,177015.3,2019-06-24 00:27:09.323000+00:00,109.677,4,1
15,225123.36,2019-06-24 00:29:00.989000+00:00,134.011,4,2
16,47670.7,2019-06-24 00:31:16.634000+00:00,33.366,4,3
17,236887.42,2019-06-24 00:31:51.794000+00:00,153.206,4,4
18,4698.54,2019-06-24 00:34:26.056000+00:00,2.944,4,5
19,94235.68,2019-06-24 00:34:30.518000+00:00,58.482,5,1
20,171097.08,2019-06-24 00:35:30.253000+00:00,91.747,5,2
21,16770.6,2019-06-24 00:37:03.295000+00:00,10.705,5,3
22,242667.04,2019-06-24 00:37:15.286000+00:00,162.714,5,4
23,549153.22,2019-06-24 00:40:00.549000+00:00,342.451,6,1
24,15500.1,2019-06-24 00:45:44.410000+00:00,10.59,6,2
25,11034.1,2019-06-24 00:45:56.245000+00:00,7.755,6,3
26,336483.84,2019-06-24 00:46:05.075000+00:00,200.925,6,4
27,1755.6,2019-06-24 00:49:27.507000+00:00,0.493,6,5
28,753327.96,2019-06-24 00:49:29.458000+00:00,461.542,7,1
29,24322.76,2019-06-24 00:57:12.041000+00:00,16.959,7,2
30,11931.92,2019-06-24 00:57:30.576000+00:00,7.424,7,3
31,355079.34,2019-06-24 00:57:39.218000+00:00,225.782,7,4
32,1544.62,2019-06-24 01:01:26.570000+00:00,0.43,7,5
33,618242.24,2019-06-24 01:01:28.777000+00:00,384.223,8,1
34,65620.94,2019-06-24 01:07:54.459000+00:00,40.541,8,2
35,13984.74,2019-06-24 01:08:36.696000+00:00,8.304,8,3
36,254421.86,2019-06-24 01:08:46.582000+00:00,153.418,8,4
37,3140.06,2019-06-24 01:11:21.426000+00:00,1.574,8,5
38,169070.44,2019-06-24 01:11:24.123000+00:00,114.877,9,1
39,234004.54,2019-06-24 01:13:20.051000+00:00,143.949,9,2
40,12386.22,2019-06-24 01:15:45.418000+00:00,7.582,9,3
41,258602.96,2019-06-24 01:15:54.194000+00:00,152.806,9,4
42,5718.02,2019-06-24 01:18:28.418000+00:00,3.582,9,5
43,367034.36,2019-06-24 01:19:03.815000+00:00,215.185,1,1
44,32837.42,2019-06-24 01:22:40.177000+00:00,16.823,1,2
45,5624.08,2019-06-24 01:22:58.949000+00:00,2.051,1,3
46,256462.36,2019-06-24 01:23:02.611000+00:00,158.389,1,4
47,9681.98,2019-06-24 01:25:42.285000+00:00,6.715,1,5
48,193323.9,2019-06-24 01:25:50.119000+00:00,122.881,2,1
49,225004.78,2019-06-24 01:27:54.623000+00:00,135.377,2,2
50,25701.06,2019-06-24 01:30:11.986000+00:00,13.014,2,3
51,185919.58,2019-06-24 01:30:26.867000+00:00,118.133,2,4
52,12510.96,2019-06-24 01:32:26.636000+00:00,8.364,2,5
53,239559.32,2019-06-24 01:32:36.981000+00:00,153.019,3,1
54,246044.26,2019-06-24 01:35:11.911000+00:00,150.089,3,2
55,7693.84,2019-06-24 01:37:43.059000+00:00,3.941,3,3
56,206038.14,2019-06-24 01:37:48.409000+00:00,138.591,3,4
57,18165.84,2019-06-24 01:40:08.623000+00:00,13.377,3,5
58,343763.42,2019-06-24 01:40:23.412000+00:00,171.588,4,1
59,106255.38,2019-06-24 01:43:16.207000+00:00,57.793,4,2
60,7318.08,2019-06-24 01:44:15.195000+00:00,3.805,4,3
61,171423.56,2019-06-24 01:44:20.074000+00:00,111.926,4,4
62,145819.52,2019-06-24 01:46:14.977000+00:00,95.023,5,1
63,116417.84,2019-06-24 01:47:51.258000+00:00,70.742,5,2
64,17278.8,2019-06-24 01:49:03.936000+00:00,10.064,5,3
65,492913.96,2019-06-24 01:49:15.392000+00:00,306.608,5,4
66,546821.66,2019-06-24 01:54:24.764000+00:00,343.236,6,1
67,8965.88,2019-06-24 02:00:09.537000+00:00,5.463,6,2
68,71934.94,2019-06-24 02:00:16.312000+00:00,43.688,6,3
69,300122.9,2019-06-24 02:01:01.757000+00:00,175.243,6,4
70,670100.2,2019-06-24 02:03:59.969000+00:00,414.031,7,1
71,36826.02,2019-06-24 02:10:55.057000+00:00,20.943,7,2
72,15778.84,2019-06-24 02:11:17.360000+00:00,10.64,7,3
73,412331.92,2019-06-24 02:11:29.515000+00:00,275.485,7,4
74,590198.84,2019-06-24 02:16:07.966000+00:00,345.034,8,1
75,38017.98,2019-06-24 02:21:54.027000+00:00,23.973,8,2
76,7781.62,2019-06-24 02:22:19.567000+00:00,4.433,8,3
77,289362.92,2019-06-24 02:22:25.872000+00:00,175.128,8,4
78,149915.92,2019-06-24 02:25:23.807000+00:00,102.193,9,1
79,195236.58,2019-06-24 02:27:07.323000+00:00,120.677,9,2
80,303577.12,2019-06-24 02:29:09.339000+00:00,183.661,9,3
81,243578.72,2019-06-24 02:32:14.218000+00:00,157.782,9,4
82,10079.3,2019-06-24 02:34:53.222000+00:00,5.778,9,5
83,272592.32,2019-06-24 02:35:30.647000+00:00,159.353,1,1
84,50766.1,2019-06-24 02:38:11.628000+00:00,35.372,1,2
85,1395.24,2019-06-24 02:38:48.374000+00:00,1.626,1,3
86,164176.32,2019-06-24 02:38:51.830000+00:00,106.17,1,4
87,18763.36,2019-06-24 02:40:39.986000+00:00,11.014,1,5
88,138251.96,2019-06-24 02:40:52.210000+00:00,86.79,2,1
89,154659.12,2019-06-24 02:42:20.377000+00:00,87.623,2,2
90,16140.74,2019-06-24 02:43:49.646000+00:00,8.354,2,3
91,308438.9,2019-06-24 02:43:59.583000+00:00,203.417,2,4
92,181351.94,2019-06-24 02:47:25.273000+00:00,113.727,3,1
93,227340.96,2019-06-24 02:49:20.381000+00:00,132.619,3,2
94,42471.66,2019-06-24 02:51:34.393000+00:00,29.607,3,3
95,240471,2019-06-24 02:52:05.759000+00:00,156.241,3,4
96,5550.16,2019-06-24 02:54:43.449000+00:00,2.551,3,5
97,482654.48,2019-06-24 02:54:47.536000+00:00,305.464,4,1
98,17674.58,2019-06-24 02:59:54.048000+00:00,9.952,4,2
99,91551.46,2019-06-24 03:00:05.099000+00:00,53.901,4,3
100,128278.92,2019-06-24 03:01:00.174000+00:00,80.826,4,4
101,32634.14,2019-06-24 03:02:22.452000+00:00,19.548,4,5
102,164291.82,2019-06-24 03:02:43.052000+00:00,91.948,5,1
103,91901.04,2019-06-24 03:04:16.102000+00:00,63.898,5,2
104,8368.36,2019-06-24 03:05:21.679000+00:00,5.321,5,3
105,313745.74,2019-06-24 03:05:28.091000+00:00,200.909,5,4
106,650043.24,2019-06-24 03:08:51.762000+00:00,406.238,6,1
107,66674.3,2019-06-24 03:15:39.190000+00:00,40.81,6,2
108,31419.08,2019-06-24 03:16:21.477000+00:00,19.523,6,3
109,289727.9,2019-06-24 03:16:42.479000+00:00,174.521,6,4
110,642159.98,2019-06-24 03:19:39.114000+00:00,399.886,7,1
111,115929.66,2019-06-24 03:26:20.331000+00:00,83.669,7,2
112,28496.16,2019-06-24 03:27:45.584000+00:00,15.416,7,3
113,253112.86,2019-06-24 03:28:02.373000+00:00,142.627,7,4
114,33408.76,2019-06-24 03:30:26.025000+00:00,20.975,7,5
115,546550.62,2019-06-24 03:30:48.612000+00:00,294.388,8,1
116,1382.92,2019-06-24 03:35:44.916000+00:00,0.084,8,2
117,11901.12,2019-06-24 03:35:46.728000+00:00,6.272,8,3
118,302831.76,2019-06-24 03:35:54.379000+00:00,177.621,8,4
119,141964.9,2019-06-24 03:38:54.552000+00:00,101.448,9,1
120,253702.68,2019-06-24 03:40:37.162000+00:00,156.838,9,2
121,7937.16,2019-06-24 03:43:15.863000+00:00,4.137,9,3
122,219697.94,2019-06-24 03:43:21.334000+00:00,124.666,9,4
123,24717,2019-06-24 03:45:27.747000+00:00,14.253,9,5
124,225009.4,2019-06-24 03:46:13.536000+00:00,145.464,1,1
125,150847.62,2019-06-24 03:48:40.669000+00:00,93.331,1,2
126,101954.16,2019-06-24 03:50:15.922000+00:00,57.078,1,3
127,234255.56,2019-06-24 03:51:14.765000+00:00,151.235,1,4
128,11134.2,2019-06-24 03:53:47.577000+00:00,7.423,1,5
129,104184.08,2019-06-24 03:53:56.632000+00:00,63.368,2,1
130,133128.38,2019-06-24 03:55:01.460000+00:00,93.54,2,2
131,90361.04,2019-06-24 03:56:36.548000+00:00,56.452,2,3
132,271141.64,2019-06-24 03:57:34.841000+00:00,162.159,2,4
133,35007.28,2019-06-24 04:00:18.886000+00:00,25.114,2,5
134,162928.92,2019-06-24 04:00:45.049000+00:00,100.951,3,1
135,101955.7,2019-06-24 04:02:27.447000+00:00,63.553,3,2
136,45976.7,2019-06-24 04:03:32.142000+00:00,28.858,3,3
137,214640.58,2019-06-24 04:04:02.715000+00:00,123.285,3,4
138,534728.04,2019-06-24 04:06:08.424000+00:00,337.576,4,1
139,121068.64,2019-06-24 04:11:47.791000+00:00,74.209,4,2
140,18282.88,2019-06-24 04:13:03.006000+00:00,12.994,4,3
141,298194.82,2019-06-24 04:13:17.915000+00:00,193.085,4,4
142,9509.5,2019-06-24 04:16:32.392000+00:00,5.608,4,5
143,152233.62,2019-06-24 04:16:39.395000+00:00,93.605,5,1
144,5516.28,2019-06-24 04:18:14.286000+00:00,2.714,5,2
145,6304.76,2019-06-24 04:18:18.554000+00:00,3.446,5,3
146,163751.28,2019-06-24 04:18:23.667000+00:00,96.333,5,4
147,585503.38,2019-06-24 04:20:02.500000+00:00,362.5,6,1
148,2805.88,2019-06-24 04:26:07.303000+00:00,1.697,6,3
149,154275.66,2019-06-24 04:26:10.558000+00:00,104.442,6,4
150,42759.64,2019-06-24 04:27:56.874000+00:00,25.126,6,5
151,544987.52,2019-06-24 04:28:23.825000+00:00,341.175,7,1
152,5591.74,2019-06-24 04:34:07.341000+00:00,3.659,7,3
153,270822.86,2019-06-24 04:34:12.516000+00:00,166.484,7,4
154,494156.74,2019-06-24 04:37:01.146000+00:00,309.854,8,1
155,203373.94,2019-06-24 04:42:12.566000+00:00,110.434,8,2
156,52666.46,2019-06-24 04:44:04.165000+00:00,25.835,8,3
157,217865.34,2019-06-24 04:44:31.109000+00:00,143.891,8,4
158,28790.3,2019-06-24 04:46:56.041000+00:00,19.959,8,5
159,188574.54,2019-06-24 04:47:17.320000+00:00,88.68,9,1
160,252764.82,2019-06-24 04:48:47.853000+00:00,147.147,9,2
161,6349.42,2019-06-24 04:51:16.325000+00:00,3.675,9,3
162,324202.34,2019-06-24 04:51:21.424000+00:00,173.576,9,4
163,349073.34,2019-06-24 04:54:47.688000+00:00,202.312,1,1
164,16892.26,2019-06-24 04:58:11.587000+00:00,9.413,1,2
165,4676.98,2019-06-24 04:58:22.014000+00:00,2.986,1,3
166,248221.82,2019-06-24 04:58:26.847000+00:00,167.153,1,4
167,188725.46,2019-06-24 05:01:16.234000+00:00,79.766,2,1
168,154951.72,2019-06-24 05:02:37.789000+00:00,92.211,2,2
169,134232.56,2019-06-24 05:04:11.447000+00:00,86.553,2,3
170,213354.68,2019-06-24 05:05:39.022000+00:00,138.978,2,4
171,329349.02,2019-06-24 05:08:00.384000+00:00,192.616,3,1
172,49899.08,2019-06-24 05:11:14.254000+00:00,34.746,3,2
173,4174.94,2019-06-24 05:11:50.596000+00:00,2.404,3,3
174,121484.44,2019-06-24 05:11:54.982000+00:00,80.018,3,4
175,302400.56,2019-06-24 05:13:17.332000+00:00,182.668,4,1
176,81441.36,2019-06-24 05:16:21.322000+00:00,46.678,4,2
177,79693.46,2019-06-24 05:17:09.272000+00:00,48.728,4,3
