,totalPowerConsumed,firstStartedTimestamp,latency,serverNumber,tacticNumber
0,2756.6,2019-07-21 00:01:03+00:00,1.0,1,1
1,76842.92000000001,2019-07-21 00:01:06.150000+00:00,46.85,1,3
2,87068.52,2019-07-21 00:01:58.630000+00:00,47.37,2,3
3,2083.62,2019-07-21 00:02:49.997000+00:00,0.003,3,1
4,68662.43999999997,2019-07-21 00:02:52.769000+00:00,48.231,3,3
5,1370.6,2019-07-21 00:03:44.346000+00:00,0.654,4,1
6,65111.19999999998,2019-07-21 00:03:47.669000+00:00,47.331,4,3
7,1378.3,2019-07-21 00:04:38.514000+00:00,0.486,5,1
8,55245.96000000001,2019-07-21 00:04:41.264000+00:00,35.736,5,3
9,3837.68,2019-07-21 00:05:20.914000+00:00,1.086,6,1
10,61753.99999999999,2019-07-21 00:05:24.041000+00:00,32.959,6,3
11,74174.10000000003,2019-07-21 00:06:02.442000+00:00,45.558,7,3
12,66537.23999999998,2019-07-21 00:06:53.700000+00:00,48.3,8,3
13,1378.3,2019-07-21 00:07:45.593000+00:00,0.407,9,1
14,68509.97999999998,2019-07-21 00:07:48.127000+00:00,48.873,9,3
15,76413.26000000001,2019-07-21 00:09:12.929000+00:00,40.071,1,3
16,70333.34000000001,2019-07-21 00:09:58.708000+00:00,48.292,2,3
17,1395.24,2019-07-21 00:10:50.538000+00:00,0.462,3,1
18,67008.48000000001,2019-07-21 00:10:53.311000+00:00,47.689,3,3
19,1395.24,2019-07-21 00:11:44.565000+00:00,0.435,4,1
20,77845.46,2019-07-21 00:11:47.571000+00:00,47.429,4,3
21,1564.64,2019-07-21 00:12:36.944000+00:00,0.056,4,4
22,58550.80000000001,2019-07-21 00:12:41.790000+00:00,32.21,5,3
23,2099.02,2019-07-21 00:13:17.165000+00:00,0.835,6,1
24,69189.12000000002,2019-07-21 00:13:20.462000+00:00,35.538,6,3
25,111032.46000000002,2019-07-21 00:14:01.499000+00:00,48.501,7,3
26,71488.34000000003,2019-07-21 00:14:55.819000+00:00,51.181,8,3
27,1378.3,2019-07-21 00:15:50.942000+00:00,0.058,9,1
28,86527.98000000001,2019-07-21 00:15:53.429000+00:00,49.571,9,3
29,2217.6,2019-07-21 00:17:16.740000+00:00,0.26,1,1
30,60928.56,2019-07-21 00:17:19.128000+00:00,36.872,1,3
31,68485.34000000003,2019-07-21 00:18:01.904000+00:00,48.096,2,3
32,1384.46,2019-07-21 00:18:53.375000+00:00,0.625,3,1
33,67456.62,2019-07-21 00:18:56.135000+00:00,47.865,3,3
34,1378.3,2019-07-21 00:19:47.626000+00:00,0.374,4,1
35,81427.5,2019-07-21 00:19:50.640000+00:00,47.36,4,3
36,2145.22,2019-07-21 00:20:41.926000+00:00,0.074,5,1
37,93721.32000000002,2019-07-21 00:20:44.676000+00:00,52.324,5,3
38,1375.22,2019-07-21 00:21:38.560000+00:00,0.44,5,4
39,2745.8199999999997,2019-07-21 00:21:41.098000+00:00,1.902,6,1
40,40438.86,2019-07-21 00:21:45.233000+00:00,28.767,6,3
41,1382.92,2019-07-21 00:22:17.876000+00:00,0.124,7,1
42,66897.59999999996,2019-07-21 00:22:20.166000+00:00,47.834,7,3
43,1382.92,2019-07-21 00:23:11.640000+00:00,0.36,8,1
44,79464.0,2019-07-21 00:23:14.210000+00:00,48.79,8,3
45,90548.91999999998,2019-07-21 00:24:08.682000+00:00,48.318,9,3
46,1398.32,2019-07-21 00:25:30.822000+00:00,0.178,1,1
47,74494.42,2019-07-21 00:25:33.231000+00:00,53.769,1,3
48,72433.90000000002,2019-07-21 00:26:32.275000+00:00,48.725,2,3
49,2152.92,2019-07-21 00:27:24.255000+00:00,0.745,3,1
50,84227.22,2019-07-21 00:27:27.030000+00:00,47.97,3,3
51,2069.76,2019-07-21 00:28:18.907000+00:00,0.093,4,1
52,77132.44000000002,2019-07-21 00:28:21.921000+00:00,47.079,4,3
53,1399.86,2019-07-21 00:29:12.692000+00:00,0.308,5,1
54,72452.38,2019-07-21 00:29:15.441000+00:00,51.559,5,3
55,1395.24,2019-07-21 00:30:09.988000+00:00,0.012,5,5
56,2772.0,2019-07-21 00:30:11.128000+00:00,1.872,6,1
57,40457.34,2019-07-21 00:30:15.129000+00:00,28.871,6,3
58,108737.86000000002,2019-07-21 00:30:49.872000+00:00,48.128,7,3
59,1643.18,2019-07-21 00:31:41.787000+00:00,0.213,8,1
60,88853.38000000002,2019-07-21 00:31:44.433000+00:00,48.567,8,3
61,69424.73999999998,2019-07-21 00:32:38.716000+00:00,49.284,9,3
62,51354.37999999998,2019-07-21 00:34:03.796000+00:00,37.204,1,3
63,91936.46,2019-07-21 00:34:46.802000+00:00,48.198,2,3
64,1526.14,2019-07-21 00:35:38.769000+00:00,0.231,3,1
65,80796.09999999999,2019-07-21 00:35:41.561000+00:00,47.439,3,3
66,1378.3,2019-07-21 00:36:32.879000+00:00,0.121,4,1
67,65015.719999999994,2019-07-21 00:36:35.877000+00:00,47.123,4,3
68,1370.6,2019-07-21 00:37:26.917000+00:00,0.083,5,1
69,72084.32,2019-07-21 00:37:29.667000+00:00,51.333,5,3
70,1370.6,2019-07-21 00:38:22.752000+00:00,0.248,5,4
71,2853.62,2019-07-21 00:38:25.703000+00:00,1.297,6,1
72,48642.439999999995,2019-07-21 00:38:29.309000+00:00,26.691,6,3
73,89992.98000000003,2019-07-21 00:39:01.695000+00:00,48.305,7,3
74,1564.64,2019-07-21 00:39:53.451000+00:00,0.549,8,1
75,67085.48,2019-07-21 00:39:56.098000+00:00,47.902,8,3
76,1378.3,2019-07-21 00:40:47.722000+00:00,0.278,9,1
77,67804.66,2019-07-21 00:40:50.245000+00:00,48.755,9,3
78,2122.12,2019-07-21 00:42:12.873000+00:00,0.127,1,1
79,101992.65999999999,2019-07-21 00:42:15.317000+00:00,56.683,1,3
80,76989.22,2019-07-21 00:43:17.308000+00:00,47.692,2,3
81,1395.24,2019-07-21 00:44:06.914000+00:00,0.086,2,4
82,65550.1,2019-07-21 00:44:11.790000+00:00,47.21,3,3
83,1723.26,2019-07-21 00:45:00.900000+00:00,0.1,3,4
84,1382.92,2019-07-21 00:45:03.032000+00:00,0.968,4,1
85,65758.0,2019-07-21 00:45:06.036000+00:00,46.964,4,3
86,1382.92,2019-07-21 00:45:56.910000+00:00,0.09,5,1
87,118042.54000000002,2019-07-21 00:45:59.657000+00:00,50.343,5,3
88,1566.18,2019-07-21 00:46:51.862000+00:00,0.138,5,4
89,3067.68,2019-07-21 00:46:54.480000+00:00,1.52,6,1
90,57080.09999999999,2019-07-21 00:46:58.570000+00:00,30.43,6,3
91,1576.96,2019-07-21 00:47:32.826000+00:00,0.174,7,1
92,67073.15999999997,2019-07-21 00:47:35.118000+00:00,47.882,7,3
93,1382.92,2019-07-21 00:48:26.856000+00:00,0.144,8,1
94,66678.92,2019-07-21 00:48:29.511000+00:00,47.489,8,3
95,1384.46,2019-07-21 00:49:20.726000+00:00,0.274,9,1
96,84282.66000000002,2019-07-21 00:49:23.261000+00:00,48.739,9,3
97,60859.26000000001,2019-07-21 00:50:47.778000+00:00,38.222,1,3
98,69994.54000000001,2019-07-21 00:51:31.258000+00:00,49.742,2,3
99,1364.44,2019-07-21 00:52:24.877000+00:00,0.123,3,1
100,69457.07999999999,2019-07-21 00:52:27.677000+00:00,48.323,3,3
101,2075.92,2019-07-21 00:53:19.520000+00:00,0.48,4,1
102,85694.83999999998,2019-07-21 00:53:22.527000+00:00,47.473,4,3
103,1632.4,2019-07-21 00:54:13.818000+00:00,0.182,5,1
104,85915.06000000003,2019-07-21 00:54:16.570000+00:00,51.43,5,3
105,2779.7,2019-07-21 00:55:11.649000+00:00,1.351,6,1
106,43270.92,2019-07-21 00:55:15.947000+00:00,30.053,6,3
107,68557.71999999997,2019-07-21 00:55:51.518000+00:00,48.482,7,3
108,1390.62,2019-07-21 00:56:43.373000+00:00,0.627,8,1
109,83974.65999999999,2019-07-21 00:56:46.129000+00:00,47.871,8,3
110,86155.30000000005,2019-07-21 00:57:39.872000+00:00,48.128,9,3
111,1392.16,2019-07-21 00:58:29.989000+00:00,0.011,9,4
112,76906.06000000003,2019-07-21 00:59:04.525000+00:00,55.475,1,3
113,96613.44000000003,2019-07-21 01:00:05.562000+00:00,48.438,2,3
114,1609.3,2019-07-21 01:00:57.630000+00:00,0.37,3,1
115,84533.68000000001,2019-07-21 01:01:00.405000+00:00,47.595,3,3
116,2082.08,2019-07-21 01:01:51.555000+00:00,0.445,4,1
117,71406.71999999999,2019-07-21 01:01:54.536000+00:00,47.464,4,3
118,1390.62,2019-07-21 01:02:45.496000+00:00,0.504,5,1
119,72430.82000000002,2019-07-21 01:02:48.245000+00:00,51.755,5,3
120,2924.46,2019-07-21 01:03:43.616000+00:00,1.384,6,1
121,37495.920000000006,2019-07-21 01:03:47.675000+00:00,26.325,6,3
122,89652.64,2019-07-21 01:04:19.642000+00:00,48.358,7,3
123,85015.7,2019-07-21 01:05:13.731000+00:00,48.269,8,3
124,1384.46,2019-07-21 01:06:05.608000+00:00,0.392,9,1
125,68001.77999999998,2019-07-21 01:06:08.112000+00:00,48.888,9,3
126,82892.03999999998,2019-07-21 01:07:32.832000+00:00,54.168,1,3
127,107778.44000000002,2019-07-21 01:08:32.578000+00:00,42.422,2,3
128,1803.34,2019-07-21 01:09:18.880000+00:00,0.12,3,1
129,71710.1,2019-07-21 01:09:21.697000+00:00,47.303,3,3
130,1370.6,2019-07-21 01:10:12.762000+00:00,0.238,4,1
131,66192.27999999996,2019-07-21 01:10:15.822000+00:00,48.178,4,3
132,53045.29999999999,2019-07-21 01:11:09.942000+00:00,37.058,5,3
133,1761.76,2019-07-21 01:11:50.133000+00:00,0.867,6,1
134,65482.34,2019-07-21 01:11:53.220000+00:00,34.78,6,3
135,80235.54000000001,2019-07-21 01:12:33.508000+00:00,46.492,7,3
136,1390.62,2019-07-21 01:13:23.917000+00:00,0.083,8,1
137,67727.65999999997,2019-07-21 01:13:26.490000+00:00,48.51,8,3
138,67843.15999999999,2019-07-21 01:14:20.726000+00:00,48.274,9,3
139,74623.78000000001,2019-07-21 01:15:44.947000+00:00,42.053,1,3
140,78829.51999999999,2019-07-21 01:16:32.758000+00:00,48.242,2,3
141,1370.6,2019-07-21 01:17:24.676000+00:00,0.324,3,1
142,67840.07999999999,2019-07-21 01:17:27.470000+00:00,48.53,3,3
143,1379.84,2019-07-21 01:18:19.189000+00:00,0.811,4,1
144,65576.27999999998,2019-07-21 01:18:22.169000+00:00,47.831,4,3
145,1617.0,2019-07-21 01:19:13.270000+00:00,0.73,5,1
146,62114.36,2019-07-21 01:19:16.040000+00:00,34.96,5,3
147,1741.74,2019-07-21 01:19:54.857000+00:00,0.143,6,1
148,68195.82,2019-07-21 01:19:57.977000+00:00,35.023,6,3
149,66318.56000000001,2019-07-21 01:20:38.670000+00:00,47.33,7,3
150,1398.32,2019-07-21 01:21:29.885000+00:00,0.115,8,1
151,68109.57999999999,2019-07-21 01:21:32.573000+00:00,48.427,8,3
152,1395.24,2019-07-21 01:22:24.800000+00:00,0.2,9,1
153,79913.68,2019-07-21 01:22:27.359000+00:00,48.641,9,3
154,69361.6,2019-07-21 01:23:51.609000+00:00,42.391,1,3
155,67775.39999999997,2019-07-21 01:24:39.449000+00:00,48.551,2,3
156,1375.22,2019-07-21 01:25:31.586000+00:00,0.414,3,1
157,65168.179999999986,2019-07-21 01:25:34.353000+00:00,46.647,3,3
158,1501.5,2019-07-21 01:26:24.894000+00:00,0.106,4,1
159,93809.1,2019-07-21 01:26:27.874000+00:00,48.126,4,3
160,1663.2,2019-07-21 01:27:19.863000+00:00,0.137,5,1
161,105456.12000000004,2019-07-21 01:27:22.628000+00:00,51.372,5,3
162,1395.24,2019-07-21 01:28:15.604000+00:00,0.396,5,4
163,2762.76,2019-07-21 01:28:18.087000+00:00,1.913,6,1
164,39636.520000000004,2019-07-21 01:28:22.262000+00:00,27.738,6,3
165,66763.61999999998,2019-07-21 01:28:55.955000+00:00,48.045,7,3
166,1367.52,2019-07-21 01:29:47.842000+00:00,0.158,8,1
167,89284.57999999999,2019-07-21 01:29:50.616000+00:00,48.384,8,3
168,86882.18000000001,2019-07-21 01:30:44.782000+00:00,49.218,9,3
169,75769.54000000004,2019-07-21 01:32:09.682000+00:00,53.318,1,3
170,81227.29999999997,2019-07-21 01:33:08.509000+00:00,48.491,2,3
171,91411.32000000002,2019-07-21 01:34:02.939000+00:00,48.061,3,3
172,2069.76,2019-07-21 01:34:54.414000+00:00,0.586,4,1
173,69951.42000000001,2019-07-21 01:34:57.422000+00:00,47.578,4,3
174,1398.32,2019-07-21 01:35:48.785000+00:00,0.215,5,1
175,71306.62,2019-07-21 01:35:51.533000+00:00,50.467,5,3
176,2063.6,2019-07-21 01:36:43.734000+00:00,0.266,5,4
177,2776.62,2019-07-21 01:36:46.259000+00:00,1.741,6,1
178,45778.03999999999,2019-07-21 01:36:50.430000+00:00,30.57,6,3
179,88513.04000000002,2019-07-21 01:37:26.721000+00:00,48.279,7,3
180,2079.0,2019-07-21 01:38:18.629000+00:00,0.371,8,1
181,74580.66,2019-07-21 01:38:21.268000+00:00,47.732,8,3
182,1387.54,2019-07-21 01:39:10.980000+00:00,0.02,8,4
183,69267.66,2019-07-21 01:39:15.663000+00:00,49.337,9,3
184,96544.13999999998,2019-07-21 01:40:40.547000+00:00,54.453,1,3
185,75199.73999999998,2019-07-21 01:41:40.984000+00:00,41.016,2,3
186,65015.719999999965,2019-07-21 01:42:27.956000+00:00,47.044,3,3
187,1410.64,2019-07-21 01:43:17.991000+00:00,0.009,3,5
188,68031.03999999996,2019-07-21 01:43:21.982000+00:00,48.018,4,3
189,1375.22,2019-07-21 01:44:13.618000+00:00,0.382,5,1
190,62015.799999999996,2019-07-21 01:44:16.366000+00:00,34.634,5,3
191,2257.64,2019-07-21 01:44:54.530000+00:00,0.47,6,1
192,67798.49999999999,2019-07-21 01:44:57.613000+00:00,35.387,6,3
193,69349.28000000001,2019-07-21 01:45:38.679000+00:00,46.321,7,3
194,1398.32,2019-07-21 01:46:28.645000+00:00,0.355,8,1
195,67039.28000000001,2019-07-21 01:46:31.220000+00:00,47.78,8,3
196,1398.32,2019-07-21 01:47:22.942000+00:00,0.058,9,1
197,72586.36,2019-07-21 01:47:25.443000+00:00,48.557,9,3
198,2276.12,2019-07-21 01:48:47.742000+00:00,0.258,1,1
199,68582.36,2019-07-21 01:48:50.220000+00:00,38.78,1,3
200,68526.92000000003,2019-07-21 01:49:34.698000+00:00,48.302,2,3
201,1395.24,2019-07-21 01:50:24.975000+00:00,0.025,2,4
202,67327.26000000001,2019-07-21 01:50:29.845000+00:00,47.155,3,3
203,1392.16,2019-07-21 01:51:18.976000+00:00,0.024,3,4
204,1390.62,2019-07-21 01:51:21.095000+00:00,0.905,4,1
205,101125.63999999997,2019-07-21 01:51:24.111000+00:00,46.889,4,3
206,1513.82,2019-07-21 01:52:12.925000+00:00,0.075,4,4
207,96661.17999999998,2019-07-21 01:52:17.937000+00:00,52.063,5,3
208,1635.48,2019-07-21 01:53:13.406000+00:00,0.594,6,1
209,40069.25999999999,2019-07-21 01:53:16.832000+00:00,28.168,6,3
210,1384.46,2019-07-21 01:53:48.821000+00:00,0.179,7,1
211,65513.14,2019-07-21 01:53:51.108000+00:00,47.892,7,3
212,1418.34,2019-07-21 01:54:42.705000+00:00,0.295,8,1
213,78593.9,2019-07-21 01:54:45.274000+00:00,47.726,8,3
214,1580.04,2019-07-21 01:55:36.821000+00:00,0.179,9,1
215,91348.18,2019-07-21 01:55:39.322000+00:00,48.678,9,3
216,1395.24,2019-07-21 01:57:01.765000+00:00,0.235,1,1
217,58900.38,2019-07-21 01:57:04.178000+00:00,41.822,1,3
218,1407.56,2019-07-21 01:57:47.962000+00:00,0.038,1,4
219,67037.74,2019-07-21 01:57:52.139000+00:00,47.861,2,3
220,1672.44,2019-07-21 01:58:43.925000+00:00,0.075,3,1
221,87605.97999999998,2019-07-21 01:58:46.674000+00:00,48.326,3,3
222,1857.24,2019-07-21 01:59:38.182000+00:00,0.818,4,1
223,83160.00000000001,2019-07-21 01:59:41.198000+00:00,47.802,4,3
224,1398.32,2019-07-21 02:00:32.524000+00:00,0.476,5,1
225,76822.90000000002,2019-07-21 02:00:35.275000+00:00,38.725,5,3
226,1384.46,2019-07-21 02:01:17.304000+00:00,0.696,6,1
227,41849.50000000001,2019-07-21 02:01:20.470000+00:00,30.53,6,3
228,71922.62,2019-07-21 02:01:56.437000+00:00,44.563,7,3
229,1643.18,2019-07-21 02:02:44.624000+00:00,0.376,8,1
230,94446.65999999997,2019-07-21 02:02:47.229000+00:00,47.771,8,3
231,1541.54,2019-07-21 02:03:38.962000+00:00,0.038,9,1
232,68978.14000000001,2019-07-21 02:03:41.495000+00:00,48.505,9,3
233,1395.24,2019-07-21 02:05:03.858000+00:00,0.142,1,1
234,101627.68,2019-07-21 02:05:06.285000+00:00,55.715,1,3
235,89957.55999999997,2019-07-21 02:06:07.736000+00:00,48.264,2,3
236,2568.72,2019-07-21 02:06:59.545000+00:00,0.455,3,1
237,79325.40000000005,2019-07-21 02:07:02.343000+00:00,47.657,3,3
238,1496.88,2019-07-21 02:07:53.592000+00:00,0.408,4,1
239,66612.7,2019-07-21 02:07:56.717000+00:00,47.283,4,3
240,1382.92,2019-07-21 02:08:47.558000+00:00,0.442,5,1
241,73781.39999999997,2019-07-21 02:08:50.308000+00:00,51.692,5,3
242,3234.0,2019-07-21 02:09:45.686000+00:00,1.314,6,1
243,2089.78,2019-07-21 02:09:48.976000+00:00,0.024,6,2
244,54389.72000000001,2019-07-21 02:09:50.016000+00:00,28.984,6,3
245,83358.66000000005,2019-07-21 02:10:24.466000+00:00,47.534,7,3
246,1387.54,2019-07-21 02:11:15.809000+00:00,0.191,8,1
247,68385.23999999999,2019-07-21 02:11:18.426000+00:00,48.574,8,3
248,69712.72,2019-07-21 02:12:12.711000+00:00,49.289,9,3
249,1781.78,2019-07-21 02:13:35.441000+00:00,0.559,1,1
250,88779.45999999999,2019-07-21 02:13:38.116000+00:00,44.884,1,3
251,86917.60000000003,2019-07-21 02:14:28.515000+00:00,47.485,2,3
252,1398.32,2019-07-21 02:15:19.763000+00:00,0.237,3,1
253,67431.98000000001,2019-07-21 02:15:22.665000+00:00,47.335,3,3
254,1463.0,2019-07-21 02:16:13.970000+00:00,0.03,4,1
255,83515.74,2019-07-21 02:16:16.974000+00:00,48.026,4,3
256,1952.72,2019-07-21 02:17:08.481000+00:00,0.519,5,1
257,92326.08,2019-07-21 02:17:11.229000+00:00,51.771,5,3
258,2801.26,2019-07-21 02:18:06.700000+00:00,1.3,6,1
259,43652.84,2019-07-21 02:18:10.944000+00:00,30.056,6,3
260,1392.16,2019-07-21 02:18:45.986000+00:00,0.014,7,2
261,88731.72,2019-07-21 02:18:47.004000+00:00,47.996,7,3
262,1382.92,2019-07-21 02:19:38.669000+00:00,0.331,8,1
263,99316.14000000001,2019-07-21 02:19:41.482000+00:00,47.518,8,3
264,1710.94,2019-07-21 02:20:32.827000+00:00,0.173,9,1
265,94711.53999999998,2019-07-21 02:20:35.408000+00:00,48.592,9,3
