Timestamp,Server,Tactic,Latency,Cost,Reliability
2020-02-03 19:54:43.220016,1.0,1.0,11.3298511505,23.0,1.0
2020-02-03 19:54:45.194752,1.0,2.0,1.9605178833,50.1,1.0
2020-02-03 19:54:45.223110,1.0,3.0,0.027817964553799996,50.0,1.0
2020-02-03 19:55:24.555857,1.0,4.0,39.3323919773,43.1,1.0
2020-02-03 19:55:24.831577,1.0,5.0,0.275045156479,28.4,1.0
2020-02-03 19:55:45.484346,2.0,1.0,20.652769,29.8,1.0
2020-02-03 19:55:47.408028,2.0,2.0,1.9090931415599999,50.3,1.0
2020-02-03 19:55:47.434896,2.0,3.0,0.026370048522900005,50.0,1.0
2020-02-03 19:56:26.031292,2.0,4.0,38.596122026399996,48.0,1.0
2020-02-03 19:56:26.313140,2.0,5.0,0.281438112259,50.0,1.0
2020-02-03 19:56:33.819442,3.0,1.0,7.506302,42.6,1.0
2020-02-03 19:56:35.810754,3.0,2.0,1.97606897354,50.1,1.0
2020-02-03 19:56:35.837513,3.0,3.0,0.026227951049799997,50.0,1.0
2020-02-03 19:57:15.569457,3.0,4.0,39.7316009998,43.2,1.0
2020-02-03 19:57:15.838632,3.0,5.0,0.268321990967,30.5,1.0
2020-02-03 19:58:04.796270,4.0,1.0,48.957638,25.3,1.0
2020-02-03 19:58:06.917633,4.0,2.0,2.09986114502,25.8,1.0
2020-02-03 19:58:06.946025,4.0,3.0,0.0278689861298,25.0,1.0
2020-02-03 19:58:46.175168,4.0,4.0,39.2286188602,45.0,1.0
2020-02-03 19:58:46.468389,4.0,5.0,0.292069911957,50.8,1.0
2020-02-03 19:59:29.688747,5.0,1.0,43.220358,23.9,1.0
2020-02-03 19:59:31.506826,5.0,2.0,1.80317497253,50.0,1.0
2020-02-03 19:59:31.534112,5.0,3.0,0.0268249511719,50.0,1.0
2020-02-03 20:00:10.669267,5.0,4.0,39.1347839832,49.7,1.0
2020-02-03 20:00:10.957510,5.0,5.0,0.287252902985,50.4,1.0
2020-02-03 20:00:46.051284,6.0,1.0,35.093774,22.2,1.0
2020-02-03 20:00:48.086327,6.0,2.0,2.0136950016,27.0,1.0
2020-02-03 20:00:48.112455,6.0,3.0,0.0256419181824,36.4,1.0
2020-02-03 20:01:27.735344,6.0,4.0,39.622492075,38.6,1.0
2020-02-03 20:01:28.013820,6.0,5.0,0.27718091011,50.0,1.0
2020-02-03 20:01:43.607896,7.0,1.0,15.594076,35.4,1.0
2020-02-03 20:01:45.551353,7.0,2.0,1.92696499825,50.0,1.0
2020-02-03 20:01:45.580327,7.0,3.0,0.0284759998322,53.8,1.0
2020-02-03 20:02:23.999111,7.0,4.0,38.4184610844,43.5,1.0
2020-02-03 20:02:24.267018,7.0,5.0,0.266690969467,50.5,1.0
2020-02-03 20:03:04.276208,8.0,1.0,40.00919,21.0,1.0
2020-02-03 20:03:06.391865,8.0,2.0,2.09764409065,50.2,1.0
2020-02-03 20:03:06.418265,8.0,3.0,0.0257430076599,50.0,1.0
2020-02-03 20:03:46.447800,8.0,4.0,40.029207944899994,49.6,1.0
2020-02-03 20:03:46.726065,8.0,5.0,0.277174949646,36.0,1.0
2020-02-03 20:04:07.389034,1.0,1.0,20.662969,26.6,1.0
2020-02-03 20:04:09.358069,1.0,2.0,1.9531228542299999,50.0,1.0
2020-02-03 20:04:09.384359,1.0,3.0,0.0258371829987,60.0,1.0
2020-02-03 20:04:48.835702,1.0,4.0,39.4509937763,42.5,1.0
2020-02-03 20:04:49.105421,1.0,5.0,0.269057035446,31.5,1.0
2020-02-03 20:05:09.578316,2.0,1.0,20.472895,27.9,1.0
2020-02-03 20:05:11.564367,2.0,2.0,1.9709961414300001,50.3,1.0
2020-02-03 20:05:11.593847,2.0,3.0,0.0289580821991,50.0,1.0
2020-02-03 20:05:50.763369,2.0,4.0,39.169164896,43.4,1.0
2020-02-03 20:05:51.740119,2.0,5.0,0.9759480953219999,34.3,1.0
2020-02-03 20:06:01.367306,3.0,1.0,9.627187,39.5,1.0
2020-02-03 20:06:03.213405,3.0,2.0,1.83066797256,50.1,1.0
2020-02-03 20:06:03.238824,3.0,3.0,0.0249710083008,50.0,1.0
2020-02-03 20:06:41.880039,3.0,4.0,38.6409029961,46.0,1.0
2020-02-03 20:06:42.156114,3.0,5.0,0.275660991669,49.5,1.0
2020-02-03 20:07:41.831260,4.0,1.0,59.675146,27.9,1.0
2020-02-03 20:07:43.760638,4.0,2.0,1.91395378113,50.0,1.0
2020-02-03 20:07:43.790185,4.0,3.0,0.0289378166199,50.0,1.0
2020-02-03 20:08:22.807353,4.0,4.0,39.0168120861,40.7,1.0
2020-02-03 20:08:23.084483,4.0,5.0,0.276074886322,52.7,1.0
2020-02-03 20:08:56.642584,5.0,1.0,33.558101,26.0,1.0
2020-02-03 20:08:58.622056,5.0,2.0,1.9647128582,50.0,1.0
2020-02-03 20:08:58.649244,5.0,3.0,0.026677131652799998,54.5,1.0
2020-02-03 20:09:37.490624,5.0,4.0,38.8410351276,43.5,1.0
2020-02-03 20:09:37.767117,5.0,5.0,0.27593302726700003,50.0,1.0
2020-02-03 20:10:12.616449,6.0,1.0,34.849332,23.9,1.0
2020-02-03 20:10:14.511384,6.0,2.0,1.8773579597499999,28.7,1.0
2020-02-03 20:10:14.536488,6.0,3.0,0.0246651172638,36.4,1.0
2020-02-03 20:10:52.932942,6.0,4.0,38.3961780071,47.7,1.0
2020-02-03 20:10:53.185761,6.0,5.0,0.252296924591,50.0,1.0
2020-02-03 20:11:07.889190,7.0,1.0,14.703429,28.7,1.0
2020-02-03 20:11:09.903704,7.0,2.0,1.99476194382,35.1,1.0
2020-02-03 20:11:09.933182,7.0,3.0,0.0282399654388,30.0,1.0
2020-02-03 20:11:48.718014,7.0,4.0,38.784453153600005,49.9,1.0
2020-02-03 20:11:48.987403,7.0,5.0,0.268351078033,50.0,1.0
2020-02-03 20:12:28.598561,8.0,1.0,39.611158,21.2,1.0
2020-02-03 20:12:30.627229,8.0,2.0,2.01446604729,50.1,1.0
2020-02-03 20:12:30.656880,8.0,3.0,0.029189109802200002,58.3,1.0
2020-02-03 20:13:10.356822,8.0,4.0,39.6995818615,42.6,1.0
2020-02-03 20:13:10.646127,8.0,5.0,0.288331985474,25.9,1.0
2020-02-03 20:13:37.982486,1.0,1.0,27.336359,22.1,1.0
2020-02-03 20:13:39.903349,1.0,2.0,1.9055199623099999,50.0,1.0
2020-02-03 20:13:39.931025,1.0,3.0,0.027117013931299998,58.3,1.0
2020-02-03 20:14:18.286058,1.0,4.0,38.354689121199996,45.2,1.0
2020-02-03 20:14:18.579581,1.0,5.0,0.292567014694,50.4,1.0
2020-02-03 20:14:38.698538,2.0,1.0,20.118957,31.7,1.0
2020-02-03 20:14:40.575723,2.0,2.0,1.86246490479,50.1,1.0
2020-02-03 20:14:40.601600,2.0,3.0,0.025341033935500003,50.0,1.0
2020-02-03 20:15:20.956324,2.0,4.0,40.3544239998,50.1,1.0
2020-02-03 20:15:21.207959,2.0,5.0,0.250257015228,50.0,1.0
2020-02-03 20:15:27.410005,3.0,1.0,6.202046,48.4,1.0
2020-02-03 20:15:29.299318,3.0,2.0,1.8744239807099998,50.3,1.0
2020-02-03 20:15:29.325790,3.0,3.0,0.0260241031647,45.5,1.0
2020-02-03 20:16:08.840897,3.0,4.0,39.514783859299996,37.0,1.0
2020-02-03 20:16:09.118553,3.0,5.0,0.276588916779,50.9,1.0
2020-02-03 20:16:54.459527,4.0,1.0,45.340974,23.0,1.0
2020-02-03 20:16:56.379851,4.0,2.0,1.90105700493,50.2,1.0
2020-02-03 20:16:56.407627,4.0,3.0,0.0272569656372,50.0,1.0
2020-02-03 20:17:35.605403,4.0,4.0,39.1974270344,50.3,1.0
2020-02-03 20:17:35.862500,4.0,5.0,0.255528926849,50.0,1.0
2020-02-03 20:18:04.273860,5.0,1.0,28.41136,16.8,1.0
2020-02-03 20:18:06.149702,5.0,2.0,1.8613021373700003,50.0,1.0
2020-02-03 20:18:06.175504,5.0,3.0,0.0253121852875,50.0,1.0
2020-02-03 20:18:47.190440,5.0,4.0,41.014592885999996,48.2,1.0
2020-02-03 20:18:47.469480,5.0,5.0,0.278012990952,50.5,1.0
2020-02-03 20:19:23.391859,6.0,1.0,35.922379,28.2,1.0
2020-02-03 20:19:25.445390,6.0,2.0,2.02518486977,30.2,1.0
2020-02-03 20:19:25.478150,6.0,3.0,0.031657934188799995,40.0,1.0
2020-02-03 20:20:05.926940,6.0,4.0,40.4483819008,43.5,1.0
2020-02-03 20:20:07.776036,6.0,5.0,1.84768414497,28.9,1.0
2020-02-03 20:20:22.286546,7.0,1.0,14.51051,33.4,1.0
2020-02-03 20:20:24.134504,7.0,2.0,1.8303160667400002,24.9,1.0
2020-02-03 20:20:24.159512,7.0,3.0,0.0245721340179,30.0,1.0
2020-02-03 20:21:02.808588,7.0,4.0,38.6487510204,45.0,1.0
2020-02-03 20:21:03.555259,7.0,5.0,0.745449066162,35.9,1.0
2020-02-03 20:21:44.499472,8.0,1.0,40.944213,25.6,1.0
2020-02-03 20:21:46.562725,8.0,2.0,2.0453469753299998,50.2,1.0
2020-02-03 20:21:46.596631,8.0,3.0,0.0333960056305,46.2,1.0
2020-02-03 20:22:27.771900,8.0,4.0,41.174927949899995,49.9,1.0
2020-02-03 20:22:28.056938,8.0,5.0,0.283726930618,50.0,1.0
2020-02-03 20:22:48.557278,1.0,1.0,20.50034,30.6,1.0
2020-02-03 20:22:50.543184,1.0,2.0,1.94305300713,52.0,1.0
2020-02-03 20:22:50.566745,1.0,3.0,0.0230669975281,50.0,1.0
2020-02-03 20:23:28.772326,1.0,4.0,38.2052998543,33.8,1.0
2020-02-03 20:23:29.073857,1.0,5.0,0.300333023071,50.0,1.0
2020-02-03 20:23:49.228249,2.0,1.0,20.154392,30.6,1.0
2020-02-03 20:23:50.975301,2.0,2.0,1.7328999042500002,50.4,1.0
2020-02-03 20:23:50.999986,2.0,3.0,0.024243116378799997,50.0,1.0
