Timestamp,Server,Tactic,PingSuccess,PingTime
2020-03-19 17:00:40.229685,6,0.06065511703491211
2020-03-19 17:03:05.939826,7,1,0.11268830299377441
2020-03-19 17:06:04.845328,8,1,0.09499168395996094
2020-03-19 17:06:21.572400,1,1,0.1358778476715088
2020-03-19 17:08:58.065768,2,1,0.13549280166625977
2020-03-19 17:11:20.127994,3,1,0.5134704113006592
2020-03-19 17:13:47.434302,4,1,0.16799116134643555
2020-03-19 17:16:59.610266,5,1,0.03970837593078613
2020-03-19 17:19:43.973288,6,0.055727243423461914
2020-03-19 17:22:10.035857,7,1,0.11486959457397461
2020-03-19 17:24:43.882112,8,1,0.09468913078308105
2020-03-19 17:27:18.527251,1,1,0.13566350936889648
2020-03-19 17:29:47.558109,2,1,0.13854169845581055
2020-03-19 17:32:01.865113,3,1,0.15072846412658691
2020-03-19 17:34:26.646876,4,1,0.174560546875
2020-03-19 17:37:37.515845,5,1,0.039548635482788086
2020-03-19 17:40:08.066379,6,0.05499839782714844
2020-03-19 17:42:33.214848,7,1,0.1143333911895752
2020-03-19 17:45:13.722741,8,1,0.24032044410705566
2020-03-19 17:47:46.595046,1,1,0.13579535484313965
2020-03-19 17:50:22.939812,2,1,0.13700318336486816
2020-03-19 17:52:40.465782,3,1,0.15108895301818848
2020-03-19 17:55:03.096895,4,1,0.16843557357788086
2020-03-19 17:58:13.033892,5,1,0.039263010025024414
2020-03-19 18:00:43.381635,6,0.05572366714477539
2020-03-19 18:03:08.934051,7,1,0.11488485336303711
2020-03-19 18:06:09.155189,8,1,0.09552168846130371
2020-03-19 18:08:40.698607,1,1,0.13720250129699707
2020-03-19 18:11:08.097103,2,1,0.13969159126281738
2020-03-19 18:13:20.841149,3,1,0.15047049522399902
2020-03-19 18:15:43.701440,4,1,0.17098426818847656
2020-03-19 18:18:44.923259,5,1,0.039713144302368164
2020-03-19 18:21:14.487451,6,0.05548810958862305
2020-03-19 18:23:40.249339,7,1,0.11474776268005371
2020-03-19 18:26:05.916170,8,1,0.09662365913391113
2020-03-19 18:28:42.623937,1,1,0.13713932037353516
2020-03-19 18:31:16.386145,2,1,0.137925386428833
2020-03-19 18:33:33.479752,3,1,0.15568971633911133
2020-03-19 18:35:59.510430,4,1,0.1697251796722412
2020-03-19 18:39:12.724879,5,1,0.04067802429199219
2020-03-19 18:41:42.145625,6,0.05632495880126953
2020-03-19 18:44:10.166074,7,1,0.11469793319702148
2020-03-19 18:46:40.610227,8,1,0.23580431938171387
2020-03-19 18:49:15.146377,1,1,0.13620448112487793
2020-03-19 18:51:57.073294,2,1,0.13800692558288574
2020-03-19 18:54:13.710600,3,1,0.15686798095703125
2020-03-19 18:56:39.758522,4,1,0.17068243026733398
2020-03-19 18:59:52.198311,5,1,0.042868614196777344
2020-03-19 19:02:21.292331,6,0.05727410316467285
2020-03-19 19:04:50.991379,7,1,0.12062692642211914
2020-03-19 19:07:37.272386,8,1,0.10090923309326172
2020-03-19 19:10:10.298057,1,1,0.1420607566833496
2020-03-19 19:13:02.097197,2,1,0.1419816017150879
2020-03-19 19:15:18.557319,3,1,0.15654826164245605
2020-03-19 19:17:57.160264,4,1,0.17316842079162598
2020-03-19 19:21:04.388561,5,1,0.04506802558898926
2020-03-19 19:23:35.487095,6,0.060358524322509766
2020-03-19 19:26:04.059595,7,1,0.12557435035705566
2020-03-19 19:28:33.868029,8,1,0.10535120964050293
2020-03-19 19:31:06.161873,1,1,0.14147472381591797
2020-03-19 19:33:41.328629,2,1,0.1411139965057373
2020-03-19 19:35:52.811696,3,1,0.16333341598510742
2020-03-19 19:38:17.941457,4,1,0.17370843887329102
2020-03-19 19:41:29.944737,5,1,0.04609942436218262
2020-03-19 19:44:04.964891,6,0.060243844985961914
2020-03-19 19:46:32.209448,7,1,0.12015986442565918
2020-03-19 19:49:28.116863,8,1,0.24011945724487305
2020-03-19 19:52:03.952026,1,1,0.14128899574279785
2020-03-19 19:54:50.430336,2,1,0.14177608489990234
2020-03-19 19:57:04.571119,3,1,0.15672755241394043
2020-03-19 19:59:33.749105,4,1,0.17452406883239746
2020-03-19 20:02:48.827566,5,1,0.05247664451599121
2020-03-19 20:05:21.841026,6,0.05954599380493164
2020-03-19 20:07:53.111663,7,1,0.1265726089477539
2020-03-19 20:10:47.713705,8,1,0.09972047805786133
2020-03-19 20:13:22.369895,1,1,0.1415724754333496
2020-03-19 20:16:03.042503,2,1,0.14429545402526855
2020-03-19 20:18:16.123461,3,1,0.15620851516723633
2020-03-19 20:20:41.826618,4,1,0.17496323585510254
2020-03-19 20:24:00.573415,5,1,0.045257568359375
2020-03-19 20:26:32.384082,6,0.05991077423095703
2020-03-19 20:28:58.926587,7,1,0.12105989456176758
2020-03-19 20:31:33.885294,8,1,0.10053014755249023
2020-03-19 20:34:11.269865,1,1,0.1422901153564453
2020-03-19 20:36:41.679691,2,1,0.14285588264465332
2020-03-19 20:38:55.180684,3,1,0.15718936920166016
2020-03-19 20:41:27.345943,4,1,0.17425942420959473
2020-03-19 20:44:47.458649,5,1,0.04598569869995117
2020-03-19 20:47:15.175807,6,0.06506490707397461
2020-03-19 20:49:41.223639,7,1,0.11977005004882812
2020-03-19 20:52:28.453115,8,1,0.2459099292755127
2020-03-19 20:55:00.948406,1,1,0.1480252742767334
2020-03-19 20:57:31.739305,2,1,0.1420447826385498
2020-03-19 20:59:43.439921,3,1,0.1567084789276123
2020-03-19 21:02:05.621904,4,1,0.17342138290405273
2020-03-19 21:05:17.569408,5,1,0.04604768753051758
2020-03-19 21:07:45.447737,6,0.06000089645385742
2020-03-19 21:10:17.594461,7,1,0.12099242210388184
2020-03-19 21:12:49.172175,8,1,0.09980344772338867
2020-03-19 21:15:22.670465,1,1,0.14175677299499512
2020-03-19 21:17:59.396963,2,1,0.14162850379943848
2020-03-19 21:20:12.346153,3,1,0.15585589408874512
2020-03-19 21:23:01.645542,4,1,0.1797330379486084
2020-03-19 21:26:09.031567,5,1,0.04558253288269043
2020-03-19 21:28:43.769089,6,0.06085205078125
2020-03-19 21:31:14.486952,7,1,0.12064099311828613
2020-03-19 21:34:14.641094,8,1,0.1005868911743164
2020-03-19 21:36:48.458671,1,1,0.14198541641235352
2020-03-19 21:39:12.771910,2,1,0.14198040962219238
2020-03-19 21:41:27.492855,3,1,0.1577129364013672
2020-03-19 21:52:04.077794,4,1,0.17430329322814941
2020-03-19 21:55:18.786327,5,1,0.04560685157775879
2020-03-19 21:57:46.215348,6,0.060053348541259766
2020-03-19 22:00:16.479521,7,1,0.12151670455932617
2020-03-19 22:02:57.086672,8,1,0.2464597225189209
2020-03-19 22:05:31.544895,1,1,0.14192438125610352
2020-03-19 22:08:04.950393,2,1,0.14264202117919922
2020-03-19 22:10:22.106040,3,1,0.1562812328338623
2020-03-19 22:18:03.991542,4,1,0.17390680313110352
2020-03-19 22:21:12.323373,5,1,0.045360565185546875
2020-03-19 22:23:42.214208,6,0.060063838958740234
2020-03-19 22:26:10.989143,7,1,0.12043452262878418
2020-03-19 22:29:04.625445,8,1,0.10071563720703125
2020-03-19 22:31:36.161290,1,1,0.14252448081970215
2020-03-19 22:34:07.404432,2,1,0.153273344039917
2020-03-19 22:36:24.551949,3,1,0.15682649612426758
2020-03-19 22:39:53.457656,4,1,0.1792752742767334
2020-03-19 22:43:09.527398,5,1,0.04601550102233887
2020-03-19 22:45:46.082880,6,0.059511661529541016
2020-03-19 22:48:20.815911,7,1,0.12682509422302246
2020-03-19 22:51:00.525360,8,1,0.10074234008789062
2020-03-19 22:53:41.251472,1,1,0.14244699478149414
2020-03-19 22:56:12.831292,2,1,0.14716839790344238
2020-03-19 22:58:30.975481,3,1,0.15700507164001465
2020-03-19 23:00:59.402744,4,1,0.17435836791992188
2020-03-19 23:11:12.639169,5,1,0.028297901153564453
2020-03-19 23:13:44.939050,6,0.06074190139770508
2020-03-19 23:16:15.253886,7,1,0.11918473243713379
2020-03-19 23:19:19.248633,8,1,0.18851137161254883
2020-03-19 23:21:57.466846,1,1,0.1403064727783203
2020-03-19 23:24:24.468381,2,1,0.1499767303466797
2020-03-19 23:26:40.817839,3,1,0.1550922393798828
2020-03-19 23:29:08.489703,4,1,0.1743919849395752
2020-03-19 23:32:12.770447,5,1,0.044168710708618164
2020-03-19 23:34:50.579615,6,0.06084871292114258
2020-03-19 23:37:25.075751,7,1,0.11928319931030273
2020-03-19 23:40:05.639561,8,1,0.10109448432922363
2020-03-19 23:42:45.519875,1,1,0.14220166206359863
2020-03-19 23:45:15.559790,2,1,0.1424572467803955
2020-03-19 23:47:32.968092,3,1,0.15641450881958008
2020-03-19 23:50:03.239096,4,1,0.17944669723510742
2020-03-19 23:53:15.182524,5,1,0.052611351013183594
2020-03-19 23:55:46.466780,6,0.0608673095703125
2020-03-19 23:58:25.233640,7,1,0.120086669921875
2020-03-20 00:01:10.627806,8,1,0.10144400596618652
2020-03-20 00:03:46.146868,1,1,0.141221284866333
2020-03-20 00:06:04.254760,2,1,0.14275646209716797
2020-03-20 00:08:23.508708,3,1,0.15584444999694824
2020-03-20 00:10:30.992474,4,1,0.18996214866638184
2020-03-20 00:13:39.874465,5,1,0.054001569747924805
2020-03-20 00:15:47.154015,6,0.06359505653381348
2020-03-20 00:18:26.401181,7,0,0
2020-03-20 00:21:44.471560,8,1,0.12993335723876953
2020-03-20 00:24:33.683323,1,0,0
2020-03-20 00:26:58.860588,2,1,0.1424870491027832
2020-03-20 00:29:18.382654,3,1,0.1570901870727539
2020-03-20 00:39:00.226757,4,1,0.18962526321411133
2020-03-20 00:42:17.588732,5,1,0.045990943908691406
2020-03-20 00:44:51.052002,6,0.06559419631958008
2020-03-20 00:47:18.395263,7,1,0.12014055252075195
2020-03-20 00:50:07.740399,8,1,0.10857868194580078
2020-03-20 00:52:44.668233,1,1,0.1327362060546875
2020-03-20 00:55:06.862366,2,1,0.14787554740905762
2020-03-20 00:57:18.770513,3,1,0.15645742416381836
2020-03-20 01:15:20.488621,4,1,0.196638822555542
2020-03-20 01:18:23.876968,5,1,0.05305886268615723
2020-03-20 01:20:57.116582,6,0.06972551345825195
2020-03-20 01:23:23.774834,7,1,0.12073135375976562
2020-03-20 01:26:30.939205,8,1,0.24617481231689453
2020-03-20 01:29:06.175049,1,1,0.1325056552886963
2020-03-20 01:31:38.608129,2,1,0.14280128479003906
2020-03-20 01:33:55.988491,3,1,0.16304421424865723
2020-03-20 01:36:41.397356,4,1,0.18989968299865723
2020-03-20 01:39:45.118562,5,1,0.05282115936279297
2020-03-20 01:42:17.407607,6,0.06507277488708496
2020-03-20 01:44:47.636913,7,1,0.12464261054992676
2020-03-20 01:47:26.656043,8,1,0.10299825668334961
2020-03-20 01:50:00.256963,1,1,0.13356256484985352
2020-03-20 01:52:25.286779,2,1,0.15058445930480957
2020-03-20 01:54:40.032296,3,1,0.16402411460876465
2020-03-20 01:57:19.393607,4,1,0.1897139549255371
2020-03-20 02:00:21.089307,5,1,0.04554462432861328
2020-03-20 02:02:48.577771,6,0.06949400901794434
2020-03-20 02:05:19.529560,7,1,0.12447404861450195
2020-03-20 02:08:11.463332,8,1,0.10908007621765137
2020-03-20 02:10:49.576301,1,1,0.14052677154541016
2020-03-20 02:13:08.654035,2,1,0.1490769386291504
2020-03-20 02:15:23.029252,3,1,0.16391897201538086
2020-03-20 02:17:48.723166,4,1,0.19315338134765625
2020-03-20 02:20:56.693775,5,1,0.050104618072509766
2020-03-20 02:23:27.084384,6,0.06839680671691895
2020-03-20 02:25:55.897488,7,1,0.12299823760986328
2020-03-20 02:28:35.675018,8,1,0.19292783737182617
2020-03-20 02:31:10.456664,1,1,0.13730978965759277
2020-03-20 02:33:31.355339,2,1,0.1464078426361084
2020-03-20 02:35:47.238295,3,1,0.15817713737487793
2020-03-20 02:38:10.156688,4,1,0.18921327590942383
2020-03-20 02:41:22.843296,5,1,0.046282291412353516
2020-03-20 02:43:52.030715,6,0.07087564468383789
