,Timestamp,Latency,Cost,Reliability,predCost,predLatency,predReliability
0,0,0.929672713,13.96396395,1,0,0,1
1,1762.557272,0.745352963,16.34491635,1,0,0,1
2,1787.950629,0.664812213,13.06306305,1,0,0,1
3,38664.26656,2.390395413,16.4092664,1,0,0,1
4,38916.14088,0.675401413,16.47361645,1,0,0,1
5,81828.77476,2.677870763,2.1235521,1,0,0,1
6,83913.61456,0.760243413,16.7953668,1,0,0,1
7,83949.4879,0.665287213,17.37451735,1,0,0,1
8,120933.3984,2.400226563,16.7310167,1,0,0,1
9,121188.5713,0.675553063,16.6023166,1,0,0,1
10,153827.2064,2.191973963,2.63835265,1,0,0,1
11,155728.4756,0.751730063,16.4092664,1,0,0,1
12,155751.0913,0.664682213,16.28056625,1,0,0,1
13,191945.7008,2.363277613,16.4092664,1,0,0,1
14,192198.658,0.675468013,16.28056625,1,0,0,1
15,227908.9559,2.335807213,3.024453,1,0,0,1
16,229932.3217,0.757269363,16.34491635,1,0,0,1
17,229960.7222,0.664947213,16.28056625,1,0,0,1
18,266935.1655,2.399784913,16.4092664,1,0,0,1
19,267846.0317,0.675679713,16.9240669,1,0,0,1
20,281824.8436,1.348776313,5.984556,1,0,0,1
21,283616.0568,0.746665313,16.28056625,1,0,0,1
22,283639.3827,0.664717213,19.4980695,1,0,0,1
23,321927.4417,2.426878163,16.6023166,1,0,0,1
24,86721496.68,0.677821063,14.67181465,1,0,0,1
25,86762003.02,2.565194263,4.1184041,1,0,0,1
26,86764030.68,0.757623113,16.2162162,1,0,0,1
27,86764059.71,0.664972213,17.76061775,1,0,0,1
28,86802499.93,2.463612763,16.34491635,1,0,0,1
29,86802752.77,0.675431013,16.47361645,1,0,0,1
30,86836968.14,2.270614113,2.05920205,1,0,0,1
31,86838774.83,0.747377863,16.34491635,1,0,0,1
32,86838802.09,0.664897213,13.06306305,1,0,0,1
33,86876013.91,2.410909013,16.7310167,1,0,0,1
34,86876281.37,0.676121263,16.6023166,1,0,0,1
35,86897206.2,1.643465013,4.05405405,1,0,0,1
36,86899010.51,0.747147563,16.28056625,1,0,0,1
37,86899033.7,0.664707213,19.4980695,1,0,0,1
38,86936936.16,2.406649963,16.47361645,1,0,0,1
39,173336403.2,0.675262913,15.76576575,1,0,0,1
40,173342845.1,0.965291463,13.7065637,1,0,0,1
41,173344827.8,0.755643963,16.34491635,1,0,0,1
42,173344850.1,0.664667213,13.06306305,1,0,0,1
43,173381271.5,2.369094913,16.7953668,1,0,0,1
44,173384329.5,0.806810463,1.8018018,1,0,0,1
45,173968342.8,28.05864616,0.57915055,0,0,0,1
46,173996275.8,1.335102763,3.7323037,1,0,0,1
47,173998794.2,0.747206413,16.34491635,1,0,0,1
48,260398379.3,0.664727213,14.47876445,1,0,0,1
49,260437352.4,2.501564013,16.47361645,1,0,0,1
50,260437601.1,2.598734513,16.28056625,1,0,0,1
51,260472610,1.509769413,3.024453,1,0,0,1
52,260474712.4,0.761041163,16.4092664,1,0,0,1
53,260474737.2,0.664772213,13.06306305,1,0,0,1
54,260512584.4,2.435852063,16.7310167,1,0,0,1
55,260512847.7,2.547809613,16.7310167,1,0,0,1
56,260527678.9,1.011227213,5.85585585,1,0,0,1
57,260529355.7,0.755042163,16.34491635,1,0,0,1
58,260529608.1,0.664797213,13.06306305,1,0,0,1
59,260568022.5,2.484247163,16.47361645,1,0,0,1
60,260568303.8,2.590902763,16.4092664,1,0,0,1
61,260607706.3,1.597773163,3.28185325,1,0,0,1
62,260609512.4,0.747235013,16.34491635,1,0,0,1
63,260609535.1,0.664687213,14.47876445,1,0,0,1
64,260647264.6,2.435149363,16.7310167,1,0,0,1
65,260647547.9,2.534064513,16.7310167,1,0,0,1
66,260688293.9,1.661432763,1.54440155,1,0,0,1
67,260690298.3,0.756664713,16.28056625,1,0,0,1
68,260690323,0.664777213,14.47876445,1,0,0,1
69,260727724.7,2.419800963,16.4092664,1,0,0,1
70,260727975,2.526553513,16.15186615,1,0,0,1
71,260748680,1.145786463,4.63320465,1,0,0,1
72,260750007,0.746876063,16.34491635,1,0,0,1
73,260750032,0.664777213,17.76061775,1,0,0,1
74,260788681.1,2.478213313,16.47361645,1,0,0,1
75,260788955.6,2.576442763,17.05276705,1,0,0,1
76,260796911.2,0.844189863,12.93436295,1,0,0,1
77,260798833.6,0.752756113,16.47361645,1,0,0,1
78,260798864.5,0.665062213,15.05791505,1,0,0,1
79,260837708.7,2.487345263,16.6023166,1,0,0,1
80,260837968.1,2.590978313,16.4092664,1,0,0,1
81,261235279,17.51325551,0.77220075,1,0,0,1
82,261237201.5,0.752736213,16.47361645,1,0,0,1
83,261237224.4,0.664697213,14.47876445,1,0,0,1
84,261274982.3,2.431674163,16.4092664,1,0,0,1
85,261275260.8,2.535822563,17.18146715,1,0,0,1
86,261302719.2,1.334499313,3.6036036,1,0,0,1
87,261304713.2,0.756208063,16.4092664,1,0,0,1
88,261304736.5,0.664712213,19.4980695,1,0,0,1
89,261342545.7,2.434076813,16.53796655,1,0,0,1
90,261342816.4,2.541226763,17.6319176,1,0,0,1
91,261378815.2,1.517190963,3.024453,1,0,0,1
92,261380641.7,0.748225413,16.47361645,1,0,0,1
93,261380664.8,0.664697213,14.47876445,1,0,0,1
94,261418433.3,2.436982063,16.53796655,1,0,0,1
95,261421365.2,2.660892613,2.1235521,1,0,0,1
96,261436519.6,1.022410013,5.984556,1,0,0,1
97,261438020.1,0.750702713,16.28056625,1,0,0,1
98,261438043.9,0.664737213,19.4980695,1,0,0,1
99,261475579.1,2.426049913,16.85971685,1,0,0,1
100,261475886,2.529413863,14.54311455,1,0,0,1
101,261515866.1,1.597658313,3.47490345,1,0,0,1
102,261517896.9,0.757812663,16.6023166,1,0,0,1
