,predictionType,utilDif,award,lostUtil
0,predictions_SVR_RBF_Cost.csv,349393308.33407414,1445621091.9442909,8989519.805369675
1,predictions_eRNN_Cost.csv,714332457.4087899,1448409205.2746723,13832773.25211648
2,predictions_MLP_Cost.csv,1102417979.3649209,1444564884.2123287,3485819.3071087785
3,predictions_LSTM_Cost.csv,1031982065.1643109,1444478026.4626787,3593896.311481627
