,timestamp,time_since_last_recording,latency,cost,reliability,ping_timestamp,time_since_last_ping,ping_success,ping_time,day1,day2,day3,day4,day5,day6,day7
0,2020-04-07 16:35:33.000928,0.0,0.015235164735327947,0.10546875,1,,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10,2020-04-07 16:51:24.000749,0.0016056733792734327,0.015060390101207645,0.08007812499999999,1,2020-04-07 16:48:23.000786,0.012233247247519369,1,0.3774056409040204,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,2020-04-07 17:02:51.000037,0.002274703953970697,0.015235527956841844,0.107421875,1,2020-04-07 17:01:37.000252,0.004961261383716189,1,0.3776559768812529,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30,2020-04-07 17:13:55.000784,0.002676122298789055,0.015080932062432871,0.1015625,1,2020-04-07 17:13:24.000701,0.0021068370259616693,1,0.3771026026157914,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,2020-04-07 17:28:12.000412,0.005017729310229478,0.014943489461483647,0.115234375,1,2020-04-07 17:26:58.000506,0.004961261383716189,1,0.3768654422163079,0.0,1.0,0.0,0.0,0.0,0.0,0.0
50,2020-04-07 17:33:52.000463,0.0015387703218037064,0.015048328207581422,0.123046875,1,2020-04-07 17:33:24.000708,0.001834987087127905,1,0.3770762514602932,0.0,1.0,0.0,0.0,0.0,0.0,0.0
60,2020-04-07 17:46:38.000926,0.011373519769853482,0.01503714392431826,0.1015625,1,2020-04-07 17:45:21.000565,0.005233111322549952,1,0.3766941597055698,0.0,1.0,0.0,0.0,0.0,0.0,0.0
70,2020-04-07 17:57:14.000857,0.013380611493945274,0.014865642482915671,0.119140625,1,2020-04-07 17:56:12.000721,0.0042136740519233395,1,0.3770894270380423,0.0,1.0,0.0,0.0,0.0,0.0,0.0
80,2020-04-07 18:03:27.000476,0.0024754131263798754,0.01523899640736761,0.095703125,1,2020-04-07 18:03:25.000166,0.00013592496941688191,1,0.3769664549790509,0.0,1.0,0.0,0.0,0.0,0.0,0.0
90,2020-04-07 18:19:30.000987,0.0004683214022880847,0.014849727921786559,0.12109375,1,2020-04-07 18:19:02.000738,0.0019029495718363464,1,0.3770015898530484,0.0,1.0,0.0,0.0,0.0,0.0,0.0
100,2020-04-07 18:30:29.000942,0.009299524988291966,0.01506152385622212,0.109375,1,2020-04-07 18:30:16.000156,0.0008835123012097322,1,0.3769225363865539,0.0,1.0,0.0,0.0,0.0,0.0,0.0
110,2020-04-07 18:40:47.000479,0.0018063825516826122,0.014848610963142668,0.0859375,1,2020-04-07 18:38:54.000398,0.007679760772053826,1,0.3770279410085465,0.0,1.0,0.0,0.0,0.0,0.0,0.0
120,2020-04-07 18:49:27.000331,6.690305746972637e-05,0.0150716100767583,0.11328125,1,2020-04-07 18:47:50.000780,0.006524398532010332,1,0.3787100231011797,0.0,1.0,0.0,0.0,0.0,0.0,0.0
130,2020-04-07 18:57:33.000968,0.005084632367699204,0.01488777380070749,0.115234375,1,2020-04-07 18:57:09.000845,0.0016310996330025824,1,0.3773705060300228,0.0,1.0,0.0,0.0,0.0,0.0,0.0
140,2020-04-07 19:11:39.000737,0.0030775406436074127,0.014866301740461125,0.099609375,1,2020-04-07 19:09:58.000180,0.006864210955552536,1,0.37713773748978896,0.0,1.0,0.0,0.0,0.0,0.0,0.0
150,2020-04-07 19:25:37.000742,0.016859570482371043,0.015078847212934031,0.08984374999999999,1,2020-04-07 19:20:01.000726,0.02283539486203616,1,0.3770059817122981,0.0,1.0,0.0,0.0,0.0,0.0,0.0
160,2020-04-07 19:33:36.000386,0.0,0.014865596292896563,0.109375,1,2020-04-07 19:32:49.000983,0.003126274296588282,1,0.3776296257257548,0.0,1.0,0.0,0.0,0.0,0.0,0.0
170,2020-04-07 19:45:39.000469,0.004081086505653309,0.02267877449556704,0.09375,1,2020-04-07 19:44:33.000210,0.004485523990757102,1,0.37745395135576704,0.0,1.0,0.0,0.0,0.0,0.0,0.0
180,2020-04-07 19:54:47.000582,0.01271158091924801,0.01505943480763063,0.115234375,1,2020-04-07 19:54:27.000684,0.0012912872094603778,1,0.3772211828155332,0.0,1.0,0.0,0.0,0.0,0.0,0.0
190,2020-04-07 20:03:17.000340,0.0041479895631230355,0.0148654178314591,0.12890624999999994,1,2020-04-07 20:00:25.000619,0.0116215848851434,1,0.37697523869755023,0.0,1.0,0.0,0.0,0.0,0.0,0.0
200,2020-04-07 20:21:16.000181,0.0172609888271894,0.015048372298054209,0.115234375,1,2020-04-07 20:20:08.000708,0.004553486475465543,1,0.3771816560822859,0.0,1.0,0.0,0.0,0.0,0.0,0.0
210,2020-04-07 20:31:47.000841,0.0030106375861376857,0.014884754653094868,0.111328125,1,2020-04-07 20:28:52.000353,0.011893434823977164,1,0.3769225363865539,0.0,1.0,0.0,0.0,0.0,0.0,0.0
220,2020-04-07 20:43:29.000944,0.01585602462032515,0.023902438382236317,0.08398437499999999,1,2020-04-07 20:40:43.000190,0.011281772461601195,1,0.376948887542052,0.0,1.0,0.0,0.0,0.0,0.0,0.0
230,2020-04-07 21:05:26.000681,0.02662741687295109,0.014890415029981953,0.09765625,1,2020-04-07 21:04:30.000224,0.003805899143672693,1,0.37704550844554535,0.0,1.0,0.0,0.0,0.0,0.0,0.0
240,2020-04-07 21:17:18.000084,0.013447514551415,0.015085693833493669,0.1015625,1,2020-04-07 21:17:17.000780,0.0,1,0.37721239909703375,0.0,1.0,0.0,0.0,0.0,0.0,0.0
250,2020-04-07 21:25:37.000474,0.002408510068910149,0.015055661922888016,0.08984374999999999,1,2020-04-07 21:25:15.000319,0.0014951746635857009,1,0.3782357023022127,0.0,1.0,0.0,0.0,0.0,0.0,0.0
260,2020-04-07 21:43:03.000094,0.008764300528534155,0.015052905218565784,0.103515625,1,2020-04-07 21:38:28.000602,0.01862172081011282,1,0.3765975388020765,0.0,1.0,0.0,0.0,0.0,0.0,0.0
270,2020-04-07 21:56:35.000368,0.0008028366896367164,0.01487571400662759,0.099609375,1,2020-04-07 21:55:16.000589,0.005301073807258394,1,0.3775330048222615,0.0,1.0,0.0,0.0,0.0,0.0,0.0
280,2020-04-07 22:06:30.000823,0.009165718873352513,0.014901779874228903,0.12109375,1,2020-04-07 22:06:13.000359,0.001155362240043496,1,0.3774232083410191,0.0,1.0,0.0,0.0,0.0,0.0,0.0
290,2020-04-07 22:21:23.000311,0.01070448919515622,0.014850343088859227,0.125,1,2020-04-07 22:20:22.000640,0.004077749082506457,1,0.3770674677417938,0.0,1.0,0.0,0.0,0.0,0.0,0.0
300,2020-04-07 22:34:51.000178,0.011105907539974577,0.014854145367250363,0.125,1,2020-04-07 22:30:17.000345,0.01855375832540437,1,0.37729584442277797,0.0,1.0,0.0,0.0,0.0,0.0,0.0
310,2020-04-07 22:52:14.000499,0.0060212751722753715,0.01507255697215002,0.095703125,1,2020-04-07 22:51:43.000824,0.0020388745412532284,1,0.37687861779405696,0.0,1.0,0.0,0.0,0.0,0.0,0.0
320,2020-04-07 23:02:39.000454,0.0121763564594902,0.015050755283130931,0.1171875,1,2020-04-07 22:58:54.000609,0.015223596574690771,1,0.3769181445273042,0.0,1.0,0.0,0.0,0.0,0.0,0.0
330,2020-04-07 23:21:07.000508,0.0010035458620458956,0.01507795910483936,0.126953125,1,2020-04-07 23:20:14.000092,0.0036020116895473697,1,0.3773485467337743,0.0,1.0,0.0,0.0,0.0,0.0,0.0
340,2020-04-07 23:31:35.000671,0.0014049642068642535,0.014882642509493829,0.1328125,1,2020-04-07 23:30:59.000446,0.002446649449503873,1,0.3774671269335161,0.0,1.0,0.0,0.0,0.0,0.0,0.0
350,2020-04-07 23:45:10.000034,0.0019401886666220649,0.028254695032256937,0.091796875,1,2020-04-07 23:43:37.000485,0.006252548593176564,1,0.3772694932672798,0.0,1.0,0.0,0.0,0.0,0.0,0.0
360,2020-04-07 23:57:10.000361,0.0010704489195156222,0.015055206321335906,0.119140625,1,2020-04-07 23:56:08.000672,0.004145711567214897,1,0.3769181445273042,0.0,1.0,0.0,0.0,0.0,0.0,0.0
370,2020-04-08 00:16:24.000752,0.003412055930956045,0.015271715737266827,0.109375,1,2020-04-08 00:15:03.000073,0.005504961261383716,1,0.3766107143798256,0.0,0.0,1.0,0.0,0.0,0.0,0.0
380,2020-04-08 00:24:30.000194,0.0024754131263798754,0.0148566207323653,0.115234375,1,2020-04-08 00:23:18.000481,0.004825336414299307,1,0.3777042873329996,0.0,0.0,1.0,0.0,0.0,0.0,0.0
390,2020-04-08 00:36:55.000414,0.007292433264200173,0.014851355070186962,0.08984374999999999,1,2020-04-08 00:36:35.000787,0.0012912872094603778,1,0.3765624039280789,0.0,0.0,1.0,0.0,0.0,0.0,0.0
400,2020-04-08 00:50:37.000867,0.008697397471064428,0.015143326380062818,0.095703125,1,2020-04-08 00:50:37.000722,0.0,1,0.3767819968905636,0.0,0.0,1.0,0.0,0.0,0.0,0.0
